symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
AAPL,H1,ok,equity,bars,9333,53,17144,200,0.8307088889737062,1.8720081888542597,7.9915291512243325,0.8887272046586258,1.003631182963399,0.6066034933731271,28,12.0,3.0,3.0,3.0,0.021126440999611237
AAPL,H4,ok,equity,bars,2794,57,4879,200,7.913538614654098,0.8697089110510541,7.817507766587351,1.2301593880333375,3.8184968246925672,1.821206495727003,24,12.0,3.0,3.0,3.0,0.028046855875577918
AAPL,M1,ok,equity,bars,52444,36,100179,200,-0.5472905739994415,2.4181277795198124,5.2784796305471895,1.1333544713630883,1.2450211039780283,1.7823830767342346,28,12.0,3.0,3.0,3.0,0.005039772766129034
AAPL,M15,ok,equity,bars,28188,42,55355,200,0.00981365881717111,1.249080237694725,7.704285838459497,1.178392730173686,2.79597545259111,0.565231688752142,10,12.0,3.0,3.0,3.0,0.0064520903042049865
AAPL,M30,ok,equity,bars,15866,32,29210,200,0.015103584295715837,1.249080237694725,7.704285838459497,1.178392730173686,2.79597545259111,0.565231688752142,10,12.0,3.0,3.0,3.0,0.0064520903042049865
ALVG,H1,ok,equity,bars,2696,43,14184,200,0.6475690800967945,2.3867966700113716,6.277350358108759,0.9392084635486647,3.07889706294406,0.4624614185852164,34,12.0,3.0,3.0,3.0,0.029423880097330605
ALVG,H4,ok,equity,bars,1072,57,4836,200,1918.0743498708598,1.8799421463453165,4.943119466641056,1.448800844278733,2.387281047777351,1.9013540542621377,18,12.0,3.0,3.0,3.0,0.02749779187061494
ALVG,M1,ok,equity,bars,11242,36,100066,200,-0.4746216225780409,2.4969823767947443,7.789148713612365,1.3153540013941523,1.9733258477768305,0.44290854369364363,35,12.0,3.0,3.0,3.0,0.00501681653671565
ALVG,M15,ok,equity,bars,6366,30,41881,200,0.05043366027407767,2.4992854748783877,7.869911028582862,1.105676747686603,3.7460722507932664,1.5722158598089926,32,12.0,3.0,3.0,3.0,0.016326535563607473
ALVG,M30,ok,equity,bars,3980,25,23047,200,0.16094236535481987,2.172211986566873,5.169330785553477,1.2692928133921417,3.501886722866992,0.36149543411632595,29,12.0,3.0,3.0,3.0,0.017318602695038914
AMZN,H1,ok,equity,bars,6566,35,11741,200,2.266384032635909,1.4055842991300622,4.054922151525473,0.7597426973941602,2.3127217952273997,0.44592884856472936,29,12.0,3.0,3.0,3.0,0.01281929322660628
AMZN,H4,ok,equity,bars,1937,40,3453,200,1154.7305282162824,1.2135066533871786,3.6856070581242846,0.9512352997898981,1.422772674924288,1.6637348672818675,8,12.0,3.0,3.0,3.0,0.02967217341501293
AMZN,M1,ok,equity,bars,53187,36,100179,200,-0.436595267077336,2.267752557321161,5.498813980273579,1.440055841492046,3.55182546758445,0.5967289526967655,35,12.0,3.0,3.0,3.0,0.005064132315503472
AMZN,M15,ok,equity,bars,17117,23,32880,200,0.4489332752936559,1.647378935011184,7.98910600922507,1.3490781348661853,1.753763296947635,1.2359680578605436,29,12.0,3.0,3.0,3.0,0.008236184892148024
AMZN,M30,ok,equity,bars,10122,19,18414,200,2.1353134671220375,1.7092714588271674,4.15886580260684,0.46897459043915,1.2343567833030642,0.3151413208657429,26,12.0,3.0,3.0,3.0,0.011492587696525945
BCHUSD,H1,ok,crypto,bars,318,241,73385,200,1610.3595511142103,2.1033120514964936,3.325152889039984,1.3328262482324453,2.0968344329055206,0.630103185970559,46,24.0,3.0,15.0,3.0,0.02914080082686398
BCHUSD,H4,ok,crypto,bars,265,228,18550,200,7263.033825497201,1.384205735935933,8.263212784660801,1.2526923902093654,3.280781643522128,0.667581571424908,12,24.0,3.0,15.0,3.0,0.02994911732049938
BCHUSD,M1,ok,crypto,bars,25,36,100069,200,-999.0,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,24.0,3.0,15.0,3.0,0.0064520903042049865
BCHUSD,M15,ok,crypto,bars,73,80,100985,200,-999.0,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,24.0,3.0,15.0,3.0,0.0064520903042049865
BCHUSD,M30,ok,crypto,bars,210,121,100188,200,7287.05060635771,1.1129259783492491,3.7057931452758686,1.9752018567399963,4.742224631892822,1.5919027970556958,23,24.0,3.0,15.0,3.0,0.029604636631780357
BTCUSD,H1,ok,crypto,bars,377,227,69317,200,1231.4758889579196,0.8010154678902289,9.31901403485721,1.6460646518917537,1.6635722258212566,1.5155458134127187,6,24.0,3.0,15.0,3.0,0.029204349220462823
BTCUSD,H4,ok,crypto,bars,45,218,17709,200,-999.0,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,24.0,3.0,15.0,3.0,0.0064520903042049865
BTCUSD,M1,too_few_signals,crypto,,6,,,,,,,,,,,,,,,
