symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps
AAPL,H1,ok,equity,bars,9320,53,17123,400,0.00035061181079689227,0.7579488011277348,7.551525261725203,0.7412214729769393,2.287193191176549,1.6344990166092859,35,12.0,3.0,3.0,3.0
AAPL,H4,ok,equity,bars,2791,57,4873,400,0.001001359889309056,0.6386503671815433,7.698624343802677,0.9011922293932755,2.8293795331751532,0.36455235702867766,19,12.0,3.0,3.0,3.0
AAPL,M1,ok,equity,bars,52444,36,100179,400,-0.0010514280181501147,2.340590721215607,7.67227135789631,0.7835118916976546,2.394734820308726,1.7439827230226328,35,12.0,3.0,3.0,3.0
AAPL,M15,ok,equity,bars,28143,42,55277,400,-0.00014151383895066077,2.117887484262224,7.4254434606242095,0.9497231324307737,1.0584897437510696,0.30138007728111,32,12.0,3.0,3.0,3.0
AAPL,M30,ok,equity,bars,15844,32,29171,400,0.00001854507662376097,0.7778386713987886,7.4687725367179425,0.49563525121887,3.8094241735794276,0.3000458864235597,34,12.0,3.0,3.0,3.0
ALVG,H1,ok,equity,bars,181,43,14184,400,0.004310856417773511,1.149021813105235,6.277922384740075,0.4332397135760585,2.2439540390017085,0.3381086997356016,11,12.0,3.0,3.0,3.0
ALVG,H4,ok,equity,bars,99,57,4836,400,0.009070361293726468,0.5002944311208181,3.971432218399302,0.5572092290576202,3.6926242770027438,0.8006577914386126,23,12.0,3.0,3.0,3.0
ALVG,M1,ok,equity,bars,22,36,100066,400,-999.0,1.249080237694725,7.704285838459497,1.178392730173686,2.79597545259111,0.565231688752142,10,12.0,3.0,3.0,3.0
ALVG,M15,ok,equity,bars,324,30,41881,400,5.265784584404077e-6,2.107351961901627,5.589937129858765,1.0798366550231397,2.224393236310933,0.8888526288414982,20,12.0,3.0,3.0,3.0
ALVG,M30,ok,equity,bars,203,25,23047,400,0.00009123049396953413,1.9247804489900404,5.869682155915013,1.0652951116265075,3.715370988312585,0.302343066463957,35,12.0,3.0,3.0,3.0
AMZN,H1,ok,equity,bars,6566,35,11741,400,0.0032247996517255953,0.6378227176245217,7.2190894156392975,1.242984730977753,2.500617358419283,0.30704727077558597,29,12.0,3.0,3.0,3.0
AMZN,H4,ok,equity,bars,1937,40,3453,400,0.0050283089105341554,0.823253272431232,4.287312871178325,0.9903846420792981,1.007077776745694,0.5789794004587134,8,12.0,3.0,3.0,3.0
AMZN,M1,ok,equity,bars,53187,36,100179,400,-0.0010079991884095621,2.458163389448525,7.857588942313048,1.4562629163475265,3.6772005296775956,0.5778880452846761,36,12.0,3.0,3.0,3.0
AMZN,M15,ok,equity,bars,17117,23,32880,400,0.00015017202861322964,2.08843967588451,7.453221581966981,1.0292496335864667,1.7332872383607756,0.30029674413456076,35,12.0,3.0,3.0,3.0
AMZN,M30,ok,equity,bars,10122,19,18414,400,0.00011354954964765239,0.5015432248279781,7.783758887830119,0.8253505110823761,2.4592235654094012,1.0898121001435936,26,12.0,3.0,3.0,3.0
BCHUSD,H1,ok,crypto,bars,219,241,73385,400,0.003666168562164967,0.8000756095624412,5.7388096108080795,0.9938977220597819,2.8931826449866747,0.5020835192441555,46,24.0,3.0,15.0,3.0
BCHUSD,H4,ok,crypto,bars,191,228,18550,400,0.05377552024405687,1.9220343259975794,9.20393618493556,1.1227402303804228,3.2975650782501167,0.8520494821674928,6,24.0,3.0,15.0,3.0
BCHUSD,M1,too_few_signals,crypto,,15,,,,,,,,,,,,,,
BCHUSD,M15,ok,crypto,bars,33,80,100985,400,-999.0,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,24.0,3.0,15.0,3.0
BCHUSD,M30,ok,crypto,bars,118,121,100188,400,0.08338222755620366,1.2002566374824057,3.6444216380445726,0.5691911633470724,4.645228188616372,1.7360588551387077,36,24.0,3.0,15.0,3.0
BTCUSD,H1,ok,crypto,bars,377,227,69317,400,0.000014764618413250773,2.273133714515194,9.112157840463079,1.093808422368827,3.7347344480305593,0.7014479197059882,13,24.0,3.0,15.0,3.0
BTCUSD,H4,ok,crypto,bars,45,218,17709,400,-999.0,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,24.0,3.0,15.0,3.0
BTCUSD,M1,too_few_signals,crypto,,6,,,,,,,,,,,,,,
BTCUSD,M15,ok,crypto,bars,200,79,100182,400,0.000054295279992135374,2.11235722974875,4.5958430719186225,1.1729770463815747,4.064315592505721,0.7135225667083955,33,24.0,3.0,15.0,3.0
BTCUSD,M30,ok,crypto,bars,447,121,100173,400,0.00004321708772621677,2.3311237739113517,9.855281157929994,1.1776463813699787,4.475519614243593,0.648068435193247,38,24.0,3.0,15.0,3.0
DBKGn,H1,ok,equity,bars,7764,43,14182,400,0.0001837413192730315,1.4155258923960097,7.650599277078603,1.0914756960330276,1.7216398807143363,0.6516654675114689,35,12.0,3.0,3.0,3.0
DBKGn,H4,ok,equity,bars,2673,57,4835,400,0.001937275595223892,0.5773791246699295,6.824401487441785,0.3001362850327648,3.821738059302624,0.3975013458646513,26,12.0,3.0,3.0,3.0
DBKGn,M1,ok,equity,bars,52761,36,100064,400,-0.0010601923920792523,0.5003739152335035,7.870145709637071,1.4978077873847797,2.873584232723737,0.30002200007378593,17,12.0,3.0,3.0,3.0
DBKGn,M15,ok,equity,bars,21920,31,42225,400,-0.00008543374068974441,1.535618919467996,7.905649073460442,1.0016562876185684,2.9564640071586465,0.3858547425615951,35,12.0,3.0,3.0,3.0
