total_return,total_return_pct,final_equity,max_dd,max_dd_pct,sharpe,calmar,profit_factor,n_trades,win_rate,wins,losses,avg_bars_held,ftmo_compliant,ftmo_killed,max_daily_loss_pct,max_daily_gain_pct,gross_profit,gross_loss,sl,tp,breakeven,trail,horizon,session,skipped_max_pos,skipped_corr,skipped_spread,skipped_dd_gate,skipped_profit_lock,skipped_profit_gate,skipped_session,skipped_already_in,prob_threshold,risk_scale,max_positions,dd_gate_pct,profit_lock_pct,profit_gate_pct,dd_recovery_threshold,session_buffer_hours
-9287.38,-0.0929,90712.62,10676.45,0.1053,-0.821,-0.87,0.298,32,0.25,8,24,7.2,False,True,-0.0495,0.0,3934.48,13221.86,18,0,5,9,0,0,1091,62,49,0,0,0,93,83,0.44,0.5,5,0.025,0.02,0.01,0.03,1
-9287.38,-0.0929,90712.62,10676.45,0.1053,-0.821,-0.87,0.298,32,0.25,8,24,7.2,False,True,-0.0495,0.0,3934.48,13221.86,18,0,5,9,0,0,1091,62,49,0,0,0,93,83,0.44,0.5,5,0.025,0.02,0.01,0.03,2
-9287.38,-0.0929,90712.62,10676.45,0.1053,-0.821,-0.87,0.298,32,0.25,8,24,7.2,False,True,-0.0495,0.0,3934.48,13221.86,18,0,5,9,0,0,1091,62,49,0,0,0,93,83,0.44,0.5,5,0.025,0.02,0.01,0.03,3
-10509.06,-0.1051,89490.94,11898.13,0.1174,-0.812,-0.883,0.178,28,0.2143,6,22,6.4,False,True,-0.0623,0.0,2444.57,13723.27,14,0,5,7,2,0,1091,60,47,0,0,0,93,83,0.44,0.5,5,0.025,0.02,0.01,0.05,1
-10509.06,-0.1051,89490.94,11898.13,0.1174,-0.812,-0.883,0.178,28,0.2143,6,22,6.4,False,True,-0.0623,0.0,2444.57,13723.27,14,0,5,7,2,0,1091,60,47,0,0,0,93,83,0.44,0.5,5,0.025,0.02,0.01,0.05,2
-10509.06,-0.1051,89490.94,11898.13,0.1174,-0.812,-0.883,0.178,28,0.2143,6,22,6.4,False,True,-0.0623,0.0,2444.57,13723.27,14,0,5,7,2,0,1091,60,47,0,0,0,93,83,0.44,0.5,5,0.025,0.02,0.01,0.05,3
-9287.38,-0.0929,90712.62,10676.45,0.1053,-0.821,-0.87,0.298,32,0.25,8,24,7.2,False,True,-0.0495,0.0,3934.48,13221.86,18,0,5,9,0,0,1091,62,49,0,0,0,93,83,0.44,0.5,5,0.025,0.02,0.02,0.03,1
-9287.38,-0.0929,90712.62,10676.45,0.1053,-0.821,-0.87,0.298,32,0.25,8,24,7.2,False,True,-0.0495,0.0,3934.48,13221.86,18,0,5,9,0,0,1091,62,49,0,0,0,93,83,0.44,0.5,5,0.025,0.02,0.02,0.03,2
-9287.38,-0.0929,90712.62,10676.45,0.1053,-0.821,-0.87,0.298,32,0.25,8,24,7.2,False,True,-0.0495,0.0,3934.48,13221.86,18,0,5,9,0,0,1091,62,49,0,0,0,93,83,0.44,0.5,5,0.025,0.02,0.02,0.03,3
-10509.06,-0.1051,89490.94,11898.13,0.1174,-0.812,-0.883,0.178,28,0.2143,6,22,6.4,False,True,-0.0623,0.0,2444.57,13723.27,14,0,5,7,2,0,1091,60,47,0,0,0,93,83,0.44,0.5,5,0.025,0.02,0.02,0.05,1
