symbol,status,error,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled,account_id
AAPL,ok,,0,H4,0.0029426293246681366,1776,2,0.001019853131540035,0.6348227155083986,0.7766129586066863,6.3971331396818965,49.83762968261332,1.0951070921906623,0.008171837255270353,0.6514406776097004,150,5364,cpu,equity,0.0029426293246681366,3.0,4.304469474135437,3.0,39,false,bright_100k
AAVE_USD,ok,,0,H4,0.0055399869504614944,878,5,0.735195257668046,0.9329257597928293,0.8356869693724864,0.000019482156812069576,0.27083880979444636,0.7348306784962233,0.29451942861045727,0.7504458936750429,150,493,cpu,index,0.0055399869504614944,0.0,5.141279524363123,12.0,39,false,bright_100k
AAVUSD,error,"[21:45:49] /workspace/src/common/device_vector.cu:23: Memory allocation error on worker 0: std::bad_alloc: cudaErrorMemoryAllocation: out of memory
- Free memory: 7.5MB
- Requested memory: 32MB

Stack trace:
  [bt] (0) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x2be09c) [0x7ddec7abe09c]
  [bt] (1) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xafa353) [0x7ddec82fa353]
  [bt] (2) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1158208) [0x7ddec8958208]
  [bt] (3) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1152c0d) [0x7ddec8952c0d]
  [bt] (4) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x118feaf) [0x7ddec898feaf]
  [bt] (5) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x11912f0) [0x7ddec89912f0]
  [bt] (6) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1198466) [0x7ddec8998466]
  [bt] (7) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x6a5626) [0x7ddec7ea5626]
  [bt] (8) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x6a6b37) [0x7ddec7ea6b37]

",,,,,,,,,,,,,,,,,,,,,,,,bright_100k
ADAUSD,error,"[21:45:48] /workspace/src/common/device_vector.cu:23: Memory allocation error on worker 0: std::bad_alloc: cudaErrorMemoryAllocation: out of memory
- Free memory: 7.5MB
- Requested memory: 32MB

Stack trace:
  [bt] (0) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x2be09c) [0x7ddec7abe09c]
  [bt] (1) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xafa353) [0x7ddec82fa353]
  [bt] (2) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1158208) [0x7ddec8958208]
  [bt] (3) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1152c0d) [0x7ddec8952c0d]
  [bt] (4) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x118feaf) [0x7ddec898feaf]
  [bt] (5) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x11912f0) [0x7ddec89912f0]
  [bt] (6) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1198466) [0x7ddec8998466]
  [bt] (7) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x6a5626) [0x7ddec7ea5626]
  [bt] (8) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x6a6b37) [0x7ddec7ea6b37]

",,,,,,,,,,,,,,,,,,,,,,,,bright_100k
ADA_USD,ok,,0,H4,0.007236738024342593,705,8,0.0011388291430020731,0.5622642048295518,0.32009636353789217,0.0011696484614591917,0.6499904805900204,0.5737198047280366,0.251529572729591,0.45451944240541514,150,549,cpu,index,0.007236738024342593,0.0,4.305705059204166,12.0,39,false,bright_100k
AIRF,ok,,0,H4,0.00046251291032874337,1399,9,0.014034228554995969,0.6689516091549854,0.6257337837112475,0.014643596815219729,0.00015698409811516743,0.339936813080844,0.24510497967864595,0.5928899624807225,150,2670,cpu,equity,0.00046251291032874337,3.0,50.06257822277852,3.0,39,false,bright_100k
ALGO_USD,error,"[21:45:25] /workspace/src/common/device_vector.cu:23: Memory allocation error on worker 0: std::bad_alloc: cudaErrorMemoryAllocation: out of memory
- Free memory: 13.5MB
- Requested memory: 32MB

Stack trace:
  [bt] (0) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x2be09c) [0x7ddec7abe09c]
  [bt] (1) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xafa353) [0x7ddec82fa353]
  [bt] (2) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1158208) [0x7ddec8958208]
  [bt] (3) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1152c0d) [0x7ddec8952c0d]
  [bt] (4) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x118feaf) [0x7ddec898feaf]
  [bt] (5) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x11912f0) [0x7ddec89912f0]
  [bt] (6) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1198466) [0x7ddec8998466]
  [bt] (7) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x6a5626) [0x7ddec7ea5626]
  [bt] (8) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x6a6b37) [0x7ddec7ea6b37]

",,,,,,,,,,,,,,,,,,,,,,,,bright_100k
ALGUSD,error,"[21:45:39] /workspace/src/common/device_vector.cu:23: Memory allocation error on worker 0: std::bad_alloc: cudaErrorMemoryAllocation: out of memory
- Free memory: 3.5MB
- Requested memory: 2.4381MB

Stack trace:
  [bt] (0) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x2be09c) [0x7ddec7abe09c]
  [bt] (1) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xafa353) [0x7ddec82fa353]
  [bt] (2) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x16925e) [0x7ddec796925e]
  [bt] (3) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xbdfc38) [0x7ddec83dfc38]
  [bt] (4) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xbd63e0) [0x7ddec83d63e0]
  [bt] (5) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xb24f3f) [0x7ddec8324f3f]
  [bt] (6) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xb261fd) [0x7ddec83261fd]
  [bt] (7) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xca2bd1) [0x7ddec84a2bd1]
  [bt] (8) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xca36e2) [0x7ddec84a36e2]

",,,,,,,,,,,,,,,,,,,,,,,,bright_100k
ALVG,ok,,0,H4,0.0006358750607080695,1459,7,0.314009729494826,0.6439444348412431,0.6678745520649799,0.0011028755309527977,0.005498718768581517,3.095880710629707,0.10753934793152065,0.850239489706275,150,2538,cpu,equity,0.0006358750607080695,3.0,4.979793530098847,3.0,39,false,bright_100k
AMZN,ok,,0,H4,0.008144763582084753,221,4,0.051403282994788524,0.5060620074767653,0.866821827272062,0.00013824157239948083,0.17340345421681483,0.5080907058838008,0.26403514386222987,0.37534246701059887,150,1820,cpu,equity,0.008144763582084753,3.0,4.9946647898828616,3.0,39,false,bright_100k
