symbol,threshold,status,cluster,timeframe,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,expectancy_pct,avg_bars_held,n_folds
ALVG,0.59,ok,equity,H4,3,921.54,3138.83,3.14,1.72,0.29,1.29,33.3,0.3648,8.3,15
AMZN,0.74,ok,equity,H4,81,66049.59,19029.02,19.03,4.35,3.47,1.66,40.7,0.413,4.3,8
BCHUSD,0.7,ok,crypto,M30,15,-13812.83,24920.55,24.92,-9.84,-0.55,0.67,26.7,-0.1304,6.0,38
BTCUSD,0.58,ok,crypto,M15,86,-42987.13,44362.47,44.36,-7.22,-0.97,0.65,39.5,-0.2002,20.0,53
DOGEUSD,0.73,ok,crypto,H1,974,-866055.91,955855.31,955.86,-3.97,-0.91,0.67,20.4,-0.3647,10.7,53
EU50.cash,0.53,ok,index,H4,194,63932.9,13128.78,13.13,2.23,4.87,1.58,27.3,0.129,7.7,27
GER40.cash,0.5,ok,index,H4,324,8411.05,76014.19,76.01,0.19,0.11,1.02,44.4,-0.0042,4.9,34
JP225.cash,0.64,ok,index,H4,192,40228.27,33077.85,33.08,1.38,1.22,1.25,54.7,0.0907,9.1,35
NVDA,0.5,ok,equity,H4,64,27386.25,4447.81,4.45,6.0,6.16,3.16,43.8,1.8477,7.3,8
PFE,0.66,ok,equity,H4,71,19090.11,9308.76,9.31,2.95,2.05,1.43,26.8,0.2238,3.4,8
SOLUSD,0.53,ok,crypto,H4,116,-67857.98,82068.55,82.07,-1.67,-0.83,0.74,18.1,-0.214,9.8,18
TSLA,0.62,ok,equity,H4,91,75684.25,23189.8,23.19,3.63,3.26,1.54,24.2,0.7786,3.8,8
UNIUSD,0.75,ok,crypto,H4,96,75218.79,16813.78,16.81,4.01,4.47,1.73,58.3,1.3081,7.3,18
US30.cash,0.55,ok,index,H4,310,286512.74,67748.95,67.75,2.18,4.23,1.45,17.4,0.1046,6.2,35
USOIL.cash,0.54,ok,commodity,H4,191,4394.28,5586.96,5.59,0.59,0.79,1.1,20.9,0.0984,6.6,35
V,0.52,ok,equity,H4,87,44983.85,30641.41,30.64,2.43,1.47,1.43,25.3,0.2193,4.3,8
