symbol,threshold,status,cluster,timeframe,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,expectancy_pct,avg_bars_held,n_folds
FRA40.cash,0.44,ok,index,H4,174,-2806.34,8767.01,8.77,-0.52,-0.32,0.91,33.3,-0.058,9.6,27
FRA40.cash,0.45,ok,index,H4,174,-2806.34,8767.01,8.77,-0.52,-0.32,0.91,33.3,-0.058,9.6,27
FRA40.cash,0.46,ok,index,H4,174,-2806.34,8767.01,8.77,-0.52,-0.32,0.91,33.3,-0.058,9.6,27
FRA40.cash,0.47,ok,index,H4,174,-2806.34,8767.01,8.77,-0.52,-0.32,0.91,33.3,-0.058,9.6,27
FRA40.cash,0.48,ok,index,H4,174,-2806.34,8767.01,8.77,-0.52,-0.32,0.91,33.3,-0.058,9.6,27
FRA40.cash,0.49,ok,index,H4,174,-2806.34,8767.01,8.77,-0.52,-0.32,0.91,33.3,-0.058,9.6,27
FRA40.cash,0.5,ok,index,H4,174,-2806.34,8767.01,8.77,-0.52,-0.32,0.91,33.3,-0.058,9.6,27
FRA40.cash,0.51,ok,index,H4,176,-3735.83,8830.93,8.83,-0.7,-0.42,0.89,33.0,-0.0688,9.4,27
FRA40.cash,0.52,ok,index,H4,176,-5354.99,9508.26,9.51,-1.01,-0.56,0.84,30.7,-0.0948,9.3,27
FRA40.cash,0.53,ok,index,H4,178,-7574.63,9690.57,9.69,-1.47,-0.78,0.78,30.3,-0.1197,9.2,27
FRA40.cash,0.54,ok,index,H4,177,-9289.58,10952.48,10.95,-1.87,-0.85,0.73,28.8,-0.1487,9.2,27
FRA40.cash,0.55,ok,index,H4,175,-8267.48,9930.38,9.93,-1.68,-0.83,0.75,28.6,-0.1388,9.4,27
FRA40.cash,0.56,ok,index,H4,173,-9636.54,9695.47,9.7,-2.05,-0.99,0.7,27.7,-0.1615,9.4,27
FRA40.cash,0.57,ok,index,H4,173,-9937.97,9937.97,9.94,-2.1,-1.0,0.7,28.9,-0.1574,9.4,27
FRA40.cash,0.58,ok,index,H4,172,-10230.86,10230.86,10.23,-2.18,-1.0,0.69,28.5,-0.1672,9.5,27
FRA40.cash,0.59,ok,index,H4,172,-9412.19,9412.19,9.41,-1.98,-1.0,0.71,29.1,-0.1614,9.4,27
FRA40.cash,0.6,ok,index,H4,171,-9345.09,9345.09,9.35,-1.98,-1.0,0.72,29.2,-0.1621,9.4,27
FRA40.cash,0.61,ok,index,H4,166,-8894.14,9090.87,9.09,-1.95,-0.98,0.72,30.1,-0.1649,9.6,27
FRA40.cash,0.62,ok,index,H4,166,-8010.55,8207.09,8.21,-1.75,-0.98,0.75,31.3,-0.1376,9.5,27
FRA40.cash,0.63,ok,index,H4,166,-8589.48,8816.23,8.82,-1.9,-0.97,0.73,30.7,-0.1507,9.4,27
FRA40.cash,0.64,ok,index,H4,167,-7942.46,8607.99,8.61,-1.72,-0.92,0.75,31.1,-0.1432,9.3,27
FRA40.cash,0.65,ok,index,H4,164,-7236.05,7765.27,7.77,-1.58,-0.93,0.77,31.1,-0.1328,9.4,27
FRA40.cash,0.66,ok,index,H4,164,-6785.02,7453.64,7.45,-1.48,-0.91,0.78,31.7,-0.1268,9.3,27
FRA40.cash,0.67,ok,index,H4,166,-7423.48,7673.16,7.67,-1.57,-0.97,0.77,30.7,-0.1292,9.1,27
FRA40.cash,0.68,ok,index,H4,165,-6374.75,6624.42,6.62,-1.37,-0.96,0.8,31.5,-0.11,9.0,27
FRA40.cash,0.69,ok,index,H4,163,-5989.71,6671.41,6.67,-1.37,-0.9,0.8,30.7,-0.1178,9.1,27
FRA40.cash,0.7,ok,index,H4,160,-7127.62,7595.11,7.6,-1.69,-0.94,0.76,31.9,-0.1295,9.2,27
FRA40.cash,0.71,ok,index,H4,157,-4998.6,6214.96,6.21,-1.19,-0.8,0.82,33.8,-0.1118,9.2,27
FRA40.cash,0.72,ok,index,H4,155,-4523.26,5620.62,5.62,-1.08,-0.8,0.84,34.2,-0.0941,9.2,27
FRA40.cash,0.73,ok,index,H4,153,-4666.83,5892.54,5.89,-1.14,-0.79,0.83,34.0,-0.0964,9.0,27
