symbol,timeframe,status,cluster,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
TSLA,M30,ok,equity,3162,4,6330,200,4.805366490862234,1.5273267141244171,6.236801911734378,1.4634445329454389,3.7968710257353613,0.3261251534577773,18,10.9,0.4,5.459654757124338,2.5,0.0053786059275689226
BABA,M30,ok,equity,3440,4,6330,200,8.05704412577095,1.249080237694725,7.704285838459497,1.178392730173686,2.79597545259111,0.565231688752142,10,13.3,0.4,7.91870133298169,2.5,0.0064520903042049865
NVDA,M30,ok,equity,3311,4,6326,200,8.665047508694904,0.7856327036522042,7.730347911253564,0.40829875607132393,2.2708236815328147,0.30418310222887135,19,11.0,0.4,5.568858940802714,2.5,0.01292153726161633
NFLX,M30,ok,equity,0,0,0,0,0.0,1.5,2.0,0.0,1.2,0.5,24,10.0,0.4,5.0,2.5,0.005
V,M30,ok,equity,3296,4,6330,200,1.5725545218691097,1.8993850406301651,6.322986212398525,0.5379117418532745,1.3812395401771798,0.7552848709038804,11,10.9,0.4,5.518594597909276,2.5,0.008323327471875176
PFE,H1,ok,equity,1818,7,3388,200,3.7486600994186623,1.9703428532462381,5.944955228184039,0.3787074562266393,3.9242951249583045,0.4151957237034546,36,19.3,0.4,13.932427725530877,2.5,0.024169471104822517
AAVUSD,H1,ok,crypto,3377,18,6474,200,11.205285141219704,1.3010709271568919,9.98672436091259,0.8558088080784402,4.714384894535228,1.7696114193090549,47,23.1,6.5,0.6320113762041969,8.0,0.027194139372931546
USOIL.cash,H1,ok,commodity,6073,35,11596,200,0.6934505567500806,2.33225363530231,7.997825984650649,0.7880888536506099,1.090175014447707,0.7796097329886615,17,9.9,0.0,3.8984148542171044,3.0,0.029481458400196347
DBKGn,H1,ok,equity,2392,11,4433,200,3.0922454744590553,1.0120860326000736,6.9734683774930595,0.6541184845260004,1.030488826126431,1.0413296040884517,31,15.9,0.4,10.480349344978563,2.5,0.013903939837145702
ZM,H1,ok,equity,0,0,0,0,0.0,1.5,2.5,0.0,0.8,0.4,24,10.0,0.4,5.0,2.5,0.005
UNIUSD,H1,ok,crypto,3305,18,6474,200,2.319678019695282,1.1556440068219613,6.7839428517604885,1.584348928465404,2.626710878342908,2.39117480542904,21,25.5,6.5,2.9615492193031243,8.0,0.011991156684455799
BAC,H1,ok,equity,1894,7,3388,200,3.0665885895863143,0.6044728392739648,4.659382336792156,1.089700729078165,1.9347742217008088,1.8094935110213637,8,24.4,0.4,18.96094046264722,2.5,0.006342998616926169
ETCUSD,H1,ok,crypto,3454,18,6474,200,3.5279560299325166,2.016428545357539,6.843523242730316,0.5018511327964371,4.9372359155425825,1.2132513897940145,40,26.5,6.5,3.954913980620486,8.0,0.016338928719733463
CAD_JPY,H4,ok,forex,1604,34,3014,200,1294.6703367091015,0.9800281336388228,7.197351349643185,0.4845776586726308,1.3698212329704451,1.6224859070377624,28,4.9,0.5,1.3967846018466021,1.5,0.02375842345901964
