symbol,status,folds,parquet
AUD_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/AUD_USD/wfo_metrics.parquet
AUD_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/AUD_JPY/wfo_metrics.parquet
AUD_NZD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/AUD_NZD/wfo_metrics.parquet
ADAUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/ADAUSD/wfo_metrics.parquet
CAD_CHF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/CAD_CHF/wfo_metrics.parquet
CAD_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/CAD_JPY/wfo_metrics.parquet
COTTON.c,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/COTTON.c/wfo_metrics.parquet
BCHUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/BCHUSD/wfo_metrics.parquet
BTCUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/BTCUSD/wfo_metrics.parquet
CHF_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/CHF_JPY/wfo_metrics.parquet
DASHUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/DASHUSD/wfo_metrics.parquet
DXY.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/DXY.cash/wfo_metrics.parquet
DOTUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/DOTUSD/wfo_metrics.parquet
DOGEUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/DOGEUSD/wfo_metrics.parquet
EUR_AUD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/EUR_AUD/wfo_metrics.parquet
EUR_CAD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/EUR_CAD/wfo_metrics.parquet
ETHUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/ETHUSD/wfo_metrics.parquet
EUR_CHF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/EUR_CHF/wfo_metrics.parquet
EUR_CZK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/EUR_CZK/wfo_metrics.parquet
EUR_HUF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/EUR_HUF/wfo_metrics.parquet
EUR_GBP,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/EUR_GBP/wfo_metrics.parquet
EUR_NOK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/EUR_NOK/wfo_metrics.parquet
EUR_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/EUR_JPY/wfo_metrics.parquet
EUR_PLN,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/EUR_PLN/wfo_metrics.parquet
EUR_NZD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/EUR_NZD/wfo_metrics.parquet
FRA40.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/FRA40.cash/wfo_metrics.parquet
EUR_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/EUR_USD/wfo_metrics.parquet
GBP_AUD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/GBP_AUD/wfo_metrics.parquet
