symbol,fold_rows,trades_total,sharpe_mean,sortino_mean,mdd_mean,pf_mean
ADAUSD,5,577,-2.5654983154714013,-3.9882170277560602,-0.49930539297153587,0.5638503340336868
AUD_JPY,5,386,-4.551328619584625,-10.53701468886052,-0.06981503298648946,0.3657756314046272
AUD_NZD,5,121,-4.62328515650276,-10.44679395542401,-0.014880962522834485,0.4859945306467893
AUD_USD,5,334,-2.792775852189806,-4.548622960111846,-0.036327916473998356,0.7040901219912066
BCHUSD,5,1113,-3.421160843113044,-6.0226710741904395,-0.48933582057373803,0.6200067476037272
BTCUSD,5,1538,-2.3113001754889737,-4.314752548379163,-0.3129962453962206,0.7174916521041664
CAD_CHF,5,153,-4.845297292103215,-11.93131093861356,-0.04329700038492388,0.7518843288183342
CAD_JPY,5,218,-5.557652922971043,-9.719375308474776,-0.05364159779614728,0.28750292956584383
CHF_JPY,5,167,-0.8038734386764489,-6.861332666628469,-0.030939174760121802,1.2706741569734923
COTTON.c,5,0,0.0,0.0,0.0,0.0
DASHUSD,5,7054,-1.7435664875127568,-3.131742347237868,-0.9792795488059264,0.762244056913382
DOGEUSD,5,709,-2.93029358626262,-5.15976859176857,-0.48922159422433964,0.6377080406994826
DOTUSD,5,593,-3.3213355219885434,-6.083640866765008,-0.41563787402489594,0.6068373052926973
DXY.cash,5,23,-0.7714406821080029,-11.218725386355198,-0.0032591751101222364,13.988927049823179
ETHUSD,5,998,-2.7098034302454153,-6.189452031816314,-0.3913084647136255,0.6827023824868985
EUR_AUD,5,188,-2.3179836309496005,-5.352941746001077,-0.027988451975818784,0.6158634805407951
EUR_CAD,5,79,-5.164483293906529,-17.68312933549224,-0.008281439584777294,0.40637471162753974
EUR_CHF,5,60,-6.312671460328327,-11.333370171165498,-0.011087489409353491,0.26651771471715735
EUR_CZK,5,0,0.0,0.0,0.0,0.0
EUR_GBP,5,61,-4.309465227025422,-9.261917819218098,-0.008780143888852399,0.22567501278797358
EUR_HUF,5,27,-0.8493012096189826,-7.1929672565757645,-0.0037056964318604503,0.8739481436405168
EUR_JPY,5,143,-13.32574425154911,-21.838377847361727,-0.02558317133087391,inf
EUR_NOK,5,26,5.471075645979791,-1.518343017218989,-0.003052451788648569,inf
EUR_NZD,5,118,-2.224915471001134,-4.9790751844812435,-0.012867031689943187,0.5555010755395566
EUR_PLN,5,0,0.0,0.0,0.0,0.0
EUR_USD,5,208,-3.60411487752625,-8.516830897056352,-0.026133335673019852,0.4130970706521501
FRA40.cash,5,613,-3.8151373466628344,-8.137034028353662,-0.1310370526057409,0.5880195633907872
GBP_AUD,5,209,-2.5611453482181608,-6.285805438403633,-0.022243631557642085,0.5205272333474179
GBP_CAD,5,139,-4.580310664069801,-10.133597570295901,-0.01993113813203804,0.37809339349706
GBP_CHF,5,156,-3.319338851339437,-9.62808842135829,-0.019663714572758506,0.43836452977253193
GBP_JPY,5,241,-3.3681581104233396,-7.561036075943667,-0.02795649866391132,0.44606544005695226
GBP_NZD,5,178,-0.2930178570727742,-1.0641714717472208,-0.015173051318387065,0.9222219745605443
GBP_USD,5,303,-3.552288110550782,-6.987295452451593,-0.02962454277403641,0.43225470434443425
GER40.cash,5,495,-2.7281528607697005,-7.339767566846655,-0.08253897770561935,0.7369057980248417
GOOG,5,668,-0.4697254370148579,-0.7443251513374607,-0.18582351493343863,0.9927947222733209
HEATOIL.c,5,0,0.0,0.0,0.0,0.0
HK50.cash,5,536,-4.407513284211642,-16.217508330484257,-0.10924969280095313,0.5914081046911782
IBE,5,35,-17.592100546679337,-22.273554027285492,-0.026510823935839055,0.6019244560433628
JP225.cash,5,1007,-4.361027944175694,-9.215004332749798,-0.22271270170049834,0.5493816998222594
LTCUSD,5,558,-2.4634720052989274,-6.132918496763347,-0.42222496544565163,0.7963007497745396
LVMH,5,1160,-1.4715471168376606,-3.346433140741822,-0.23657334147811565,0.7988919435513224
META,5,685,-2.800890786359024,-5.304260669148905,-0.2807496494763176,0.7484086904881198
MSFT,5,528,-1.7796908314538402,-2.031822035057113,-0.14101764432972094,0.9285675463131389
N25.cash,5,125,-2.8478655842990483,-9.7460092284072,-0.05836687134679845,0.5136703289943612
NATGAS.cash,5,128,-22.904157326365578,-28.42190988158053,-0.3292635642019431,0.133334850842369
NEOUSD,5,3,-2.7496291455011295,-2.7496291455011295,-0.01420958278528961,inf
NFLX,5,536,-2.8641655179086882,-6.042181948522527,-0.294886350438598,0.7126032705108942
NVDA,5,781,-1.5459694415894942,-1.737203436536624,-0.25297910342932844,0.9162007244115049
NZD_CAD,5,150,-3.9677784485707703,-8.092792227528813,-0.01557568096871329,0.400830990341278
NZD_CHF,5,158,-1.7792347966414463,-4.093571454491442,-0.020845277827443963,0.611435654611532
NZD_JPY,5,284,-4.786001300745797,-12.46867068247219,-0.049477969285786315,0.5182073905087468
NZD_USD,5,248,-3.3857797281536968,-6.532755212896208,-0.02339634279290579,0.4553021583321438
PFE,5,391,-3.946955543788802,-8.525997932140825,-0.2104220024395702,0.6625760117367175
RACE,5,353,-6.4849170736930715,-10.692002709793009,-0.2923609165316776,0.40705916873617715
SOYBEAN.c,5,36,-15.813914418930988,-35.607564967181865,-0.023326856240892126,0.3903638693204668
SPN35.cash,5,409,-4.939713052205269,-9.281725168484366,-0.08050308560988721,0.5792560842551671
SUGAR.c,5,0,0.0,0.0,0.0,0.0
T,5,133,-6.093233502302255,-11.686784224049315,-0.1553329982634972,0.2703945670813617
TSLA,5,804,-0.6194304635259815,-1.6198658911025134,-0.28211821969864437,1.032762572858175
UK100.cash,5,347,-6.013775941719201,-11.016847915746094,-0.054130318795123714,0.44713990024291406
UKOIL.cash,5,1072,-2.1179134315212234,-4.6575318977856,-0.1767072093645517,0.7456135307868967
US100.cash,5,781,-3.8253646328155666,-8.948032732595724,-0.14646403443782222,0.5915351937578106
US2000.cash,5,480,-5.064063611937684,-10.657887937274463,-0.15515313526426588,0.5233177970390128
US30.cash,5,481,-3.839886647290375,-6.906730805492396,-0.07465888207318842,0.5708537702673924
US500.cash,5,481,-3.0548115801112257,-6.8099161476241985,-0.08043114811831154,0.6826256328087925
USD_CAD,5,100,-3.97021406991844,-9.790028379521639,-0.017590823435059976,0.2597383572419264
USD_CHF,5,204,-4.43208120882098,-9.720104852242489,-0.03406253245305866,0.36455396418667163
USD_CNH,5,0,0.0,0.0,0.0,0.0
USD_CZK,5,47,-1.3012667490126073,-4.5338052859513285,-0.012161177454173644,0.27311652238438694
USD_HKD,5,0,0.0,0.0,0.0,0.0
USD_HUF,5,162,-3.6973539946965546,-7.888405189928214,-0.03530661924030787,0.49889656874630983
USD_ILS,5,229,-2.691145065842713,-7.705678290508982,-0.047829460504824416,0.5274487280422382
USD_JPY,5,248,10.073081202295787,-14.857601751745303,-0.0477771257506953,inf
USD_MXN,5,140,-3.077311097038189,-6.4383333259573785,-0.02582025767939351,0.4970492464134061
USD_NOK,5,129,-2.0811433401749055,0.36343822780870594,-0.021465700156965896,0.9978863750882585
USD_PLN,5,83,-5.470968858221771,-8.56132449233615,-0.01883915453779241,0.30642717457268986
USD_SEK,5,96,0.1604254257790103,-11.868919669985019,-0.022869469789666065,inf
USD_SGD,5,4,-1.6041547626347163,-2.1846149484693305,-0.00016547544854101927,inf
USD_ZAR,5,136,-6.424417828489874,-17.90758153622608,-0.0434682073762108,0.2590238108250407
USOIL.cash,5,915,-1.5705951865326153,-3.335236299968706,-0.1552856304161648,0.8055444791649318
V,5,548,-1.4089330779658755,-3.3398100889597955,-0.14426357698373443,0.8770190729304341
VOWG_p,5,181,-6.851188721833461,-7.873230248363268,-0.12225317631068697,inf
WHEAT.c,5,112,-4.772770804353614,-17.844954338648733,-0.06556447081887833,0.3462657526016805
WMT,5,334,-4.932787249857288,-11.387548000041706,-0.16644940993764884,0.49779505148951964
XAG_AUD,5,4096,-2.1551263255238924,-4.226649050953757,-0.6481415280514843,0.7264550289749965
XAG_EUR,5,2800,-2.2493894857649215,-4.161513248174646,-0.5484841783254222,0.7162111725329366
XAG_USD,5,2796,-1.7261266056856102,-3.045090555844855,-0.5195157792328965,0.7739521978345205
XAU_AUD,5,2019,-2.4638947396547013,-4.643580307050103,-0.3222136241154563,0.7006046138713934
XAU_EUR,5,1434,-3.409106046609087,-5.891137950014409,-0.2932577347017644,0.6189702261789473
XAU_USD,5,1363,-2.7024359603002095,-4.366634833218738,-0.21172788238443846,0.7373344620390294
XCU_USD,5,645,-3.4841539164657305,-7.7211958360410575,-0.20960663517774866,0.6142764564047704
