symbol,status,folds,parquet,error
ADAUSD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/ADAUSD/wfo_metrics.parquet,
AUD_JPY,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/AUD_JPY/wfo_metrics.parquet,
AUD_NZD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/AUD_NZD/wfo_metrics.parquet,
AUD_USD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/AUD_USD/wfo_metrics.parquet,
BCHUSD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/BCHUSD/wfo_metrics.parquet,
BTCUSD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/BTCUSD/wfo_metrics.parquet,
CAD_CHF,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/CAD_CHF/wfo_metrics.parquet,
CAD_JPY,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/CAD_JPY/wfo_metrics.parquet,
CHF_JPY,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/CHF_JPY/wfo_metrics.parquet,
COTTON.c,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/COTTON.c/wfo_metrics.parquet,
DASHUSD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/DASHUSD/wfo_metrics.parquet,
DOGEUSD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/DOGEUSD/wfo_metrics.parquet,
DOTUSD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/DOTUSD/wfo_metrics.parquet,
DXY.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/DXY.cash/wfo_metrics.parquet,
ETHUSD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/ETHUSD/wfo_metrics.parquet,
EUR_AUD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/EUR_AUD/wfo_metrics.parquet,
EUR_CAD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/EUR_CAD/wfo_metrics.parquet,
EUR_CHF,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/EUR_CHF/wfo_metrics.parquet,
EUR_CZK,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/EUR_CZK/wfo_metrics.parquet,
EUR_GBP,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/EUR_GBP/wfo_metrics.parquet,
EUR_HUF,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/EUR_HUF/wfo_metrics.parquet,
EUR_JPY,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/EUR_JPY/wfo_metrics.parquet,
EUR_NOK,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/EUR_NOK/wfo_metrics.parquet,
EUR_NZD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/EUR_NZD/wfo_metrics.parquet,
EUR_PLN,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/EUR_PLN/wfo_metrics.parquet,
EUR_USD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/EUR_USD/wfo_metrics.parquet,
FRA40.cash,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/FRA40.cash/wfo_metrics.parquet,
GBP_AUD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/GBP_AUD/wfo_metrics.parquet,
GBP_CAD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/GBP_CAD/wfo_metrics.parquet,
GBP_CHF,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/GBP_CHF/wfo_metrics.parquet,
GBP_JPY,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/GBP_JPY/wfo_metrics.parquet,
GBP_NZD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/GBP_NZD/wfo_metrics.parquet,
GBP_USD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/GBP_USD/wfo_metrics.parquet,
GER40.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/GER40.cash/wfo_metrics.parquet,
GOOG,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/GOOG/wfo_metrics.parquet,
HEATOIL.c,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/HEATOIL.c/wfo_metrics.parquet,
HK50.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/HK50.cash/wfo_metrics.parquet,
IBE,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/IBE/wfo_metrics.parquet,
JP225.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/JP225.cash/wfo_metrics.parquet,
LTCUSD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/LTCUSD/wfo_metrics.parquet,
LVMH,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/LVMH/wfo_metrics.parquet,
META,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/META/wfo_metrics.parquet,
MSFT,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/MSFT/wfo_metrics.parquet,
N25.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/N25.cash/wfo_metrics.parquet,
NATGAS.cash,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/NATGAS.cash/wfo_metrics.parquet,
NEOUSD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/NEOUSD/wfo_metrics.parquet,
NFLX,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/NFLX/wfo_metrics.parquet,
NVDA,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/NVDA/wfo_metrics.parquet,
NZD_CAD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/NZD_CAD/wfo_metrics.parquet,
NZD_CHF,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/NZD_CHF/wfo_metrics.parquet,
NZD_JPY,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/NZD_JPY/wfo_metrics.parquet,
NZD_USD,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/NZD_USD/wfo_metrics.parquet,
PFE,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/PFE/wfo_metrics.parquet,
RACE,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/RACE/wfo_metrics.parquet,
SOYBEAN.c,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/SOYBEAN.c/wfo_metrics.parquet,
SPN35.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/SPN35.cash/wfo_metrics.parquet,
SUGAR.c,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/SUGAR.c/wfo_metrics.parquet,
T,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/T/wfo_metrics.parquet,
TSLA,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/TSLA/wfo_metrics.parquet,
UK100.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/UK100.cash/wfo_metrics.parquet,
UKOIL.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/UKOIL.cash/wfo_metrics.parquet,
US100.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/US100.cash/wfo_metrics.parquet,
US2000.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/US2000.cash/wfo_metrics.parquet,
US30.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/US30.cash/wfo_metrics.parquet,
US500.cash,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/US500.cash/wfo_metrics.parquet,
USD_CAD,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/USD_CAD/wfo_metrics.parquet,
USD_CHF,ok,5,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34_tf_m1_h1/USD_CHF/wfo_metrics.parquet,
USD_CNH,ok,5,trading_prop/production/ml_boxes_native_wf34_tf_m1_h1_retry21/USD_CNH/wfo_metrics.parquet,
