trade_num,equity
0,100000.0
1,100003.51383205128
2,100007.02778757272
3,100241.08232530036
4,100223.83339161624
5,99978.71492856625
6,99961.5111416196
7,100334.93127322046
8,100613.03501719527
9,100364.84377421401
10,100084.33306672104
11,100407.9276632494
12,100390.6500197379
13,100132.6781244949
14,100668.87965242998
15,100651.55710573656
16,100409.53173181966
17,100185.74253415041
18,99908.98261252975
19,100607.87330737896
20,100590.5612583216
21,100305.5925516132
22,99944.7687473046
23,100756.47847538025
24,101317.25287789077
25,101851.27305388331
26,101833.74704744168
27,101816.22405677877
28,101798.70408137563
29,101515.81327897462
30,101841.93872613047
31,101824.41432588857
32,101543.07213198597
33,101875.7953950646
34,102481.20390447862
35,102158.77475499942
36,101578.52333464238
37,101561.04426147112
38,100775.18318524401
39,100757.84234642379
40,100740.50449151966
41,101689.51927645963
42,102901.63695104558
43,101887.44352110013
44,100706.66860060659
45,100689.33955139897
46,100672.01348407875
47,102570.77736233486
48,102553.12754755224
49,101275.10240157865
50,101257.67553941143
51,101240.25167596272
52,102758.90850108571
53,104206.49310670175
54,104188.56182695739
55,104170.63363272895
56,104152.70852348549
57,103606.30611059317
58,103588.47810772347
59,103570.65317259837
60,104336.76818900296
61,104318.81449223953
62,105545.80833638924
63,105527.64659465222
64,105091.65065836362
65,105875.16243937581
66,105433.36851573466
67,105415.22612202307
68,104863.55172286372
69,104414.52973862096
70,104396.56266107809
71,105279.1529037964
72,104883.57964993358
73,104428.99629533132
74,104411.02672846301
75,105001.21867540982
76,104569.55449881277
77,104551.56074546247
78,105254.69158383248
79,104731.30611111477
80,104108.76706317456
81,104090.85259958985
82,103554.56103317066
83,104190.85645498145
84,105010.69334386072
85,105138.62046185219
86,105771.70086400332
87,105652.69379038508
88,106032.94294440054
89,106431.15866131305
90,106839.27082932895
91,107349.34040899039
92,107330.8683253816
93,107312.39942034728
94,106983.05183464628
95,107419.205918484
96,107400.7218128029
97,107046.67559024206
98,107028.2555875293
99,107009.83875442923
100,107513.13738429204
101,107097.93365181811
102,107503.79238914563
103,107485.29372829026
104,107149.71955646844
105,107468.62519696531
106,108098.93922143934
107,107710.64984882569
108,107692.11559307727
109,108066.98854138452
110,107699.87936936846
111,108352.10264765941
112,108333.45801424416
113,107812.93134836784
114,107794.37949258197
115,108507.95801870809
116,108012.20404370144
117,108771.57497533831
118,108334.53722164604
119,108315.8956107926
120,108782.6120391027
121,109313.77538469677
122,109311.57974840207
123,109567.78238032722
124,109960.94098656802
125,110301.13985682948
126,110282.15984381946
127,111404.6428582837
128,111592.9200438416
129,111121.33173314652
130,111102.21058603305
131,110592.00237733031
132,111024.72508864118
133,110575.77859343315
134,110099.90749543466
135,110080.96210938173
136,109634.98824089672
137,109001.75288950735
138,108270.50554165785
139,108900.23525636205
140,109331.14103873892
141,109312.3279377863
142,108999.97240247391
143,108715.43895919362
144,108960.15649049664
145,109278.96855804457
146,109260.16443464524
147,109585.59594780202
148,109907.89828719432
149,109668.7969237911
150,110038.13939090355
151,109783.70474726234
152,109764.81377163783
153,109461.9300416092
154,109158.01375754381
155,109139.23044738079
156,109120.45036934638
157,108788.72787546618
158,108462.66843660978
159,108444.00477764214
160,108425.34433021421
161,108086.09251929283
162,109081.30306198109
163,108484.08276143215
164,109156.37753851975
165,109340.44636427876
166,109021.03569886142
167,108734.81958608072
168,108716.1090968413
169,109075.24240727488
170,108697.75730704283
171,108679.05319527638
172,109191.74674287926
173,109732.3961890516
174,109713.51404232136
175,109694.635144727
176,109293.66145981151
177,109274.85480813852
178,108967.7906873847
179,109476.70188969802
180,109846.64555690745
181,109827.74375077485
182,110263.3237384591
183,109924.00547934433
184,110303.9295450385
185,109923.72147895437
186,110622.48506245132
187,110603.44975412711
188,110185.0720693009
189,109834.60156139302
190,109510.77506140688
191,109172.11856613502
192,109153.33282889417
193,108852.20874307562
194,109218.49443056248
195,108883.53113136652
196,108917.12646503157
197,108606.50171373389
198,108587.81330472764
199,108266.91817630142
200,108248.2882009611
201,107969.21692735655
202,107950.6381788085
203,107705.28556975602
204,107410.6383148218
205,107392.15568340679
206,107118.34868567242
207,107449.02373105791
208,107146.23984234812
209,107725.22674587567
210,107488.16074028682
211,107469.66476923955
212,107451.17198087716
213,107432.682374652
214,107109.20166054038
215,107477.1276290701
216,107233.20523680001
217,106904.27643349681
218,107547.76326240787
219,108005.45869711407
220,108419.83709000675
221,108009.60536690774
222,107838.00083604068
223,107819.44466643536
224,107586.20732671117
225,107354.9533964128
226,107336.48034695204
227,107068.16750152168
228,107380.53188264006
229,107617.4302713091
230,107598.91205627247
231,107322.03327750314
232,107303.56589275523
233,107062.64171709333
234,106871.6592353734
235,106657.39989493912
236,106925.84429955349
237,106907.44508882414
238,106889.0490441297
239,107283.2247450696
240,107264.76403828034
241,106934.00795364344
242,106829.61134542296
243,106427.64269463214
244,106896.33833863749
245,106461.15587095046
246,106231.52009210235
247,106497.50587973525
248,106194.6107773527
249,105827.24241670819
250,105809.03224734376
251,105359.33132166459
252,105114.58434687387
253,104834.99596820267
254,105261.26567840869
255,105243.15289920603
256,105060.37254479068
257,104801.81569840887
258,104575.46668144177
259,104906.62470344908
260,104651.59888360846
261,104493.91244230526
262,104475.93170502369
263,104296.27546500912
264,104143.14774149189
265,103939.8943289058
266,103690.6528094274
267,103331.0883953923
268,103833.64502823519
269,103573.38040942476
270,103770.4655408408
271,103584.49192288579
272,103433.32999640644
273,103637.77359891974
274,103514.94165329498
275,103303.97640077236
276,103599.01819583433
277,103807.12948057227
278,103823.23703522327
279,103805.37170407412
280,103787.50944709282
281,104174.56266965109
282,103953.14855072464
283,103700.78130152277
284,103988.0139538391
285,103970.12026878477
286,104204.59763545405
287,104000.02263051446
288,103885.10432703386
289,103867.22835010166
290,104046.65901122983
291,103823.19881153543
292,103805.3334869636
293,103787.47123655849
294,104123.78052784306
295,104340.85125811074
296,104792.57539562418
297,105068.9559446099
298,104899.80913354468
299,104719.54811856056
300,104963.56919632178
301,104722.41923526359
302,104558.12054683117
303,104260.41841342695
304,104023.81598630064
305,103749.29453395309
306,104000.37309035534
307,103746.62204606221
308,103728.76989839868
309,103710.92082263445
310,103982.11632189837
311,103657.6827698868
312,104074.33446373347
313,103799.71287593782
314,103781.85159269652
315,103575.15020498316
316,103866.93493619283
317,104197.55292867695
318,104455.22577742832
319,104437.2516971351
320,104237.03663250864
321,104219.10009700248
322,104492.56181809344
323,104236.22736950598
324,104429.35414665117
325,104658.44216867893
326,104935.54299523753
327,104917.4862646013
328,104689.66164364225
329,105061.54494200929
330,105375.75944951909
331,105742.42175610775
332,105768.91791948768
333,105564.29183014063
334,105964.34836862535
335,106652.81154579361
336,106634.45931703766
337,106830.94203135071
338,106628.81174786939
339,106461.67886651534
340,106443.35952681878
341,106425.04333941336
342,106689.84958587575
343,106897.90924245467
344,106879.51483863618
345,106719.17860095123
346,106497.68010154036
347,106231.0486155748
348,106050.16792263402
349,106031.91939347557
350,105788.94307198528
351,105656.93138171446
352,105638.75051853547
353,105499.39152957659
354,106021.3628396272
355,106178.00026776652
356,106159.72974192176
357,106283.58295373505
358,106136.64269958774
359,106118.37929032567
360,106507.2423799734
361,106789.0132914081
362,106770.63762580547
363,106518.98460118085
364,106918.11087239621
365,106899.71299239244
366,106974.03964702343
367,106955.63214310397
368,106848.64754189095
369,106997.75251790464
370,106979.34093360488
371,106960.9325174692
372,106942.52726895246
373,107217.3219584536
374,107198.8725918531
375,106947.78599259768
376,107125.86932276262
377,107258.30710916698
378,107239.85069006735
379,107509.27496882064
380,107283.12300871218
381,107264.66231942915
382,107049.03218396321
383,106865.28976136511
384,106846.90097052738
385,106574.98568490341
386,106785.09660012445
387,106935.9408445364
388,106756.26214473251
389,106737.89211476692
390,106539.21290896628
391,106275.24057885956
392,106111.76211190643
393,106189.20956035254
394,106036.02691904492
395,106017.78082319253
396,105999.53786702789
397,105981.29805001072
398,106180.86788217124
399,106162.59686288318
400,106341.28611813993
401,106705.56865766233
402,107068.29942178108
403,107049.87569815842
404,107520.29138066915
405,108287.41189147127
406,107898.26798956287
407,108352.80431455353
408,107949.0316947881
409,107624.36172183878
410,107605.84231407629
411,107888.87277855551
412,108319.93978789938
413,108301.30068889199
414,108628.82588267468
415,109058.10806300596
416,109933.79186210613
417,109654.03901329477
418,109635.17034983603
419,109847.0254407842
420,109828.12356928329
421,109809.22495031237
422,109609.43322885309
423,109391.85153079257
424,109373.02798311264
425,109354.2076744852
426,109579.53990558693
427,109789.06501823141
428,109929.25271360426
429,110123.62390525527
430,110413.56945340874
431,110394.57009413259
432,110592.5520353712
433,110573.52187775754
434,110786.11380661842
435,110523.91152872898
436,110504.89318239587
437,110485.87810863511
438,110889.17518475144
439,110659.68217859068
440,110424.12947446706
441,110405.12829808061
442,110186.25621368113
443,110167.29596921607
444,109996.65054763613
445,109875.02943669057
446,110102.37145600854
447,110269.17146999511
448,110250.19695792913
449,110110.0566310646
450,110236.9629580657
451,110360.93605002416
452,110530.89335873966
453,110419.1833686696
454,110286.59273402016
455,110494.03014259983
456,110358.6422055551
457,110339.65229785742
458,110580.27319575334
459,110796.61321489321
460,110655.33427573052
461,110636.2933148945
462,110414.94698476075
463,110768.10130819112
464,110749.04094302487
465,110565.90614730932
466,110546.8805747734
467,110527.85827605327
468,110508.8392505856
469,110825.6276036125
470,110593.18226208267
471,111124.26569469471
472,111105.14404272128
473,111393.61231775752
474,111698.98780753685
475,111435.70148553232
476,111629.4590307776
477,111442.30127706526
478,111180.48581259215
479,111508.32497962772
480,111859.8252073028
481,112475.49153957896
482,112098.9817623036
483,112079.69238655445
484,112497.39709807141
485,112850.90930206524
486,112831.49053876392
487,112812.0751169365
488,113063.70227918257
489,113404.5671407283
490,113157.52572775511
491,112914.81552086138
492,112895.38576092968
493,112513.06997094545
494,112883.55269048703
495,112864.12831009111
496,112467.38908477816
497,113142.96996409782
498,113608.76598925615
499,113212.87641252713
500,113193.39536391782
501,112914.74835645774
502,112895.31860808333
503,112674.79949780607
504,112655.4110385105
505,112636.02591547428
506,112836.33067215029
507,112816.91441745935
508,112797.50150381065
509,112576.32280603258
510,112311.89718697942
511,112250.34964914632
512,112077.92017869194
513,111909.02747803013
514,111725.43038732509
515,111972.06873779863
516,111715.96408043455
517,111998.16017415533
518,112256.73602374736
519,112039.99970538495
520,111827.32293258526
521,111575.81781506223
522,111206.99004570472
523,111001.10518981416
524,110642.24117103235
525,111080.45064909838
526,111061.33653657683
527,110689.90226239388
528,110326.6466000662
529,110011.7906388665
530,110277.02370256436
531,110096.15487145586
532,110479.38501743932
533,110952.86570675192
534,110933.77354834498
535,110908.06408380649
536,110544.8752144819
537,110525.85326083314
538,110506.83458037746
539,110487.81917255162
540,111061.54874968667
541,111456.9450825496
542,112203.80967304576
543,111603.17013655542
544,112378.86082932573
545,112106.0520151792
546,111795.77973334708
547,111776.54253093414
548,111499.18027841196
549,111858.28585705203
550,111438.5675065392
551,111101.60788297959
552,110690.1117339445
553,110671.0647887949
554,110652.02112113878
555,110632.98073041216
556,110367.10912781619
557,110031.85599722664
558,109562.40221744822
559,109543.54932234492
560,109191.9199127684
561,109173.13076822081
562,110147.47714947011
563,110886.30702250366
564,111647.25044313697
565,112238.3059501809
566,111656.02150770953
567,111277.72468645859
568,111258.57662810656
569,111907.15121760176
570,113202.10137570376
571,114162.29352932851
572,114819.56578606657
573,115344.53227129878
574,116696.14708279134
575,116189.0843992502
576,116169.09122115266
577,116149.10148337115
578,116575.49942754718
579,116555.43975727852
580,116832.11949588632
581,116463.38491041517
582,116443.34453219551
583,116181.80586454745
584,115941.98961495815
585,116230.80387656316
586,116607.61635595905
587,116891.9365054193
588,116871.82238440007
589,116614.18601006214
590,116594.1196828193
591,116574.05680847961
592,116553.9973864489
593,116187.11297218764
594,115871.61189471776
595,116354.51448053519
596,116179.52866814303
597,115900.51055600222
598,115880.56703410321
599,116226.56892005487
600,116206.5692918273
601,115893.91276428322
602,115956.75537102662
603,115700.31594621798
604,115405.94410131779
605,115171.30454634776
606,115600.00208003292
607,115580.11026797835
608,115327.04469391488
609,115738.40644603157
610,115513.23444632115
611,115751.87619670911
612,116068.44064353587
613,115676.49798320058
614,116065.08440056596
615,115789.0934986314
616,115555.8363605897
617,115535.95214832903
618,116065.70742619943
619,115627.12206191791
620,116066.02864879667
621,115730.28782377254
622,115710.37359286431
623,116014.36837978737
624,115994.40526586074
625,116355.02585741013
626,116335.00412501986
627,116115.0262364681
628,115853.16574289837
629,115833.2303678342
630,116424.4940180699
631,116404.46033198092
632,116145.66897144538
633,115720.46158739045
634,115700.5490473269
635,115680.63993370364
636,115410.74553928255
637,115800.15464404701
638,116250.74463411029
639,116900.88796530635
640,117437.6643064054
641,118081.56875490799
642,118061.24992851942
643,118477.15155900735
644,118456.76466290728
645,118436.38127487208
646,118133.00538475632
647,118112.67770743562
648,118341.81765961788
649,118321.45405103029
650,118815.95644256439
651,118489.1309919316
652,118087.62509759737
653,117575.85590855328
654,117555.62410244769
655,117087.79408065123
656,117486.21453398485
657,117465.99815287358
658,116978.38116832262
659,117565.89062046922
660,117545.66052913555
661,118351.3700630894
662,117999.2342282557
663,117978.92956953928
664,118216.74209677443
665,118196.40001050122
666,118523.80308464738
667,118145.32348664988
668,118537.53177093944
669,118517.13448494487
670,118496.74070880299
671,118476.35044190985
672,118455.9636836616
673,118973.20966394721
674,118709.62498328807
675,118689.19808444077
676,118235.9834683191
677,118215.6380710966
678,117955.03265814098
679,117630.43458969225
680,118135.69628335307
681,117859.00303766337
682,117838.72250915834
683,117818.44547041503
684,117592.9354817884
685,117362.16711124756
686,117060.11638348279
687,116731.2677417662
688,116548.27933131151
689,116271.46438930761
690,116754.97893872474
691,116734.88838460973
692,116423.82924924402
693,116403.79567754481
694,116772.62155510612
695,116977.4278327735
696,117294.96613073863
697,117274.78265859988
698,117555.1156134536
699,117269.4141924147
700,117440.32794750627
701,117174.8786325842
702,116972.36545793495
703,117303.71374954663
704,117599.9363307884
705,117579.7003810563
706,117908.07698304807
707,117624.3124092624
708,117271.08087269627
709,116844.07921699423
710,116412.31595842059
711,116082.85484558393
712,116062.87994688326
713,116042.9084853532
714,116505.66944435911
715,116485.6217900496
716,116873.52558063719
717,116519.29983756515
718,116499.2498378126
719,116829.78275925119
720,116617.00233694672
721,117053.28854557594
722,116760.31314529212
723,117108.54566889859
724,117537.08174797607
725,117516.85661391461
726,117079.20615752527
727,116683.22411606192
728,116390.30738949361
729,116072.681046852
730,115833.18183378
731,115504.12771866022
732,115940.8986598678
733,115584.45129269332
734,115959.65856835098
735,116404.64244167713
736,116902.10419900909
737,116881.98832838911
738,116861.87591919742
739,116738.95115096123
740,116813.01474214047
741,116527.0165999983
742,117135.76940316336
743,116730.9283793934
744,116454.42322576816
745,116087.4359273521
746,116319.32801583549
747,116299.3124261333
748,116279.30028060362
749,115950.62372905154
750,116527.9512921226
751,116794.94536840546
752,117154.91846663148
753,117134.75909312391
754,117706.36571871694
755,117686.1114552016
756,117665.86067692842
757,117645.6133832977
758,117625.36957370983
759,117332.41012842786
760,116993.71920357042
761,117398.43092778395
762,117837.32844518349
763,117639.11669231286
764,117618.87400063981
765,117598.63479221772
766,117578.39906644721
767,117290.57357281468
768,117270.39085652312
769,117444.19320674468
770,117671.03996395758
771,117905.89362708939
772,117686.68546341907
773,117392.99708179254
774,117168.66843654399
775,117686.72729158086
776,117432.80541285743
777,117412.59822209374
778,117222.91077681349
779,116999.50959635967
780,116748.67021242736
781,116728.58074388323
782,116708.49473222427
783,116422.5980706726
784,116730.60897141953
785,116710.52261075434
786,116690.43970643953
787,116466.29690295049
788,116684.25532042676
789,116430.03903002912
790,116410.004389785
791,116201.18371312051
792,116007.11484464443
793,116432.62355988477
794,116227.21702332434
795,116207.21728357473
796,116187.22098527025
797,116167.22812781871
798,116284.73557019256
799,116264.72593296801
800,116130.10736913496
801,116110.12433948011
802,115912.61777474545
803,115892.67216950287
804,115872.72999639025
805,116064.94002467184
806,116044.96820865493
807,116515.49082908667
808,116286.97623737567
809,116097.50286755321
810,116077.52544830153
811,116078.5081930281
812,115872.36927124522
813,115713.7021914385
814,115941.81170161214
815,115921.86107283933
816,115901.91387706088
817,116136.41620450912
818,116116.43208926462
819,115899.86738405118
820,115552.76286593423
821,116109.87887249654
822,116417.12990057809
823,116240.21476664401
824,116220.21279031428
825,115903.55446083752
826,115649.13791214705
827,115629.23764506895
828,115798.35369399599
829,116103.93781117856
830,116560.08062737105
831,116748.6459984294
832,116495.53374780761
833,116896.04998709862
834,117266.77916893286
835,117246.60054705135
836,117226.42539739603
837,117548.9953649954
838,117181.70380878235
839,117161.53982620053
840,116943.14024019953
841,116923.01730832345
842,116902.89783909074
843,117272.79602814002
844,117252.6163709105
845,116944.19349799542
846,116924.07038488054
847,116685.89740236624
848,116462.46781554908
849,116442.42759513806
850,116159.55484960802
851,116139.56675279283
852,116477.74712564747
853,116255.77008307747
854,116606.05435948605
855,116278.85177004704
856,116746.23135493927
857,116547.12857649497
858,116527.0737881262
859,116270.34328734186
860,115958.90883034791
861,115658.14067260176
862,116172.2359715858
863,116152.24569267295
864,116581.88927302543
865,116364.45252984128
866,116344.4291753611
867,116772.55698465678
868,116752.46340580838
869,117078.61585184063
870,117398.52400384129
871,117787.24136449835
872,118248.70116712849
873,119269.68664506011
874,118909.7564866397
875,118889.2951502649
876,118599.55713203884
877,118579.14917306152
878,118252.36585602295
879,118585.9112349897
880,118565.50562412324
881,118355.202496869
882,118334.83658509229
883,118017.69440719996
884,117750.51953443908
885,117730.25767317816
886,118142.05737992225
887,117741.51003455647
888,118406.79298384748
889,118386.41819466374
890,118758.41108403818
891,118737.97579034719
892,118450.14765736966
893,118827.95397915546
894,118415.65950249622
895,119192.82338759086
896,119172.31334262184
897,119510.67697218244
898,119875.07151917675
899,120156.79873262534
900,120136.122812085
901,119905.10938626825
902,119884.47677504524
903,120213.18452393723
904,120644.3324521704
905,121144.06812877725
906,121545.0022350301
907,121126.87964196436
908,120907.46808224174
909,120668.24183676923
910,120424.98665710613
911,120404.26458826395
912,120383.54608516132
913,121149.23381621878
914,121128.38712291198
915,121699.90198960567
916,122117.00214419176
917,122473.28966573335
918,123036.04441471833
919,122790.8289392922
920,122508.49588816342
921,123274.45206146658
922,122889.07531462821
923,122480.10670516906
924,122459.03100258112
925,122100.67259291574
926,122617.43467289578
927,122362.56539410214
928,122572.71448982046
929,122354.24912350174
930,122117.14047103064
931,122885.06115803694
932,122544.07695116753
933,122675.82246824047
934,122654.71308796131
935,122633.60734006812
936,122363.36127355725
937,122585.04653944603
938,122563.95277938904
939,122308.47406561907
940,122287.42789663102
941,122561.05314920683
942,122805.49378921973
943,123084.85755098236
944,123311.63843839706
945,123592.95904178894
946,123742.43041903354
947,123721.1375027292
948,124112.16144596064
949,123905.03621186744
950,123883.7153152533
951,124101.37741970204
952,124303.84220327107
953,124450.40618078479
954,124428.99143990832
955,124407.58038396257
956,124238.61106944075
957,124058.98453154012
958,123817.84517414036
959,123574.64287672211
960,123262.17428623886
961,123033.53736905477
962,123012.36643516447
963,122991.19914425194
964,122970.03549569032
965,122694.25344817879
966,122673.14089639805
967,122532.7161624867
968,122368.87534589255
969,122146.06942841435
970,122368.32098843763
971,122576.12474090094
972,122555.03251605792
973,122729.57900482832
974,122708.46037442025
975,122468.38489972768
976,122447.3112141635
977,122621.73020485068
978,122434.8002737284
979,122217.19269490112
980,121971.85231902849
981,122352.05139885025
982,122330.99773131456
983,122309.9476865781
984,122028.52293910911
985,121832.01026787826
986,121568.14581521777
987,121209.81178382621
988,121249.83948029511
989,121228.9754753194
990,121023.09901556448
991,121312.30702573259
992,121118.59422646946
993,120955.4026505647
994,121182.7124135658
995,121030.99271845762
996,120864.75660593876
997,120843.95886390444
998,121296.51441728252
999,121141.85645336278
1000,120987.20591294412
1001,121090.79797593346
1002,120951.58164629944
1003,121129.83152215833
1004,121009.99230089049
1005,120874.88070335641
1006,121013.57884606608
1007,120812.63760541021
1008,120976.57111772092
1009,120720.8932486683
1010,120519.0104618642
1011,120498.27221392325
1012,120250.11455128697
1013,119914.92431810762
1014,120155.68665688406
1015,120135.0109277036
1016,120382.84547138662
1017,120246.5367008402
1018,120225.84533868424
1019,119950.57532102463
1020,119652.65529698864
1021,119903.65637509998
1022,119883.02401390314
1023,120299.7162346295
1024,120018.13179568804
1025,119882.32233573543
1026,119697.8997254896
1027,120028.71335258216
1028,120008.05947226899
1029,120208.98682662241
