symbol,timeframe,cluster,bars,signals,trades,wins,losses,win_rate,total_return_pct,ann_return_pct,max_dd_pct,sharpe,profit_factor,avg_pnl_pct,median_pnl_pct,avg_bars_held,cost_bps,final_equity,exit_SL,exit_TP,exit_BE,exit_TRAIL,exit_HORIZON,SL,TP,BE,trail_act,trail_dist,horizon,mc_dd_p5,mc_dd_p25,mc_dd_p50,mc_dd_p75,mc_dd_p95,mc_ruin_pct
AAVUSD,H1,crypto,44791,23299,2836,774,2062,27.3,-87.52,-18.79,88.88,-0.562,0.903,-0.1491,-0.375,12.7,37.5,12482.26,798,23,1117,255,643,2.555576733500894,8.721939557712219,1.1334527267857983,4.695909475133769,1.5143940746963982,25,88.1,89.6,90.9,92.2,94.1,100.0
AAVUSD,H4,crypto,11372,5946,582,215,367,36.9,77.7,5.92,50.04,0.339,1.132,0.4536,-0.375,16.4,37.5,177699.21,188,8,128,108,150,2.671495930935706,9.82039060697048,1.7627548234772934,3.6812506373419107,1.699160436392881,29,40.3,47.7,53.4,60.3,70.6,0.0
ADAUSD,H1,crypto,37953,19450,3094,496,2598,16.0,-99.98,-57.37,99.98,-1.332,0.795,-0.2199,-1.1232,9.5,37.5,19.82,1787,36,808,335,128,0.951770182226113,8.47939837039188,1.3992205761510916,4.572085006095915,1.334433268513013,46,100.0,100.0,100.0,100.0,100.0,100.0
ADAUSD,H4,crypto,9799,5076,535,155,380,29.0,-39.84,-4.95,66.18,-0.061,0.978,-0.0629,-0.375,15.7,37.5,60162.62,246,10,114,62,103,2.06663939824455,9.077404400765133,1.8632038383323488,4.92876122455926,0.6723620751707051,35,54.0,61.0,66.5,71.9,78.7,0.0
ALGUSD,H1,crypto,39125,20210,1653,471,1182,28.5,-82.78,-16.13,88.32,-0.459,0.894,-0.2188,-0.375,20.5,37.5,17221.58,635,70,492,190,266,2.702314915909408,7.750799908462451,1.7773750876890952,4.875136259923567,1.90849872868844,46,83.8,85.8,87.7,89.5,92.2,100.0
ALGUSD,H4,crypto,10494,5511,426,143,283,33.6,23.54,2.14,68.65,0.211,1.099,0.3813,-0.375,21.4,37.5,123538.8,153,10,110,80,73,2.77873647356835,9.844126296439141,1.8751434843255266,4.07666149050606,2.329106168022334,47,41.6,49.4,55.3,62.3,71.4,0.0
AVAUSD,H1,crypto,38946,20196,3908,691,3217,17.7,-100.0,-76.86,100.0,-1.465,0.758,-0.2617,-0.9499,7.0,37.5,0.04,2075,107,1140,507,79,0.8729228586522219,6.985271838740763,0.9505419410704845,2.852507560811704,2.1772635039723593,42,100.0,100.0,100.0,100.0,100.0,100.0
AVAUSD,H4,crypto,10187,5404,1119,186,933,16.6,-98.39,-33.81,99.86,-0.123,0.961,-0.0795,-1.9858,6.4,37.5,1612.95,666,30,265,50,108,0.8622424775276001,5.903373780017937,1.180456995341354,4.99878753101096,0.8391067046384204,22,98.6,99.1,99.4,99.6,99.8,100.0
BARUSD,H1,crypto,42998,22097,3459,757,2702,21.9,-99.85,-47.89,99.96,-0.718,0.892,-0.1508,-1.3924,9.9,37.5,147.68,2084,15,584,419,357,1.1385886994238767,8.142970775364965,1.828728190832769,4.293787100706598,0.5296690237970136,31,99.9,99.9,99.9,99.9,100.0,100.0
BARUSD,H4,crypto,10926,5678,902,136,766,15.1,-45.88,-5.96,86.76,-0.06,0.978,-0.043,-0.375,9.0,37.5,54116.39,218,6,544,109,25,2.1497363916355114,6.750412648404664,0.5706204394725073,4.009166055406114,0.5814647113695692,47,58.7,66.1,71.5,77.0,83.1,0.0
BCHUSD,H1,crypto,73385,36335,6442,1081,5361,16.8,-100.0,-79.18,100.0,-1.318,0.848,-0.1711,-1.0707,8.7,37.5,0.02,3657,19,1700,871,195,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,100.0,100.0,100.0,100.0,100.0,100.0
BCHUSD,H4,crypto,18550,8984,1642,267,1375,16.3,-99.71,-44.33,99.91,-0.328,0.924,-0.1534,-2.0278,8.6,37.5,285.9,960,2,413,217,50,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,99.7,99.8,99.9,99.9,100.0,100.0
BNBUSD,H1,crypto,55543,28096,5348,977,4371,18.3,-100.0,-64.28,100.0,-1.658,0.749,-0.2337,-0.375,7.4,37.5,3.38,1972,9,2347,360,660,1.396558247625406,9.867946407590823,0.8075061365921279,4.90073784847625,0.5864439962953362,21,100.0,100.0,100.0,100.0,100.0,100.0
BNBUSD,H4,crypto,14703,7300,1221,172,1049,14.1,-99.85,-47.69,99.91,-0.432,0.856,-0.249,-1.5142,9.2,37.5,153.49,763,17,284,88,69,0.8397474009510081,9.079802031844913,1.490616200685511,4.9384004202249665,1.9079811073714474,45,99.8,99.9,99.9,99.9,100.0,100.0
BTCUSD,H1,crypto,69317,34456,3877,1154,2723,29.8,-98.4,-33.86,98.45,-1.594,0.793,-0.247,-0.375,14.8,37.5,1601.19,1466,20,1022,610,759,2.4916694902330314,9.862922865330724,1.5675748457731957,4.450556531411285,0.8155202982160493,31,98.4,98.5,98.6,98.7,98.8,100.0
BTCUSD,H4,crypto,17709,9028,1546,263,1283,17.0,-97.92,-32.11,98.65,-0.664,0.847,-0.2441,-0.375,8.5,37.5,2079.71,754,33,527,204,28,1.285694352862428,6.0102899738296065,1.0740930407408866,4.093515792828523,0.5004459442300991,48,98.0,98.3,98.5,98.8,99.2,100.0
DASHUSD,H1,crypto,41282,21323,4123,1043,3080,25.3,-100.0,-63.5,100.0,-1.287,0.838,-0.1963,-1.2406,7.4,37.5,4.2,2613,79,426,650,355,0.9927403746102453,5.066475323800575,1.9571564544126647,3.245835894074111,0.5371037645802563,23,100.0,100.0,100.0,100.0,100.0,100.0
DASHUSD,H4,crypto,10710,5594,842,157,685,18.6,-33.22,-3.96,77.9,0.222,1.082,0.1678,-1.9533,9.9,37.5,66783.19,464,13,218,116,31,0.9980151266847315,8.764106690663883,1.392613744031383,4.0238286510762125,1.647378935011184,48,75.9,83.4,88.3,92.0,95.5,0.0
DOGEUSD,H1,crypto,37953,18973,2192,715,1477,32.6,-91.08,-21.47,93.77,-0.673,0.887,-0.1831,-0.4934,14.6,37.5,8918.54,1049,13,351,389,390,2.020607301697424,9.716910425093275,1.999790267753958,4.13743175023377,0.5638142331686345,33,91.4,92.3,93.2,94.1,95.5,100.0
DOGEUSD,H4,crypto,9799,4843,618,133,485,21.5,-79.03,-14.46,89.62,-0.193,0.933,-0.1761,-2.898,13.2,37.5,20969.34,350,4,124,72,68,1.3896346017688899,9.537122510880884,1.9504244793827357,4.933048827830982,0.5434560381238523,44,81.9,85.8,88.8,91.5,94.4,100.0
DOTUSD,H1,crypto,37959,19637,1474,491,983,33.3,-53.39,-7.35,66.58,-0.313,0.931,-0.1165,-0.375,22.6,37.5,46614.99,533,56,393,255,237,2.921164766396775,8.887157290411565,1.903234510759731,4.110561870211593,2.3331827747547114,48,56.4,61.6,65.0,69.1,75.0,100.0
DOTUSD,H4,crypto,9800,5182,393,114,279,29.0,-26.44,-3.02,53.73,-0.085,0.965,-0.1129,-0.375,21.9,37.5,73558.44,141,9,118,50,75,2.9491455830078865,9.815069405767565,1.8547361853935656,4.829139670555317,2.381262937394046,48,39.8,46.3,51.4,56.5,64.5,0.0
ETCUSD,H1,crypto,73357,36322,8125,738,7387,9.1,-100.0,-91.18,100.0,-2.311,0.728,-0.2243,-0.375,5.9,37.5,0.0,2819,42,4567,494,203,0.8848991999649269,7.914890227661835,0.33249356931997537,4.8223837449750135,0.5013401840278198,48,100.0,100.0,100.0,100.0,100.0,100.0
ETCUSD,H4,crypto,18544,8972,1303,223,1080,17.1,-91.51,-21.86,99.22,-0.028,0.992,-0.0178,-1.7758,11.3,37.5,8487.73,668,84,411,65,75,1.1881230109191232,6.378482643690423,1.2382143564707486,4.869049200231348,2.2894762164610087,48,93.7,95.9,97.2,98.2,99.1,100.0
ETHUSD,H1,crypto,68899,34477,6572,1345,5227,20.5,-100.0,-89.43,100.0,-2.219,0.775,-0.2508,-1.129,7.8,37.5,0.0,4504,15,692,908,453,0.8681425380231029,9.585722219805527,1.998153371102471,3.7010445419600146,0.5709878184421375,29,100.0,100.0,100.0,100.0,100.0,100.0
ETHUSD,H4,crypto,17658,8906,2074,395,1679,19.0,-99.29,-39.04,99.48,-0.376,0.916,-0.1255,-0.375,5.3,37.5,709.25,947,8,724,74,321,0.9770954437364472,9.679994137990146,0.747068592474941,4.62533229421738,2.30122331660526,15,99.3,99.5,99.6,99.8,99.9,100.0
FETUSD,H1,crypto,14828,7927,1512,234,1278,15.5,-87.41,-18.72,87.43,-0.688,0.835,-0.1839,-0.375,6.8,37.5,12587.54,421,5,855,172,59,1.5852360345984624,9.780274811836147,0.5414292648359412,3.8374636225112875,1.1474012157022846,29,87.7,88.8,89.8,91.1,92.8,100.0
FETUSD,H4,crypto,3879,2167,188,49,139,26.1,-50.26,-6.74,66.36,-0.265,0.845,-0.6257,-0.375,18.0,37.5,49743.2,84,14,52,15,23,2.28382173210649,7.714898494104413,1.9161263104724702,4.858961484071769,2.459186258486096,46,53.5,58.7,63.1,68.0,73.9,100.0
GALUSD,H1,crypto,38564,19733,3520,510,3010,14.5,-99.14,-37.83,99.9,-0.15,0.973,-0.0311,-1.1702,8.3,37.5,862.89,1936,9,1073,399,103,0.840816689864627,8.948994533167554,1.1034080183043813,4.458756678623591,0.5004289398954572,47,99.3,99.5,99.7,99.8,99.9,100.0
GALUSD,H4,crypto,9817,4979,909,137,772,15.1,-98.46,-34.12,99.46,-0.277,0.915,-0.1977,-2.4881,8.1,37.5,1539.86,534,2,237,113,23,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,98.6,99.0,99.2,99.5,99.7,100.0
GRTUSD,H1,crypto,44759,23295,1820,530,1290,29.1,-75.42,-13.09,86.83,-0.327,0.934,-0.1469,-0.375,21.6,37.5,24582.6,702,29,532,286,271,2.7579162180420025,9.82593000933438,1.8317425560327398,4.819987793040941,1.7546535025511871,48,77.5,80.7,83.9,86.6,89.8,100.0
GRTUSD,H4,crypto,11365,5903,1077,125,952,11.6,-55.6,-7.8,82.31,0.012,1.005,0.0084,-0.375,7.6,37.5,44401.14,271,68,680,27,31,1.7111614480934256,5.2561671401172605,0.38141580825266486,4.9981666522521095,0.5028338041556957,47,70.7,78.3,82.8,87.0,91.8,100.0
