trade_num,equity
0,100000.0
1,100063.8129172431
2,100127.66655537029
3,100191.56094036673
4,100027.04794522161
5,106409.56816787992
6,102408.86471376818
7,99358.34223125235
8,99195.1973683547
9,94063.07947257959
10,93908.62934932201
11,110514.91646385677
12,110333.45267843372
13,120320.01019128553
14,115432.77746718514
15,115243.23862997358
16,115054.01101260443
17,127454.54851397303
18,122910.33190600909
19,122708.51503993417
20,122507.02955403534
21,129898.58116902749
22,142524.76249811286
23,136313.48747617082
24,129210.06797706109
25,128997.90704168586
26,128786.09447128871
27,138587.9842416783
28,133186.0536094262
29,127902.2710442557
30,122417.50200442562
31,128840.8831572837
32,128629.32841767879
33,144921.51935457214
34,144683.56045877057
35,144445.99228779957
36,138813.98769446538
37,136748.96692906655
38,131769.88175806103
39,126888.59609542765
40,129005.73120351865
41,128793.90578596866
42,125467.30464658202
43,125261.28927077127
44,121644.88145375393
45,121445.1424377709
46,116679.5625877052
47,128655.39096984638
48,123928.7042756453
49,123725.21525787287
50,128881.06231182243
51,128669.44159866653
52,123409.25004301361
53,118271.37690497733
54,112020.67433914269
55,111836.73812255176
56,107091.1836263864
57,101935.53731885953
58,97188.36262926344
59,97028.78083934695
60,92562.8333293377
61,97970.46135930742
62,97809.5953753593
63,94233.22127984655
64,89896.27553035304
65,84528.91181714815
66,84633.27817340715
67,84494.3116381962
68,81861.15717621853
69,79325.02104846045
70,86448.47686620691
71,82867.47255059356
72,87940.65379476527
73,84876.01595588964
74,81442.23374215067
75,81308.50685259551
76,78629.82561119445
77,78500.71665233976
78,75322.7037801501
79,72311.77778878136
80,68401.59871621527
81,68289.28434790019
82,68177.15439804266
83,68065.20856383044
84,68856.23343862647
85,66699.81675521258
86,66590.29668658561
87,72201.92137331136
88,78259.31285037137
89,78130.81226774567
90,74438.12227865423
91,70324.42994029193
92,73179.68212105996
93,73059.52221361357
94,75694.66232750806
95,73645.56175883215
96,71217.8275827419
97,68810.37265684457
98,65939.03178078217
99,63941.86958491163
100,71952.43004235589
101,69898.68582711837
102,69783.91326489658
103,67671.03434460396
104,65508.25950322364
105,63424.01281107815
106,60930.67078476981
107,58420.38144148556
108,61680.973930518165
109,59938.68962605423
110,65516.26225911916
111,65408.68556868935
112,67587.82285020206
113,64565.39915426284
114,61673.83328864074
115,61572.56580721648
116,61471.464605432186
117,64509.60350525608
118,62216.70330034828
119,62114.54443475192
120,64656.12127049179
121,70308.12659481601
122,74935.09518552895
123,74609.30561548405
124,75634.4185333046
125,73689.90869449324
126,73568.91100289606
127,73448.11198763912
128,70714.18373210604
129,70598.07213492336
130,68237.43550606623
131,70640.82585086643
132,75040.16044457341
133,74916.94566046345
134,72882.56197759509
135,72762.88993683388
136,72643.41439571472
137,74211.75851520598
138,76400.86876003609
139,74578.27752574615
140,72599.77348553653
141,72480.56577911031
142,76202.29116250318
143,77459.64502971363
144,77332.45748929492
145,76017.55706559977
146,74242.23328791722
147,72432.41044780363
148,70651.01835877025
149,70535.01047815471
150,69054.35849649261
151,67469.49858702718
152,65634.92101895284
153,63003.22200722785
154,55918.11665217971
155,52812.157009094284
156,52725.44026321174
157,54095.96439473684
158,52203.36776297934
159,52117.65063963337
160,49909.717198432976
161,58827.81900232738
162,58731.22463239148
163,63810.193116691604
164,60132.41341288573
165,62443.04670421514
166,64613.72426077798
167,64507.629523797594
168,67109.99433383819
169,64594.95205035622
170,62697.72263802375
171,63235.699654540826
172,63131.86761267397
173,67917.48420930367
174,65760.44624287963
175,63444.12190689463
176,60899.419308332544
177,60799.42340269958
178,60699.591688798755
179,58590.256666283785
180,56443.478969910495
181,55124.3061424424
182,55033.79288340467
183,53277.25394109313
184,51261.96495642452
185,48755.25043631687
186,50868.39527595621
187,49468.55796083167
188,49743.1982002568
