trade_num,equity
0,100000.0
1,99947.0
2,99894.02808999999
3,99841.08425511229
4,99788.16848045708
5,99735.28075116244
6,99682.42105236433
7,99629.58936920657
8,99576.78568684089
9,99524.00999042686
10,99471.26226513193
11,99418.5424961314
12,99365.85066860844
13,99313.18676775407
14,99260.55077876717
15,99207.94268685441
16,99155.36247723037
17,99102.81013511744
18,99050.28564574583
19,98997.78899435357
20,98945.32016618656
21,104142.01909806744
22,102584.99708005358
23,102208.80768221944
24,102154.63701414787
25,102100.49505653037
26,108227.54163102731
27,107848.56584776624
28,107460.10674564977
29,107403.15288907457
30,107126.13068455551
31,106821.67750905275
32,106510.76656017553
33,108038.52972077347
34,107981.26930002145
35,107542.26637664896
36,107485.26897546933
37,107428.30178291233
38,106949.33218682566
39,106407.75006902579
40,106351.3539614892
41,108002.06962311028
42,107519.42435182423
43,112268.54826863474
44,112209.04593805235
45,112149.57514370518
46,116711.95453998541
47,116091.40135167752
48,115409.58097947326
49,114791.15756467042
50,114138.95184682209
51,113576.24847335086
52,116566.0645262364
53,116065.61092100045
54,119255.75758970836
55,118858.44813059662
56,118795.4531530874
57,118732.49156291626
58,118322.59575607593
59,117930.40280156804
60,117586.48809966695
61,117524.16726097412
62,117207.31924549602
63,116792.28797694246
64,116730.38806431468
65,116178.97002252206
66,116117.39516841012
67,117534.2055777237
68,119926.5038152829
69,119488.2906725196
70,119424.96187846316
71,123705.06203873131
72,123046.40596546527
73,122275.01708750088
74,121377.78379002417
75,125343.10310374554
76,124739.53397844973
77,124148.35421311544
78,123695.5668825065
79,123630.00823205877
80,123564.48432769577
81,123168.1088621202
82,124462.08912198887
83,125550.548643921
84,125172.2126006123
85,124788.70771622837
86,124437.16611169821
87,124072.14719067188
88,123727.11165312523
89,123389.2874817562
90,123085.76513906274
91,122766.99168012851
92,122701.92517453805
93,122328.27577020928
94,121911.5509321532
95,121431.5935831204
96,123326.1502706668
97,123260.78741102334
98,123195.4591936955
99,122803.11872476472
100,122738.03307184059
101,122672.9819143125
102,122379.71976214873
103,122005.30897332983
104,121593.4104115562
105,121154.85189936055
106,120601.29187868528
107,123769.83304945871
108,123378.17183060474
109,122985.35900990044
110,122543.30264216248
111,122061.01620024638
112,121503.95134335729
113,123039.52282804591
114,122410.89692578456
115,121887.23985002445
116,121439.66219054387
117,122910.76509350131
118,122467.35625927047
119,121926.97925475914
120,123702.26172980378
121,123375.1357284205
122,123018.27048826648
123,122656.70860782232
124,125294.70472964605
125,124866.64185914898
126,124800.46253896362
127,124734.31829381797
128,127473.33497891674
129,127405.7741113779
130,127338.24905109887
131,126850.68370676831
132,126354.54768697778
133,125803.51951995982
134,125329.55643653759
135,124841.62877764758
136,124344.57020349235
137,123805.82520233106
138,123740.20811497382
139,123674.62580467288
140,123145.62467368186
141,123080.3574926048
142,122542.51556840977
143,122477.5680351585
144,122412.65492409987
145,122002.94235151197
146,121529.68805523537
147,121465.27732056609
148,121400.9007235862
149,120964.39138901143
150,120458.41496626288
151,119941.42470528929
152,119346.87719147933
153,118738.45906537905
