symbol,status,error,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel
XMRUSD,ok,,0,H1,0.012789782022167615,131,0,cuda:0,,,,,,1069,8,0.30897695542681053,0.8422941446121633,0.6433278274931957,0.004827826788554247,0.0362515195141292,3.7734590110282076,0.03,0.75
XTZUSD,ok,,0,H1,0.0071256991852052445,150,0,cuda:0,,,,,,536,10,0.6024280307516069,0.42665926041576524,0.5770495900057938,0.004093275345459105,0.05234878795253893,2.616257790460903,0.03,0.75
XPD_USD,ok,,0,H1,0.005623205086914451,126,0,cuda:0,,,,,,1533,7,0.5048017963396428,0.5197289419177181,0.6986302395705031,0.0001754481629434657,0.6587358108012836,1.0032314522627814,0.03,0.75
NERUSD,ok,,0,H1,0.005170754187999071,150,0,cuda:0,,,,,,945,7,4.15407852900323,0.7000741621431505,0.8271586638982955,0.011113991331526936,1.4971448631377602,2.4908569446471103,0.03,0.75
MANUSD,ok,,0,H1,0.002836723224475624,150,0,cuda:0,,,,,,403,7,6.274282969649313,0.4829633663858911,0.45788811237883076,0.008374769612211265,0.024670007611901048,3.9661111072129325,0.03,0.75
WHEAT.c,ok,,0,H1,0.0027566429649940657,146,0,cuda:0,,,,,,1195,7,0.012500350856858817,0.9401845132943826,0.5961905636172127,0.028910717001742543,0.0014770174017214,1.1041708221752344,0.03,0.75
SANUSD,ok,,0,H1,0.0023949617297067917,150,0,cuda:0,,,,,,1206,6,2.6778058820455453,0.9243281640000539,0.3027358014658873,0.002394198596890473,6.48028626339464,1.8916308456409168,0.03,0.75
GALUSD,ok,,0,H1,0.0021606852105954233,150,0,cuda:0,,,,,,1945,3,0.0975845784158397,0.7973117453897679,0.3822112324827961,0.002520795374006796,0.0027182869213818613,1.276948330802667,0.03,0.75
BCHUSD,ok,,0,H1,0.0021068763215532616,372,0,cuda:0,,,,,,702,6,0.010915486247213594,0.6070432474667367,0.5331004142236647,0.01885205455083446,0.19628776478079554,1.0515734213695878,0.03,0.75
VECUSD,ok,,0,H1,0.0021024169666888116,150,0,cuda:0,,,,,,353,10,0.12212290340372733,0.6244870435133661,0.31485648838247526,0.0014322571419962678,1.0961158423458235,3.142669169230232,0.03,0.75
AVAUSD,ok,,0,H1,0.0020453159413415583,2323,0,cuda:0,,,,,,159,3,0.0906682247670193,0.5125031903457766,0.698380236708585,0.0014168305605244084,10.861349154953377,4.882333999204987,0.03,0.75
ICPUSD,ok,,0,H1,0.0020416755209347287,150,0,cuda:0,,,,,,1777,9,0.020096861172780194,0.8102182942850966,0.5672548098539755,0.028031711399733834,0.21560515805384797,1.5989365322945108,0.03,0.75
ALGUSD,ok,,0,H1,0.0019594351702519087,2287,0,cuda:0,,,,,,1820,4,0.08446812681719577,0.672024417233443,0.6802510881834323,0.033564073328090575,0.04107370664990722,5.336229737922177,0.03,0.75
GRTUSD,ok,,0,H1,0.0014405039615159013,150,0,cuda:0,,,,,,1456,4,0.19307821053285784,0.655584929411854,0.6064527293305176,0.0093106441838367,2.6754007238236635,3.184821104309013,0.03,0.75
ETCUSD,ok,,0,H1,0.001327630609226625,144,0,cuda:0,,,,,,620,9,0.6980461772980407,0.8782615133090443,0.41590938550775114,0.15697046705542372,0.02665455255992375,1.8621584680760783,0.03,0.75
USD_ILS,ok,,0,H1,0.0012577860060420621,139,0,cuda:0,,,,,,1437,3,0.22256913347530122,0.6849942145403913,0.5891895554884613,0.0019791731348163797,0.0003091174035355343,0.7899577583423758,0.03,0.75
