symbol,status,error,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,n_features,htf_enabled
AAVUSD,killed_negative_ev,,0,H1,-0.00006849760273028522,200,3376,cuda,crypto,-0.00006849760273028522,6.5,0.6320113762041969,8.0,,,,,,,,,,,,
ADAUSD,killed_negative_ev,,0,H1,-0.0038721415583317493,200,8650,cuda,crypto,-0.0038721415583317493,6.5,39.25104757863509,8.0,,,,,,,,,,,,
ALGUSD,killed_negative_ev,,0,H1,-0.001955115083472167,200,3417,cuda,crypto,-0.001955115083472167,6.5,15.548069448043261,8.0,,,,,,,,,,,,
AVAUSD,error,"(sqlite3.IntegrityError) UNIQUE constraint failed: alembic_version.version_num
[SQL: INSERT INTO alembic_version (version_num) VALUES ('v3.2.0.a') RETURNING version_num]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",,,,,,,,,,,,,,,,,,,,,,,
BARUSD,killed_negative_ev,,0,H1,-0.0007319791444078961,200,3446,cuda,crypto,-0.0007319791444078961,6.5,4.890573419733265,8.0,,,,,,,,,,,,
BCHUSD,killed_negative_ev,,0,H1,-0.0020255648430744684,200,8463,cuda,crypto,-0.0020255648430744684,6.5,17.049580601366117,8.0,,,,,,,,,,,,
BNBUSD,killed_negative_ev,,0,H1,-0.0011694758656769463,200,3349,cuda,crypto,-0.0011694758656769463,6.5,0.2932236025519174,8.0,,,,,,,,,,,,
BTCUSD,killed_negative_ev,,0,H1,-0.0011898327757574373,200,8351,cuda,crypto,-0.0011898327757574373,6.5,0.36974192536747785,8.0,,,,,,,,,,,,
DASHUSD,killed_negative_ev,,0,H1,-0.0005933894033081523,200,8572,cuda,crypto,-0.0005933894033081523,6.5,9.131030284581959,8.0,,,,,,,,,,,,
DOGEUSD,killed_negative_ev,,0,H1,-0.002432738172378443,200,8661,cuda,crypto,-0.002432738172378443,6.5,25.193029928387073,8.0,,,,,,,,,,,,
DOTUSD,killed_negative_ev,,0,H1,-0.003636120103689412,200,8594,cuda,crypto,-0.003636120103689412,6.5,35.26093088857627,8.0,,,,,,,,,,,,
ETCUSD,killed_negative_ev,,0,H1,-0.0008740974274866224,200,3453,cuda,crypto,-0.0008740974274866224,6.5,3.954913980620486,8.0,,,,,,,,,,,,
ETHUSD,killed_negative_ev,,0,H1,-0.0017623696133801975,200,8336,cuda,crypto,-0.0017623696133801975,6.5,12.383220370031541,8.0,,,,,,,,,,,,
