symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,n_features,htf_enabled
AAVUSD,insufficient_rows,835,crypto,,,,,,,,,,,,,,,,,,,,,
ADAUSD,killed_negative_ev,2151,crypto,0,H4,-0.001968488263571216,200,cuda,-0.001968488263571216,6.5,39.25104757863509,8.0,,,,,,,,,,,,
ALGUSD,insufficient_rows,821,crypto,,,,,,,,,,,,,,,,,,,,,
AVAUSD,insufficient_rows,835,crypto,,,,,,,,,,,,,,,,,,,,,
BARUSD,insufficient_rows,835,crypto,,,,,,,,,,,,,,,,,,,,,
BCHUSD,killed_negative_ev,2033,crypto,0,H4,-0.000553879194738029,200,cuda,-0.000553879194738029,6.5,17.049580601366117,8.0,,,,,,,,,,,,
BNBUSD,insufficient_rows,785,crypto,,,,,,,,,,,,,,,,,,,,,
BTCUSD,killed_negative_ev,2108,crypto,0,H4,-0.0002257948524716144,200,cuda,-0.0002257948524716144,6.5,0.36974192536747785,8.0,,,,,,,,,,,,
DASHUSD,ok,2174,crypto,0,H4,0.010005238775983987,600,cuda,0.010005238775983987,6.5,9.131030284581959,8.0,1712,9,0.3861999305980453,0.43970840822991275,0.526482456121424,0.00270733662977666,0.004629317064540191,3.1318966702008155,0.2992019907833847,0.31380670778424574,39,false
DOGEUSD,killed_negative_ev,2110,crypto,0,H4,-0.00040001957542066743,200,cuda,-0.00040001957542066743,6.5,25.193029928387073,8.0,,,,,,,,,,,,
DOTUSD,killed_negative_ev,2207,crypto,0,H4,-0.0016058872269574013,200,cuda,-0.0016058872269574013,6.5,35.26093088857627,8.0,,,,,,,,,,,,
ETCUSD,insufficient_rows,820,crypto,,,,,,,,,,,,,,,,,,,,,
ETHUSD,ok,2084,crypto,0,H4,0.000011183425749334099,600,cuda,0.000011183425749334099,6.5,12.383220370031541,8.0,316,4,0.34307677655238134,0.5441549745674797,0.4477496453329009,0.004533579494602316,0.10302269127923853,7.879171080523166,0.08976517556434332,0.6216232372590941,39,false
FETUSD,insufficient_rows,862,crypto,,,,,,,,,,,,,,,,,,,,,
GALUSD,insufficient_rows,833,crypto,,,,,,,,,,,,,,,,,,,,,
GRTUSD,insufficient_rows,822,crypto,,,,,,,,,,,,,,,,,,,,,
ICPUSD,insufficient_rows,871,crypto,,,,,,,,,,,,,,,,,,,,,
IMXUSD,insufficient_rows,818,crypto,,,,,,,,,,,,,,,,,,,,,
LNKUSD,insufficient_rows,813,crypto,,,,,,,,,,,,,,,,,,,,,
LTCUSD,killed_negative_ev,2116,crypto,0,H4,-0.0007171885378823411,200,cuda,-0.0007171885378823411,6.5,27.939847152601153,8.0,,,,,,,,,,,,
MANUSD,insufficient_rows,822,crypto,,,,,,,,,,,,,,,,,,,,,
NEOUSD,killed_negative_ev,2064,crypto,0,H4,-0.021954249134920868,200,cuda,-0.021954249134920868,6.5,240.9638554216865,8.0,,,,,,,,,,,,
NERUSD,insufficient_rows,845,crypto,,,,,,,,,,,,,,,,,,,,,
SANUSD,insufficient_rows,819,crypto,,,,,,,,,,,,,,,,,,,,,
SOLUSD,insufficient_rows,846,crypto,,,,,,,,,,,,,,,,,,,,,
UNIUSD,insufficient_rows,781,crypto,,,,,,,,,,,,,,,,,,,,,
VECUSD,insufficient_rows,823,crypto,,,,,,,,,,,,,,,,,,,,,
XLMUSD,insufficient_rows,818,crypto,,,,,,,,,,,,,,,,,,,,,
XMRUSD,killed_negative_ev,2056,crypto,0,H4,-0.008271098401304171,200,cuda,-0.008271098401304171,6.5,97.69961808331063,8.0,,,,,,,,,,,,
XRPUSD,killed_negative_ev,2010,crypto,0,H4,-0.0030406625050876795,200,cuda,-0.0030406625050876795,6.5,40.947645510383644,8.0,,,,,,,,,,,,
XTZUSD,insufficient_rows,828,crypto,,,,,,,,,,,,,,,,,,,,,
