symbol,timeframe,best_ev,calmar_score,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,spread_bps,cluster
DOGEUSD,H4,0.005234056059937563,0.005234056059937563,2.0,9.0,1.0,3.0,1.2,40,24.400567686676315,crypto
DASHUSD,H4,0.004130873056887778,0.004130873056887778,2.0,9.0,1.0,3.0,1.2,40,8.849557522123705,crypto
BCHUSD,H4,0.0022966059797217132,0.0022966059797217132,2.0,9.0,1.0,3.0,1.2,40,16.891388372762457,crypto
BTCUSD,H4,0.0007671836089647041,0.0007671836089647041,2.0,9.0,1.0,3.0,1.2,40,0.25108561137939445,crypto
ETHUSD,H4,0.00005546571986268283,0.00005546571986268283,2.0,9.0,1.0,3.0,1.2,40,12.069502536264531,crypto
FETUSD,H1,0.000021864422567406603,0.000021864422567406603,2.0,9.0,1.0,3.0,1.2,40,2.9180040852053977,crypto
LTCUSD,H4,0.00001905944238275511,0.00001905944238275511,2.0,9.0,1.0,3.0,1.2,40,27.996500437444723,crypto
AAVUSD,H1,0.00001419208686719513,0.00001419208686719513,2.0,9.0,1.0,3.0,1.2,40,0.651996740015707,crypto
GRTUSD,H1,-0.00002868873329349065,-0.00002868873329349065,2.0,9.0,1.0,3.0,1.2,40,4.876859302608921,crypto
ETCUSD,H1,-0.000048752477314803876,-0.000048752477314803876,2.0,9.0,1.0,3.0,1.2,40,4.038568327527447,crypto
UNIUSD,H1,-0.0001662945781690627,-0.0001662945781690627,2.03,9.19,1.11,1.95,0.86,36,3.002418614994341,crypto
LNKUSD,H1,-0.0002300399991122905,-0.0002300399991122905,2.0,9.0,1.0,3.0,1.2,40,1.97089642939271,crypto
IMXUSD,H1,-0.0003262209081475891,-0.0003262209081475891,2.0,9.0,1.0,3.0,1.2,40,6.928806513079284,crypto
XLMUSD,H1,-0.0004189057587871119,-0.0004189057587871119,2.0,9.0,1.0,3.0,1.2,40,3.1690698779904607,crypto
ICPUSD,H1,-0.00047970098613733564,-0.00047970098613733564,2.0,9.0,1.0,3.0,1.2,40,5.974310465000725,crypto
BARUSD,H1,-0.0004965689077449427,-0.0004965689077449427,2.0,9.0,1.0,3.0,1.2,40,4.961137754257534,crypto
