symbol,timeframe,best_ev,calmar_score,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,spread_bps,cluster
AAVUSD,H1,0.00001419208686719513,0.00001419208686719513,2.0,9.0,1.0,3.0,1.2,40,0.651996740015707,crypto
ADAUSD,H1,-0.004150993217709721,-0.004150993217709721,2.0,9.0,1.0,3.0,1.2,40,39.07619858724527,crypto
ALGUSD,H1,-0.001602552098355452,-0.001602552098355452,2.0,9.0,1.0,3.0,1.2,40,15.673981191223021,crypto
AVAUSD,H1,-0.001012520303949651,-0.001012520303949651,2.0,9.0,1.0,3.0,1.2,40,10.062049304040782,crypto
BARUSD,H1,-0.0004965689077449427,-0.0004965689077449427,2.0,9.0,1.0,3.0,1.2,40,4.961137754257534,crypto
BCHUSD,H1,-0.0016936368837181441,-0.0016936368837181441,2.0,9.0,1.0,3.0,1.2,40,16.891388372762457,crypto
BNBUSD,H1,-0.0005844436446016887,-0.0005844436446016887,2.0,9.0,1.0,3.0,1.2,40,0.301750150874801,crypto
BTCUSD,H1,-0.000678502439902411,-0.000678502439902411,2.0,9.0,1.0,3.0,1.2,40,0.25108561137939445,crypto
DASHUSD,H1,-0.000887547919831651,-0.000887547919831651,2.0,9.0,1.0,3.0,1.2,40,8.849557522123705,crypto
DOGEUSD,H1,-0.002526914058242324,-0.002526914058242324,2.0,9.0,1.0,3.0,1.2,40,24.400567686676315,crypto
DOTUSD,H1,-0.0038090465426256757,-0.0038090465426256757,2.0,9.0,1.0,3.0,1.2,40,35.13086246267427,crypto
ETCUSD,H1,-0.000048752477314803876,-0.000048752477314803876,2.0,9.0,1.0,3.0,1.2,40,4.038568327527447,crypto
ETHUSD,H1,-0.0013934096129987002,-0.0013934096129987002,2.0,9.0,1.0,3.0,1.2,40,12.069502536264531,crypto
FETUSD,H1,0.000021864422567406603,0.000021864422567406603,2.0,9.0,1.0,3.0,1.2,40,2.9180040852053977,crypto
GALUSD,H1,-0.0005021650659416479,-0.0005021650659416479,2.0,9.0,1.0,3.0,1.2,40,8.82223202470189,crypto
GRTUSD,H1,-0.00002868873329349065,-0.00002868873329349065,2.0,9.0,1.0,3.0,1.2,40,4.876859302608921,crypto
ICPUSD,H1,-0.00047970098613733564,-0.00047970098613733564,2.0,9.0,1.0,3.0,1.2,40,5.974310465000725,crypto
IMXUSD,H1,-0.0003262209081475891,-0.0003262209081475891,2.0,9.0,1.0,3.0,1.2,40,6.928806513079284,crypto
