symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps
AAVUSD,H1,ok,crypto,bars,23299,145,44791,400,-0.00047041821774340887,2.555576733500894,8.721939557712219,1.1334527267857983,4.695909475133769,1.5143940746963982,25,37.5,6.5,15.0,8.0
AAVUSD,H4,ok,crypto,bars,5946,139,11372,400,0.0011919000299655635,2.671495930935706,9.82039060697048,1.7627548234772934,3.6812506373419107,1.699160436392881,29,37.5,6.5,15.0,8.0
ADAUSD,H1,ok,crypto,bars,19450,123,37953,400,-0.001450099117364196,0.951770182226113,8.47939837039188,1.3992205761510916,4.572085006095915,1.334433268513013,46,37.5,6.5,15.0,8.0
ADAUSD,H4,ok,crypto,bars,5076,119,9799,400,0.0007720696483834073,2.06663939824455,9.077404400765133,1.8632038383323488,4.92876122455926,0.6723620751707051,35,37.5,6.5,15.0,8.0
ALGUSD,H1,ok,crypto,bars,20210,127,39125,400,-0.00013225008731781684,2.702314915909408,7.750799908462451,1.7773750876890952,4.875136259923567,1.90849872868844,46,37.5,6.5,15.0,8.0
ALGUSD,H4,ok,crypto,bars,5511,128,10494,400,0.001374229740818674,2.77873647356835,9.844126296439141,1.8751434843255266,4.07666149050606,2.329106168022334,47,37.5,6.5,15.0,8.0
AVAUSD,H1,ok,crypto,bars,2307,126,38946,400,-0.0019034583922860233,0.8729228586522219,6.985271838740763,0.9505419410704845,2.852507560811704,2.1772635039723593,42,37.5,6.5,15.0,8.0
AVAUSD,H4,ok,crypto,bars,904,124,10187,400,0.00040029097060831353,0.8622424775276001,5.903373780017937,1.180456995341354,4.99878753101096,0.8391067046384204,22,37.5,6.5,15.0,8.0
BARUSD,H1,ok,crypto,bars,22097,139,42998,400,-0.0002944839023375322,1.1385886994238767,8.142970775364965,1.828728190832769,4.293787100706598,0.5296690237970136,31,37.5,6.5,15.0,8.0
BARUSD,H4,ok,crypto,bars,5678,133,10926,400,0.0003373816814356009,2.1497363916355114,6.750412648404664,0.5706204394725073,4.009166055406114,0.5814647113695692,47,37.5,6.5,15.0,8.0
BCHUSD,H1,ok,crypto,bars,23041,241,73385,400,-0.001286496474460637,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,37.5,6.5,15.0,8.0
BCHUSD,H4,ok,crypto,bars,6022,228,18550,400,0.00009595910453594687,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,37.5,6.5,15.0,8.0
BNBUSD,H1,ok,crypto,bars,28096,181,55543,400,-0.0017593190976710423,1.396558247625406,9.867946407590823,0.8075061365921279,4.90073784847625,0.5864439962953362,21,37.5,6.5,15.0,8.0
BNBUSD,H4,ok,crypto,bars,7300,180,14703,400,0.00038877953433181324,0.8397474009510081,9.079802031844913,1.490616200685511,4.9384004202249665,1.9079811073714474,45,37.5,6.5,15.0,8.0
BTCUSD,H1,ok,crypto,bars,34456,227,69317,400,-0.002081937282957443,2.4916694902330314,9.862922865330724,1.5675748457731957,4.450556531411285,0.8155202982160493,31,37.5,6.5,15.0,8.0
BTCUSD,H4,ok,crypto,bars,9028,218,17709,400,0.000028629214659974732,1.285694352862428,6.0102899738296065,1.0740930407408866,4.093515792828523,0.5004459442300991,48,37.5,6.5,15.0,8.0
DASHUSD,H1,ok,crypto,bars,21323,134,41282,400,-0.0018057054949440746,0.9927403746102453,5.066475323800575,1.9571564544126647,3.245835894074111,0.5371037645802563,23,37.5,6.5,15.0,8.0
DASHUSD,H4,ok,crypto,bars,5594,130,10710,400,0.0010467057439225555,0.9980151266847315,8.764106690663883,1.392613744031383,4.0238286510762125,1.647378935011184,48,37.5,6.5,15.0,8.0
