symbol,status,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled
ADAUSD,ok,0,H4,-0.001866003425789701,1259,8,1.6792822695146343,0.7983064940957674,0.5508149027872599,1.2101150676982797,54.06178973378113,37.99407396891241,0.03748926480768937,0.6470384781480657,200,4930,cuda,crypto,-0.001866003425789701,6.5,39.07619858724527,8.0,39,false
BCHUSD,ok,0,H4,0.0022966059797217132,1510,6,0.022514982107344445,0.5142262159912934,0.8008398059178119,0.0014993970687326682,0.04488224556071749,18.78692082646999,0.08008687637474132,0.8456989194922861,200,8887,cuda,crypto,0.0022966059797217132,6.5,16.891388372762457,8.0,39,false
BTCUSD,ok,0,H4,0.0007671836089647041,509,3,0.01239134737472233,0.925972017195116,0.33736825651202096,0.0471150107750357,0.017908102903428893,23.27809921002753,0.16239953245329786,0.7702859727621837,200,8938,cuda,crypto,0.0007671836089647041,6.5,0.25108561137939445,8.0,39,false
DASHUSD,ok,0,H4,0.004130873056887778,1952,6,7.479707066512468,0.43976536855473525,0.39478845233361154,0.3899423512434025,0.7672813226339497,5.825702337906906,0.18855129402292956,0.7472217296987113,200,5453,cuda,crypto,0.004130873056887778,6.5,8.849557522123705,8.0,39,false
DOGEUSD,ok,0,H4,0.005234056059937563,706,7,0.025294864159244576,0.6768919918581139,0.33307403280377995,0.023548287487571717,0.057445452523273786,1.1340869521775743,0.27741628011812575,0.8733442342467042,200,4698,cuda,crypto,0.005234056059937563,6.5,24.400567686676315,8.0,39,false
DOTUSD,ok,0,H4,-0.0016165477512060675,1658,9,0.7224477926093104,0.7716070537841683,0.6435063808290749,0.016030503164285004,77.4279990958006,26.829737704477562,0.01796256147527522,0.7795191580366552,200,5037,cuda,crypto,-0.0016165477512060675,6.5,35.13086246267427,8.0,39,false
ETHUSD,ok,0,H4,0.00005546571986268283,1351,3,0.8770930776671565,0.7475971186780423,0.5792241101502009,5.064054654400971,0.004359740166502535,97.75078373873443,0.08716019441631875,0.45795080611118477,200,8816,cuda,crypto,0.00005546571986268283,6.5,12.069502536264531,8.0,39,false
LTCUSD,ok,0,H4,0.00001905944238275511,907,10,0.06278128217714135,0.42287136032496847,0.4478266654076262,0.0020715547349107444,0.02206287564120868,2.307904358902131,0.2160910347939281,0.33521546678886294,200,8783,cuda,crypto,0.00001905944238275511,6.5,27.996500437444723,8.0,39,false
NEOUSD,ok,0,H4,-0.02200795506941778,1896,8,4.711254139950176,0.6097460395811344,0.4299499002054209,72.29954809851431,0.06015831551142363,68.06597297897208,0.006463376807491095,0.81340392497061,200,5248,cuda,crypto,-0.02200795506941778,6.5,241.29610479145097,8.0,39,false
XMRUSD,ok,0,H4,-0.007897423263921665,240,4,2.7683056244800825,0.740930021770468,0.4946240833156005,1.8681802631751796,0.03825468676129925,98.91647810858387,0.005808430970349554,0.9946572866664942,200,7651,cuda,crypto,-0.007897423263921665,6.5,94.37199725463232,8.0,39,false
XRPUSD,ok,0,H4,-0.0019292573678855,1577,3,0.028977936617999293,0.8328729943134234,0.3362343719433925,23.921764548462708,0.002326543550937266,6.051642082848758,0.20714591968383775,0.36573906086387237,200,8146,cuda,crypto,-0.0019292573678855,6.5,40.39291003833391,8.0,39,false
