symbol,status,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled
AAVUSD,ok,0,M30,-0.000549429947853361,1578,4,0.15168314174847233,0.6829826185294969,0.5870889717328239,0.04436959612124117,0.02552147874029005,15.743035115409237,0.04071565017896072,0.3278827886696301,200,39224,cuda,crypto,-0.000549429947853361,6.5,0.651996740015707,8.0,39,false
ADAUSD,ok,0,M30,-0.0046931444598622835,872,7,0.03088918708536646,0.7225286671675734,0.4758477002923525,24.52086190316209,0.7627532792646388,1.6028510519888852,0.035733593435323306,0.5534069926281155,200,36868,cuda,crypto,-0.0046931444598622835,6.5,39.07619858724527,8.0,39,false
ALGUSD,ok,0,M30,-0.0022329369500035104,518,8,4.130680330696256,0.7676524361525161,0.8300609186366867,0.004735931329398167,0.009861395132478403,17.58036380426106,0.044849012002905884,0.6640806940724204,200,39379,cuda,crypto,-0.0022329369500035104,6.5,15.673981191223021,8.0,39,false
AVAUSD,ok,0,M30,-0.001655477664313195,1034,7,0.36787312958023427,0.6888050397694212,0.31847376004796796,0.0010367227754325841,0.26997611567164026,18.0939341666712,0.04842883449641339,0.8212217964557667,200,38864,cuda,crypto,-0.001655477664313195,6.5,10.062049304040782,8.0,39,false
BARUSD,ok,0,M30,-0.0011232409130248558,1612,7,2.6651938421209316,0.5485838804994336,0.7487715766481988,0.029383931261584076,0.025844032759451005,17.272171374602053,0.12410706386817423,0.8635600382175529,200,38386,cuda,crypto,-0.0011232409130248558,6.5,4.961137754257534,8.0,39,false
BCHUSD,ok,0,M30,-0.002469720018476133,1381,6,1.801674543866967,0.7008762116958462,0.6167387406961043,0.29901769194704847,2.5739910072706325,73.7093889815645,0.053581100750541025,0.8179023073838003,200,49511,cuda,crypto,-0.002469720018476133,6.5,16.891388372762457,8.0,39,false
BNBUSD,ok,0,M30,-0.0011028761250232446,292,3,1.3326303668314112,0.6595698774798846,0.49148925454571535,0.02190419291424532,0.08906813729015996,11.736930381774954,0.2745737419609821,0.6954629305262675,200,50130,cuda,crypto,-0.0011028761250232446,6.5,0.301750150874801,8.0,39,false
BTCUSD,ok,0,M30,-0.001297029881193196,1495,6,8.367787407042927,0.5951947970861166,0.8586207466049671,0.006695797908575541,0.21059091453956708,32.542406558549544,0.24621529676032192,0.39768731545839026,200,48530,cuda,crypto,-0.001297029881193196,6.5,0.25108561137939445,8.0,39,false
DASHUSD,ok,0,M30,-0.0015242254515910423,1753,5,0.10923883285127287,0.6736262583708977,0.36562356908218874,0.021835104130301868,0.005419669374557708,14.131259674433137,0.11788581917777317,0.6975740599182276,200,39002,cuda,crypto,-0.0015242254515910423,6.5,8.849557522123705,8.0,39,false
DOGEUSD,ok,0,M30,-0.0031383713679465418,1752,3,0.15572808740302754,0.4649862772788358,0.7296704359197423,2.644586662713455,0.0010811762589019074,84.16235875181627,0.0875688603153546,0.41646939337812583,200,35908,cuda,crypto,-0.0031383713679465418,6.5,24.400567686676315,8.0,39,false
DOTUSD,ok,0,M30,-0.0043318383222682435,1226,6,0.03700094244978131,0.7282997979587997,0.6990670181935839,0.013391903953792807,4.8680437638625325,19.243313982314557,0.016555582505720836,0.7892495038082765,200,37274,cuda,crypto,-0.0043318383222682435,6.5,35.13086246267427,8.0,39,false
ETCUSD,ok,0,M30,-0.0010776723837393472,734,8,0.543833614896631,0.786215470160021,0.7712138885516939,18.23833422168101,20.264097468254892,6.7569877189005005,0.006413824628508189,0.5643066442415365,200,48679,cuda,crypto,-0.0010776723837393472,6.5,4.038568327527447,8.0,39,false
ETHUSD,ok,0,M30,-0.002145647950699647,1054,3,0.02476858525889913,0.8994179893904151,0.6285862488667588,0.009348634255921159,0.40383327261554475,22.794592249392412,0.09673245150173485,0.9937438918914385,200,49160,cuda,crypto,-0.002145647950699647,6.5,12.069502536264531,8.0,39,false
FETUSD,ok,0,M30,-0.0006268044187079233,999,4,0.01239275996792857,0.6450555411459804,0.5502291012813626,4.250758697016653,0.012337152281651772,39.11756548034567,0.020189986937611693,0.9280436032521586,200,15156,cuda,crypto,-0.0006268044187079233,6.5,2.9180040852053977,8.0,39,false
GALUSD,ok,0,M30,-0.0012328577124914245,1871,8,0.1085221585500678,0.8102544817527223,0.3538985260448896,0.003168600866632419,0.16914789907121924,11.994260054595987,0.09716013343773827,0.6066307654326383,200,35584,cuda,crypto,-0.0012328577124914245,6.5,8.82223202470189,8.0,39,false
GRTUSD,ok,0,M30,-0.0008061946053756673,1583,10,0.01478054327674129,0.9319034297774943,0.553668595442808,0.1302038004245819,6.463679789230494,9.989201737274884,0.2508038348718585,0.9082563791918444,200,39589,cuda,crypto,-0.0008061946053756673,6.5,4.876859302608921,8.0,39,false
ICPUSD,ok,0,M30,-0.0011642201194069436,1415,10,0.05148830758285809,0.5667412727573576,0.8948478646047475,55.18562593599245,0.6319246520739427,15.621262860481043,0.18362089594261255,0.8637745270037396,200,15271,cuda,crypto,-0.0011642201194069436,6.5,5.974310465000725,8.0,39,false
IMXUSD,ok,0,M30,-0.001107105472629796,1337,6,0.011945070792101603,0.9128820117401385,0.5691680054672543,0.013702757498199297,0.002874448388321012,10.944915434909694,0.081076372837765,0.7729656321033674,200,35152,cuda,crypto,-0.001107105472629796,6.5,6.928806513079284,8.0,39,false
LNKUSD,ok,0,M30,-0.0009180005012053726,1711,10,0.029771655834993034,0.6922089048745679,0.8569920764421368,12.380957559921617,0.02961081050175726,10.584560437894433,0.024572517134483385,0.6775950228755905,200,40226,cuda,crypto,-0.0009180005012053726,6.5,1.97089642939271,8.0,39,false
LTCUSD,ok,0,M30,-0.003516149897133959,83,5,0.9758730996301272,0.4646443543458968,0.8064423090374462,25.546366790602637,6.1328151831896065,15.275088247083767,0.007945258851037496,0.7090962474050182,200,49446,cuda,crypto,-0.003516149897133959,6.5,27.996500437444723,8.0,39,false
MANUSD,ok,0,M30,-0.0017463728184853777,1101,5,0.16510465636114274,0.9350572162635378,0.3619561778804371,13.859174820759044,0.8858287364428498,59.053802061626996,0.02227125055625155,0.3381528345368728,200,38806,cuda,crypto,-0.0017463728184853777,6.5,11.935548040581759,8.0,39,false
NEOUSD,ok,0,M30,-0.0247912434186552,1640,9,1.0996981397632108,0.8262029644972966,0.5572133695489835,4.4144238200833374,0.002452537719530599,23.24457148957621,0.049213950746560126,0.9710129917773327,200,38940,cuda,crypto,-0.0247912434186552,6.5,241.29610479145097,8.0,39,false
NERUSD,ok,0,M30,-0.003625596284090336,717,7,7.317936123986982,0.45042007054200073,0.40003861966482723,0.007098707854898914,0.005586233853444737,149.3022998180764,0.016819262469119196,0.43413010419565357,200,38340,cuda,crypto,-0.003625596284090336,6.5,31.695721077654152,8.0,39,false
SANUSD,ok,0,M30,-0.0017831557997395923,1656,8,0.07237556583315909,0.4257945183780145,0.32844495262114726,0.0025043435780738687,0.05275909941796961,11.58915288630252,0.06875488604795398,0.9814444807279329,200,37697,cuda,crypto,-0.0017831557997395923,6.5,11.212857409828702,8.0,39,false
SOLUSD,ok,0,M30,-0.0011577413940293511,624,4,0.5474328051944679,0.4621763271123696,0.8521836884156593,2.8348362711236925,43.2454533491248,10.450830827192144,0.1395183301994433,0.5310297815975998,200,7079,cuda,crypto,-0.0011577413940293511,6.5,1.8161455337955104,8.0,39,false
UNIUSD,ok,0,M30,-0.0009398914643876876,703,9,0.4354552519217789,0.5201373995774567,0.7436787201303185,6.6038954237657945,0.07724605515782873,1.483383559113665,0.011974121220669626,0.8969032950786833,200,39280,cuda,crypto,-0.0009398914643876876,6.5,3.002418614994341,8.0,39,false
VECUSD,ok,0,M30,-0.0015696325538629345,770,6,0.011745173407155607,0.8611376575457099,0.379479574075151,0.010513591905944503,0.015403306135884627,15.698618803058912,0.11831617653769094,0.652551158366418,200,38316,cuda,crypto,-0.0015696325538629345,6.5,8.924587237839887,8.0,39,false
XLMUSD,ok,0,M30,-0.0010667350920569897,336,4,0.12473539182295475,0.4795027118251371,0.7379203957028353,54.08775356169368,75.39200279189359,15.95278279902629,0.04970269967702059,0.7649211118361989,200,50752,cuda,crypto,-0.0010667350920569897,6.5,3.1690698779904607,8.0,39,false
XMRUSD,ok,0,M30,-0.010214250255737004,674,8,0.23122626243889055,0.7918574145677724,0.5702233348814617,37.49501507551684,0.21802176732312534,94.69955304363485,0.007768679825496637,0.5354121397754626,200,50600,cuda,crypto,-0.010214250255737004,6.5,94.2870612437328,8.0,39,false
XRPUSD,ok,0,M30,-0.004756382921376583,303,10,0.0327035051123356,0.6073577758924461,0.4038135628418287,84.5424013333299,3.5193034153233853,90.99962785599524,0.047041412916529926,0.7302449271370437,200,48504,cuda,crypto,-0.004756382921376583,6.5,40.38446005976903,8.0,39,false
XTZUSD,ok,0,M30,-0.005802950597353977,544,10,0.16826518661086642,0.80172860027932,0.754318524036902,0.558805647678586,12.780454731587731,97.55967773973445,0.04929396633325888,0.428885744789123,200,36109,cuda,crypto,-0.005802950597353977,6.5,49.50495049504955,8.0,39,false
