symbol,timeframe,status,error
AAVUSD,H1,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
AAVUSD,H4,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
AAVUSD,M15,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
AAVUSD,M30,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
AMZN,H1,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
AMZN,H4,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
AMZN,M15,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
AMZN,M30,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
AVAUSD,H1,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
AVAUSD,H4,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
AVAUSD,M15,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
AVAUSD,M30,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
FRA40.cash,H1,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
FRA40.cash,H4,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
FRA40.cash,M15,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
FRA40.cash,M30,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
JP225.cash,H1,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
JP225.cash,H4,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
JP225.cash,M15,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
JP225.cash,M30,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
LNKUSD,H1,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
LNKUSD,H4,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
LNKUSD,M15,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
LNKUSD,M30,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
LVMH,H1,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
LVMH,H4,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
LVMH,M15,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
LVMH,M30,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
NERUSD,H1,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
NERUSD,H4,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
NERUSD,M15,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
NERUSD,M30,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
NVDA,H1,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
NVDA,H4,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
NVDA,M15,error,"could not evaluate '>=' comparison between series 'time' of dtype: Datetime('μs', 'UTC') and series 'literal' of dtype: Datetime('μs')"
