symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps
AAVUSD,H1,ok,crypto,bars,23299,145,44791,400,-0.00047041821774340887,2.555576733500894,8.721939557712219,1.1334527267857983,4.695909475133769,1.5143940746963982,25,37.5,6.5,15.0,8.0
AAVUSD,H4,ok,crypto,bars,5946,139,11372,400,0.0011919000299655635,2.671495930935706,9.82039060697048,1.7627548234772934,3.6812506373419107,1.699160436392881,29,37.5,6.5,15.0,8.0
AAVUSD,M15,ok,crypto,bars,46746,80,101030,400,-0.002902084206840321,0.9570070492571923,9.807604188248446,1.9663021475369298,4.8613293692650394,0.6718319416966423,42,37.5,6.5,15.0,8.0
AAVUSD,M30,ok,crypto,bars,39362,92,77064,400,-0.0017022942307335209,0.9310690318854662,9.105954228716085,0.9282251477048808,3.9835469318550683,2.33989201241777,35,37.5,6.5,15.0,8.0
AMZN,H1,ok,equity,bars,6566,35,11741,400,0.004594452344652636,0.5983643559454165,6.823573704846991,0.30064506871491586,3.442022413749477,0.5541126769306025,35,8.4,0.4,3.0,2.5
AMZN,H4,ok,equity,bars,1937,40,3453,400,0.00925376401845896,0.8267452600455494,5.40568415371706,1.2674907526445236,1.3720827937149143,0.3021719086173157,7,8.4,0.4,3.0,2.5
AMZN,M15,ok,equity,bars,17117,23,32880,400,0.00012447085475592102,1.5938304872621698,7.690389873678966,0.33601375726382343,1.1859659600593442,0.300172617341488,22,8.4,0.4,3.0,2.5
AMZN,M30,ok,equity,bars,10122,19,18414,400,0.0010494972696163903,0.5019365894837089,7.89476880385932,0.6903946733546708,2.4103243990412357,1.1049965936046848,25,8.4,0.4,3.0,2.5
AVAUSD,H1,ok,crypto,bars,20196,126,38946,400,-0.0010691864269263389,0.8654503670056929,8.721644083423044,1.4250959208076648,4.4267395358698,0.5599152192355397,48,37.5,6.5,15.0,8.0
AVAUSD,H4,ok,crypto,bars,5404,124,10187,400,0.0002156859459371175,0.8549634652776837,8.674197895636446,1.6892905627365185,2.432847866105404,1.7910279345623448,22,37.5,6.5,15.0,8.0
AVAUSD,M15,ok,crypto,bars,51467,80,101026,400,-0.0025450170585734773,2.8184957896863168,6.841968572208638,1.7683179910276838,4.93492446466875,0.6827018618641605,48,37.5,6.5,15.0,8.0
AVAUSD,M30,ok,crypto,bars,38997,91,76319,400,-0.002477045035101847,0.8374639922291449,8.341727111008051,0.36364109871432937,4.313387252458553,2.1601455177958817,45,37.5,6.5,15.0,8.0
FRA40.cash,H1,ok,index,bars,10437,86,26915,400,0.000019580638463561546,2.234823411832164,5.531524467193518,1.0638485445665598,1.3286101727140305,0.33029352132285933,24,5.0,0.0,2.0,1.5
FRA40.cash,H4,ok,index,bars,3266,88,7317,400,0.00011342528318533086,2.342190770576069,7.32938285051748,0.872442329918456,3.0920950877335707,1.6129648222137594,36,5.0,0.0,2.0,1.5
FRA40.cash,M15,ok,index,bars,35786,73,92790,400,-0.00017067933839694642,0.5334650330791787,6.454645236729142,0.6020968994536479,1.0559816499390988,0.30061652908002007,9,5.0,0.0,2.0,1.5
FRA40.cash,M30,ok,index,bars,18712,57,48883,400,-0.00010280664836597582,0.5000503720267607,5.88894620629009,1.1640178654830768,1.2736106216323189,0.8231784224526362,35,5.0,0.0,2.0,1.5
JP225.cash,H1,ok,index,bars,14145,96,29801,400,0.000013618120427255406,0.500148148857143,7.714526091780067,0.8315536772829548,1.0059889615328348,0.331238448488857,35,5.0,0.0,2.0,1.5
JP225.cash,H4,ok,index,bars,3815,96,7957,400,0.00018305862612510678,1.2374880170660907,6.595207468435199,1.4035239724891238,3.997212255982084,1.8382669524323718,24,5.0,0.0,2.0,1.5
