symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
AAPL,H1,ok,equity,bars,9333,53,17144,200,0.9789395023921394,2.0263197409518634,7.132080777668676,1.494227750451932,1.6365010403073956,1.9495906833253638,29,8.4,0.4,3.0,2.5,0.02803896005572693
AAPL,H4,ok,equity,bars,2794,57,4879,200,12.49545903949011,0.8697089110510541,7.817507766587351,1.2301593880333375,3.8184968246925672,1.821206495727003,24,8.4,0.4,3.0,2.5,0.028046855875577918
AAPL,M1,ok,equity,bars,52444,36,100179,200,-0.28603361201471156,2.4521859683554603,7.740929066021898,1.4634526192088946,1.8849433209535322,1.9228426051389897,33,8.4,0.4,3.0,2.5,0.005007459337147301
AAPL,M15,ok,equity,bars,28188,42,55355,200,0.23338654514502558,1.249080237694725,7.704285838459497,1.178392730173686,2.79597545259111,0.565231688752142,10,8.4,0.4,3.0,2.5,0.0064520903042049865
AAPL,M30,ok,equity,bars,15866,32,29210,200,0.38850914448227625,0.9779866950763103,7.466504607911789,1.39008965901909,3.1061280710015193,0.6139445219523108,26,8.4,0.4,3.0,2.5,0.007870280620742739
ALVG,H1,ok,equity,bars,7687,43,14184,200,1.2257379327193756,2.2212222829664565,6.627312638308017,1.1660752714226068,3.4980965749499227,0.5063848170476272,35,8.4,0.4,3.0,2.5,0.02001375864085408
ALVG,H4,ok,equity,bars,2660,57,4836,200,1963.6416776719054,1.0024440881801309,6.375014279684486,1.0901115036437403,3.6714865606265406,0.9721596350032247,21,8.4,0.4,3.0,2.5,0.02851708575069307
ALVG,M1,ok,equity,bars,52818,36,100066,200,-0.7446211940547177,2.435227306673749,6.771551284221387,1.2506266832391644,2.870074713134791,1.2417000767115933,17,8.4,0.4,3.0,2.5,0.00501268983415205
ALVG,M15,ok,equity,bars,22138,30,41881,200,0.022115520092570683,1.7554632219091653,6.5107810517024305,1.2197901361149288,1.5821181724891973,0.3057546682820826,22,8.4,0.4,3.0,2.5,0.006143549474648979
ALVG,M30,ok,equity,bars,12412,25,23047,200,0.02192481080660481,2.372296692580061,5.6717049860603375,1.165580595583642,3.618762380015733,1.8309842544250667,20,8.4,0.4,3.0,2.5,0.012125904826777934
AMZN,H1,ok,equity,bars,6566,35,11741,200,2.7648579264752398,1.4055842991300622,4.054922151525473,0.7597426973941602,2.3127217952273997,0.44592884856472936,29,8.4,0.4,3.0,2.5,0.01281929322660628
AMZN,H4,ok,equity,bars,1937,40,3453,200,1168.0433580611657,1.2135066533871786,3.6856070581242846,0.9512352997898981,1.422772674924288,1.6637348672818675,8,8.4,0.4,3.0,2.5,0.02967217341501293
AMZN,M1,ok,equity,bars,53187,36,100179,200,-0.25259887363887457,2.4467821700654997,7.595796239943738,1.3961840650653703,2.773285122620545,1.4880015831527307,36,8.4,0.4,3.0,2.5,0.005032368867605508
AMZN,M15,ok,equity,bars,17117,23,32880,200,1.0440936180691855,1.249080237694725,7.704285838459497,1.178392730173686,2.79597545259111,0.565231688752142,10,8.4,0.4,3.0,2.5,0.0064520903042049865
AMZN,M30,ok,equity,bars,10122,19,18414,200,3.3633898120165964,1.6475693711734862,6.654783493604223,0.5774666268373596,2.7635879232525733,0.7273907915767732,28,8.4,0.4,3.0,2.5,0.015466243575538944
BCHUSD,H1,ok,crypto,bars,18588,241,73385,200,0.06361318407828317,1.5320183245196455,5.8308655400412,1.5306499890258445,4.989869769867213,2.25051169195412,43,37.5,6.5,15.0,8.0,0.019558203307500747
BCHUSD,H4,ok,crypto,bars,5294,228,18550,200,434.31149685772687,1.2827361200036076,8.178579190077159,1.1126642609717563,4.572842118751338,0.5016907647778392,46,37.5,6.5,15.0,8.0,0.029692496423406073
BCHUSD,M1,ok,crypto,bars,21614,36,100069,200,-0.9801427068057094,2.6996120054686434,9.099626757837402,1.2910408087960867,2.3811780569378023,2.4504168537925253,47,37.5,6.5,15.0,8.0,0.005006734056944952
BCHUSD,M15,ok,crypto,bars,21850,80,100985,200,-0.06831131148612504,2.663005747327793,9.072522779116381,1.5736406190316554,3.428446174071312,2.2953753185660335,41,37.5,6.5,15.0,8.0,0.010767356873987746
BCHUSD,M30,ok,crypto,bars,23308,121,100188,200,0.01076526506426073,2.253710201962668,9.629397384929765,1.5009643140054356,4.373928232882331,2.1416504472519833,42,37.5,6.5,15.0,8.0,0.010578419799870972
BTCUSD,H1,ok,crypto,bars,9140,227,69317,200,424.27922293879936,1.7816194324581822,4.540110748589482,1.113120377158432,4.279166300018565,1.8180312805474772,46,37.5,6.5,15.0,8.0,0.02382824993417947
BTCUSD,H4,ok,crypto,bars,1747,218,17709,200,960.580073242418,0.8039030045741096,6.151995076546442,1.1529464366593714,1.8659004504962642,1.850275368241996,8,37.5,6.5,15.0,8.0,0.022931509626572828
BTCUSD,M1,ok,crypto,bars,5466,36,100069,200,-0.4105302696025268,2.8844441598880333,3.6031687265703045,1.8756175954119712,4.507534752421552,1.2725132708261928,44,37.5,6.5,15.0,8.0,0.0050655829803617144
BTCUSD,M15,ok,crypto,bars,12290,79,100182,200,-0.08837969314506414,2.7999166800089488,9.32245573645092,1.8826087626112407,4.386994706834744,1.2962309557339382,45,37.5,6.5,15.0,8.0,0.015148740465631786
BTCUSD,M30,ok,crypto,bars,13652,121,100173,200,0.018473284017764883,2.6822867693200267,9.556787693815615,1.550547619757931,2.8404831032827875,2.3369222357455244,42,37.5,6.5,15.0,8.0,0.020260284853117216
