symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps
AAPL,H4,ok,equity,bars,2497,58,4892,400,0.0013975269704181266,0.5208790027682652,6.2606979711601305,1.144551314322679,2.8738499077793276,0.8617313663541689,33,8.4,0.4,3.0,2.5
AAVUSD,H4,ok,crypto,bars,5946,139,11372,400,0.0011919000299655635,2.671495930935706,9.82039060697048,1.7627548234772934,3.6812506373419107,1.699160436392881,29,37.5,6.5,15.0,8.0
ALGUSD,H4,ok,crypto,bars,5511,128,10494,400,0.001374229740818674,2.77873647356835,9.844126296439141,1.8751434843255266,4.07666149050606,2.329106168022334,47,37.5,6.5,15.0,8.0
AMZN,H4,ok,equity,bars,1937,40,3453,400,0.00925376401845896,0.8267452600455494,5.40568415371706,1.2674907526445236,1.3720827937149143,0.3021719086173157,7,8.4,0.4,3.0,2.5
AVAUSD,H4,ok,crypto,bars,904,124,10187,400,0.00040029097060831353,0.8622424775276001,5.903373780017937,1.180456995341354,4.99878753101096,0.8391067046384204,22,37.5,6.5,15.0,8.0
BABA,H1,ok,equity,bars,5484,29,9883,400,0.008194203991014786,1.4268444318131828,7.186284295662434,0.5300175558801068,1.3577693124136088,0.5223655392183966,13,8.4,0.4,3.0,2.5
BAC,H4,ok,equity,bars,1027,33,2912,400,0.001834685764182775,0.6161672243363989,7.197056874649611,1.0213380140918504,3.1242177333881367,0.33499364030286416,36,8.4,0.4,3.0,2.5
BCHUSD,H4,ok,crypto,bars,6022,228,18550,400,0.00009595910453594687,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,37.5,6.5,15.0,8.0
ETCUSD,H4,ok,crypto,bars,8972,228,18544,400,0.0004375663506729331,1.1881230109191232,6.378482643690423,1.2382143564707486,4.869049200231348,2.2894762164610087,48,37.5,6.5,15.0,8.0
EU50.cash,H4,ok,index,bars,3976,88,7332,400,0.00019964745743158657,1.3427727729434977,7.568353657854739,0.3451602154269809,3.077836332638336,1.9969701584283124,36,5.0,0.0,2.0,1.5
FETUSD,H4,ok,crypto,bars,2167,45,3879,400,0.0009270134847965072,2.28382173210649,7.714898494104413,1.9161263104724702,4.858961484071769,2.459186258486096,46,37.5,6.5,15.0,8.0
FRA40.cash,H4,ok,index,bars,4001,88,7317,400,0.00017860429064274805,2.051728963690046,7.99988097935404,0.9278141580122455,3.122160203745095,1.7355257975319465,36,5.0,0.0,2.0,1.5
GALUSD,H4,ok,crypto,bars,4979,119,9817,400,0.0002798446890961798,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,37.5,6.5,15.0,8.0
GRTUSD,H4,ok,crypto,bars,5903,138,11365,400,0.0006307616127483562,1.7111614480934256,5.2561671401172605,0.38141580825266486,4.9981666522521095,0.5028338041556957,47,37.5,6.5,15.0,8.0
HK50.cash,H4,ok,index,bars,4180,91,7536,400,0.0001863429847951575,1.2520475364272416,4.153550020831903,0.8599645777568308,2.019081548051133,0.3432883401403714,11,5.0,0.0,2.0,1.5
ICPUSD,H1,ok,crypto,bars,7988,46,14824,400,-0.0011890141834134651,2.9256721184120185,4.50340580461919,0.48925352055811133,4.27903043511304,1.9849777347573312,45,37.5,6.5,15.0,8.0
JP225.cash,H4,ok,index,bars,3076,96,7957,400,0.0002819890404395982,0.5001478522912148,7.987588523480876,0.6329889420250622,3.0272769624462788,1.7051536105863372,35,5.0,0.0,2.0,1.5
LNKUSD,H4,ok,crypto,bars,5874,137,11289,400,0.001569898234532352,2.2501168088589583,7.461327202841849,1.954684081880774,3.243519325486941,2.458690299767546,30,37.5,6.5,15.0,8.0
LVMH,H1,ok,equity,bars,7741,43,14196,400,0.0005326168052720183,0.994577862919778,7.318568268010098,0.9327209250862396,2.8551420192350476,0.4129079385046708,30,8.4,0.4,3.0,2.5
MANUSD,H4,ok,crypto,bars,5770,139,11372,400,0.0003487294688087183,2.0005788698239932,7.6257149276759515,0.9212237069503019,2.9440303368876823,0.5029506755291765,40,37.5,6.5,15.0,8.0
META,H4,ok,equity,bars,1978,40,3453,400,0.005303968645257372,2.412068045526984,7.6369305906920015,0.31697674709723656,2.0512422397022947,1.5490021825295277,32,8.4,0.4,3.0,2.5
MSFT,H1,ok,equity,bars,8682,50,16008,400,0.002350559334597139,1.6541264717493154,4.612224117518822,0.9893751009542213,1.009697085384687,0.30182055314223133,36,8.4,0.4,3.0,2.5
NERUSD,H4,ok,crypto,bars,5383,122,10045,400,0.00018722059903813714,1.216380497859162,6.042188396628138,0.42579998656675894,2.5686138162723666,0.5412258696369161,23,37.5,6.5,15.0,8.0
NVDA,H4,ok,equity,bars,1621,31,2754,400,0.008804702297179558,0.501031436298967,6.144017375576014,0.5418081837669468,1.9978154298174713,0.5804850435211178,23,8.4,0.4,3.0,2.5
NZD_USD,H4,ok,forex,bars,1951,191,15575,400,0.00013079415477188202,2.2110049241319514,7.795907910896689,1.4184964326532743,3.999549049434329,1.8185601177673543,33,5.5,0.5,2.0,1.5
PFE,H4,ok,equity,bars,1906,40,3453,400,0.0017586795601344828,0.5231449521628587,6.558619865606357,1.1999072057996867,3.7307865376567255,1.6011785596637627,35,8.4,0.4,3.0,2.5
RACE,H4,ok,equity,bars,674,33,2912,400,0.0013372038781591365,0.8733662001101069,7.820562629861452,1.1636901858770683,3.5439645603704104,1.3323937926429876,16,8.4,0.4,3.0,2.5
