symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps
AAPL,H1,ok,equity,bars,8302,53,17189,400,0.000598041007314386,1.0013166578825088,7.811965235674537,1.044386461923245,1.5493583356011547,0.30084626867598946,23,8.4,0.4,3.0,2.5
AAPL,H4,ok,equity,bars,2497,58,4892,400,0.0013975269704181266,0.5208790027682652,6.2606979711601305,1.144551314322679,2.8738499077793276,0.8617313663541689,33,8.4,0.4,3.0,2.5
AAVUSD,H1,ok,crypto,bars,23299,145,44791,400,-0.00047041821774340887,2.555576733500894,8.721939557712219,1.1334527267857983,4.695909475133769,1.5143940746963982,25,37.5,6.5,15.0,8.0
AAVUSD,H4,ok,crypto,bars,5946,139,11372,400,0.0011919000299655635,2.671495930935706,9.82039060697048,1.7627548234772934,3.6812506373419107,1.699160436392881,29,37.5,6.5,15.0,8.0
ALGUSD,H1,ok,crypto,bars,20210,127,39125,400,-0.00013225008731781684,2.702314915909408,7.750799908462451,1.7773750876890952,4.875136259923567,1.90849872868844,46,37.5,6.5,15.0,8.0
ALGUSD,H4,ok,crypto,bars,5511,128,10494,400,0.001374229740818674,2.77873647356835,9.844126296439141,1.8751434843255266,4.07666149050606,2.329106168022334,47,37.5,6.5,15.0,8.0
AMZN,H1,ok,equity,bars,6566,35,11741,400,0.004594452344652636,0.5983643559454165,6.823573704846991,0.30064506871491586,3.442022413749477,0.5541126769306025,35,8.4,0.4,3.0,2.5
AMZN,H4,ok,equity,bars,1937,40,3453,400,0.00925376401845896,0.8267452600455494,5.40568415371706,1.2674907526445236,1.3720827937149143,0.3021719086173157,7,8.4,0.4,3.0,2.5
AVAUSD,H1,ok,crypto,bars,2307,126,38946,400,-0.0019034583922860233,0.8729228586522219,6.985271838740763,0.9505419410704845,2.852507560811704,2.1772635039723593,42,37.5,6.5,15.0,8.0
AVAUSD,H4,ok,crypto,bars,904,124,10187,400,0.00040029097060831353,0.8622424775276001,5.903373780017937,1.180456995341354,4.99878753101096,0.8391067046384204,22,37.5,6.5,15.0,8.0
BABA,H1,ok,equity,bars,5484,29,9883,400,0.008194203991014786,1.4268444318131828,7.186284295662434,0.5300175558801068,1.3577693124136088,0.5223655392183966,13,8.4,0.4,3.0,2.5
BABA,H4,ok,equity,bars,1632,33,2912,400,0.002601908436146555,0.6161672243363989,7.197056874649611,1.0213380140918504,3.1242177333881367,0.33499364030286416,36,8.4,0.4,3.0,2.5
BAC,H1,ok,equity,bars,5441,29,9883,400,0.0013840012497775185,0.5078302485513899,6.177143923270925,0.3839557082153834,3.1224740024114404,0.4997635486953409,33,8.4,0.4,3.0,2.5
BAC,H4,ok,equity,bars,1027,33,2912,400,0.001834685764182775,0.6161672243363989,7.197056874649611,1.0213380140918504,3.1242177333881367,0.33499364030286416,36,8.4,0.4,3.0,2.5
BCHUSD,H1,ok,crypto,bars,23041,241,73385,400,-0.001286496474460637,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,37.5,6.5,15.0,8.0
BCHUSD,H4,ok,crypto,bars,6022,228,18550,400,0.00009595910453594687,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,37.5,6.5,15.0,8.0
ETCUSD,H1,ok,crypto,bars,36322,241,73357,400,-0.0017830141272154629,0.8848991999649269,7.914890227661835,0.33249356931997537,4.8223837449750135,0.5013401840278198,48,37.5,6.5,15.0,8.0
ETCUSD,H4,ok,crypto,bars,8972,228,18544,400,0.0004375663506729331,1.1881230109191232,6.378482643690423,1.2382143564707486,4.869049200231348,2.2894762164610087,48,37.5,6.5,15.0,8.0
EU50.cash,H1,ok,index,bars,14239,86,26967,400,6.207040216774852e-6,0.558962752623193,6.7286270587866,0.9590900548702656,1.3329012316593452,0.9995076875459696,16,5.0,0.0,2.0,1.5
EU50.cash,H4,ok,index,bars,3976,88,7332,400,0.00019964745743158657,1.3427727729434977,7.568353657854739,0.3451602154269809,3.077836332638336,1.9969701584283124,36,5.0,0.0,2.0,1.5
EURCZK,H1,no_data,index,,,,,,,,,,,,,,,,
EURCZK,H4,no_data,index,,,,,,,,,,,,,,,,
EURHUF,H1,no_data,index,,,,,,,,,,,,,,,,
EURHUF,H4,no_data,index,,,,,,,,,,,,,,,,
EURNOK,H1,no_data,index,,,,,,,,,,,,,,,,
EURNOK,H4,no_data,index,,,,,,,,,,,,,,,,
EURPLN,H1,no_data,index,,,,,,,,,,,,,,,,
EURPLN,H4,no_data,index,,,,,,,,,,,,,,,,
FETUSD,H1,ok,crypto,bars,7927,46,14828,400,-0.000773326521162984,1.5852360345984624,9.780274811836147,0.5414292648359412,3.8374636225112875,1.1474012157022846,29,37.5,6.5,15.0,8.0
FETUSD,H4,ok,crypto,bars,2167,45,3879,400,0.0009270134847965072,2.28382173210649,7.714898494104413,1.9161263104724702,4.858961484071769,2.459186258486096,46,37.5,6.5,15.0,8.0
FRA40.cash,H1,ok,index,bars,14127,86,26915,400,0.000016009058441372532,0.5376512935509249,6.487594485190573,0.980382178004752,1.0013412789421943,0.3001154332535013,19,5.0,0.0,2.0,1.5
FRA40.cash,H4,ok,index,bars,4001,88,7317,400,0.00017860429064274805,2.051728963690046,7.99988097935404,0.9278141580122455,3.122160203745095,1.7355257975319465,36,5.0,0.0,2.0,1.5
GALUSD,H1,ok,crypto,bars,19733,125,38564,400,0.000011897561004906516,0.840816689864627,8.948994533167554,1.1034080183043813,4.458756678623591,0.5004289398954572,47,37.5,6.5,15.0,8.0
