symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps
AAPL,M15,ok,equity,bars,28114,41,55199,300,0.00002919534988229051,1.1085566477350925,3.833986620548508,0.16301716703244581,0.4054124952000582,0.15079692959482394,11,8.4,0.4,3.0,2.5
AAPL,M30,ok,equity,bars,15828,32,29132,300,0.0006237434661682111,0.35312898269206444,4.807310025730585,0.25145142396011644,0.6087909407276991,0.23214408062678593,23,8.4,0.4,3.0,2.5
AAPL,M5,ok,equity,bars,52509,80,101273,300,-0.00017766716999590505,0.15040386239172965,2.77992501810751,0.49046587410035264,0.5654797907248507,0.1004366766558207,10,8.4,0.4,3.0,2.5
ALVG,M15,ok,equity,bars,324,30,41881,300,-0.0001679760046981227,0.4380976512799251,2.488028102840855,0.2562428319482596,0.4373333587801433,0.48032534364570056,15,8.4,0.4,3.0,2.5
ALVG,M30,ok,equity,bars,203,25,23047,300,0.00035708441253842884,1.0754277488670205,4.6812451985850885,0.25401071375138834,1.5606049630930807,0.21635274487578632,12,8.4,0.4,3.0,2.5
ALVG,M5,ok,equity,bars,52438,79,100160,300,-0.0004293935044501346,0.1502885115004058,2.996889505361605,0.5285026019901513,0.5388247238243219,0.10067330099224048,6,8.4,0.4,3.0,2.5
AMZN,M15,ok,equity,bars,17117,23,32880,300,0.0009768926680235196,0.20115659827217655,3.993690711473033,0.395308793727226,0.44191556755559513,0.150428182544478,15,8.4,0.4,3.0,2.5
AMZN,M30,ok,equity,bars,10122,19,18414,300,0.0021075252130414767,0.7929532218680411,4.984541307514531,0.7424001178385704,0.8432957605886484,0.2023999804997364,17,8.4,0.4,3.0,2.5
AMZN,M5,ok,equity,bars,47227,71,90503,300,-0.00007399569742988106,0.15008594792149285,2.9986822363748686,0.5110846560323977,0.5121309958170794,0.11581722409228151,10,8.4,0.4,3.0,2.5
BCHUSD,M15,ok,crypto,bars,33,80,100985,300,-999.0,0.5745401188473624,3.842285780511732,0.6257960621774133,1.3578535747152585,0.282615844376071,6,37.5,6.5,15.0,8.0
BCHUSD,M30,ok,crypto,bars,118,121,100188,300,0.045787905698929564,0.7189904575257289,4.363888236270287,0.4996065348201201,1.2953851532605936,0.43235295857860495,21,37.5,6.5,15.0,8.0
BCHUSD,M5,ok,crypto,bars,51861,80,101557,300,-0.0028611151567012787,0.1515804568435239,2.877113528363052,0.12150394785214885,0.45697082734981687,0.10010065803438262,5,37.5,6.5,15.0,8.0
BTCUSD,M15,ok,crypto,bars,200,79,100182,300,-0.001791218464066351,0.3045671408527941,2.4216005926722333,0.5026712729477969,1.0925503348762944,0.15017513154530895,17,37.5,6.5,15.0,8.0
BTCUSD,M30,ok,crypto,bars,447,121,100173,300,-0.002728495599809319,0.30101598194375373,4.902287878131837,0.26617205636712127,2.3667380473619297,0.2216496133681234,22,37.5,6.5,15.0,8.0
BTCUSD,M5,ok,crypto,bars,52011,79,100277,300,-0.003212091127318899,0.16188708450147626,2.9920018949339906,0.15232126871112323,0.32671296935332395,0.10039431454781031,7,37.5,6.5,15.0,8.0
DBKGn,M15,ok,equity,bars,21920,31,42225,300,0.0007943399055016028,0.20087016949105801,3.917617117531963,0.7630298638586089,0.7639706370350593,0.1503869106915689,17,8.4,0.4,3.0,2.5
