symbol,timeframe,status,cluster,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps,best_risk_pct
GOOG,H4,ok,equity,515,8,932,200,9375.240539355505,1.6385042995554957,7.266637875600518,1.3901493643404623,1.6131137969773617,1.2101279009548838,33,10.4,0.4,5.047045675762874,2.5,0.029993542037432566
GALUSD,H4,ok,crypto,497,16,1606,200,6838.147575767273,1.2066798021561596,9.787092394351909,1.6177257997138947,4.7882462954746625,2.289654700855298,31,31.2,6.5,8.729812309035,8.0,0.028046855875577918
MSFT,H4,ok,equity,549,8,932,200,6617.165498015119,1.0750849378726313,7.710989498774734,1.1299825113345718,3.554493726331747,1.4817679842280518,35,8.8,0.4,3.352490421456973,2.5,0.013884508307491477
COFFEE.c,H4,ok,commodity,1050,20,1883,200,5915.45250367218,1.306164361224951,7.806148493567379,1.3117753485458803,3.8774959664624453,1.3603671801234094,33,16.6,0.0,8.618367896579402,4.0,0.025655378451073695
NERUSD,H4,ok,crypto,846,16,1606,200,5561.958076517514,2.876001396534825,9.218111188271392,1.9951835894317898,2.5860753461685513,1.1878573442843579,44,53.9,6.5,31.41126318151275,8.0,0.0299610970838034
XAU_EUR,H4,ok,commodity,1636,34,3001,200,5313.766753547498,1.0038950676073062,5.453633811163676,0.6313902062493002,3.316021963177886,1.6965079326928052,35,5.7,0.13999999999999999,1.5961437167796138,2.0,0.029978084931793905
UNIUSD,H4,ok,crypto,782,16,1606,200,5134.846320077369,2.027079674422538,9.187266225098485,1.1078058645905144,1.9537657097563388,0.8561772470091557,36,25.5,6.5,2.9615492193031243,8.0,0.02914065128525828
BABA,H4,ok,equity,500,8,932,200,5093.002074350118,1.4850888612551039,5.176065609383107,1.4681597814819622,1.5365660177861542,1.2517798409656298,25,13.3,0.4,7.91870133298169,2.5,0.02999312660384887
DASHUSD,H4,ok,crypto,2175,49,4201,200,4652.322638301376,1.655308201868136,8.141569197077102,1.658466640550748,1.6588669579846123,1.3330579785490075,45,31.6,6.5,9.131030284581959,8.0,0.029161155202103585
AUS200.cash,H4,ok,index,1478,33,2943,200,4027.4681447716493,1.3443278908428817,5.787524142588564,1.4490993935802567,3.771610155675106,1.6936426122550734,28,4.6,0.0,1.5653974905465313,1.5,0.024052265804632485
IMXUSD,H4,ok,crypto,819,16,1606,200,3873.056440571918,1.4334887493994257,8.432930597338084,1.746466872934537,4.175024620220059,1.82662639176025,31,29.4,6.5,6.926646810278381,8.0,0.0294462302727211
META,H4,ok,equity,541,8,932,200,3614.698619153003,2.4618074753316703,7.392407570459054,1.4165629251234348,1.5673050555135528,1.6760144619183088,36,10.7,0.4,5.26092147062971,2.5,0.011904143758019714
VECUSD,H4,ok,crypto,823,16,1606,200,3427.0485966853853,0.9229133239213057,4.558023421891806,1.5627440189158301,4.839891183927678,1.0537929546302014,16,31.3,6.5,8.81445570736124,8.0,0.017065052896219932
BAYGn,H4,ok,equity,778,14,1446,200,3244.647834726312,1.371866993758193,7.160829145334659,1.387417369655904,3.1852574888180984,1.7665002006323904,25,20.3,0.4,14.886490509861982,2.5,0.0275287325686431
GBP_JPY,H4,ok,forex,1612,34,3014,200,2996.496205200224,0.5265538633962099,7.093285141471014,0.5998255954933399,3.569854615201076,0.9216967986264396,20,4.5,0.5,0.9527086034880081,1.5,0.02777274433094719
AAVUSD,H4,ok,crypto,836,16,1606,200,2751.190244106556,1.630447757313376,7.345534140860869,1.758599163735736,4.548780285567359,2.4088601355248196,11,23.1,6.5,0.6320113762041969,8.0,0.029977037466945383
MANUSD,H4,ok,crypto,823,16,1606,200,2427.720448225748,1.3287399718941675,6.629410553363387,1.181740805261334,3.7352948604232092,1.0589209635259,17,34.4,6.5,11.930801352156172,8.0,0.024603947909060925
XAG_USD,H4,ok,commodity,1628,34,3001,200,1758.3055462444865,1.8684200479150468,6.666897742053413,1.1003772610753586,3.9230014135776634,1.2971225908514004,35,9.5,0.13999999999999999,5.362183985995067,2.0,0.029346283417134175
ETCUSD,H4,ok,crypto,821,16,1606,200,1729.853287723659,1.6521139867110266,6.991335180029525,0.441353699491032,2.7979863801612144,1.882731449209471,19,26.5,6.5,3.954913980620486,8.0,0.020902350503660773
NZD_JPY,H4,ok,forex,1642,34,3014,200,1670.9170044243465,0.8122069252064688,5.997373149625556,1.2577382648730508,2.5100468069953967,1.5377953047810662,28,5.0,0.5,1.5361657303366172,1.5,0.025965440103796724
COCOA.c,H4,ok,commodity,1032,20,1883,200,1339.1476046410094,1.6853020275088364,7.505603464704806,1.4315713703193818,2.790587132771224,0.6236184837941615,36,27.2,0.0,19.182529142687837,4.0,0.01816883651426902
JP225.cash,H4,ok,index,1512,34,2988,200,1314.5663914834718,2.3134890364251826,7.416094012487108,1.396557487506605,3.5284265836288418,1.8709617240240206,18,4.3,0.0,1.312811763171032,1.5,0.020480073847172073
CAD_JPY,H4,ok,forex,1604,34,3014,200,1294.6703367091015,0.9800281336388228,7.197351349643185,0.4845776586726308,1.3698212329704451,1.6224859070377624,28,4.9,0.5,1.3967846018466021,1.5,0.02375842345901964
LNKUSD,H4,ok,crypto,814,16,1606,200,1167.6846138660846,1.227029655259461,8.272993977822832,1.5357596175215664,3.6525637047968833,0.8472587753660213,17,24.4,6.5,1.9212911076243964,8.0,0.011596608359113978
SOLUSD,H4,ok,crypto,847,16,1606,200,1069.46648831764,2.100653947180225,6.737828953437097,1.5749365442490213,3.263189225340584,2.2757383627565497,21,24.2,6.5,1.7426156661144916,8.0,0.025486858527944425
XAU_AUD,H4,ok,commodity,1598,34,3001,200,1053.6272402178463,1.688081768464358,7.444027251734858,1.4290401883434518,3.691263156856366,0.8308558169625154,36,5.1,0.13999999999999999,0.9751875712335176,2.0,0.02868910703656447
USD_CHF,H4,ok,forex,1618,34,3014,200,1006.7691137959916,2.232125385802005,6.977796360275555,1.143161954507228,2.1293469644313725,1.920140753118375,35,4.3,0.5,0.7569545196500347,1.5,0.02424405360902127
GRTUSD,H4,ok,crypto,823,16,1606,200,985.5429507089062,1.280341665766044,7.433932487094906,1.6196805103103586,4.840921837121592,1.9088918898422078,13,27.3,6.5,4.847701381594136,8.0,0.007755728209048587
NZD_USD,H4,ok,forex,1639,34,3014,200,983.6655126737285,2.4013103108604534,7.528312816031567,1.310002970542432,3.677027917509059,0.6756324861860282,21,4.9,0.5,1.3918853086500278,1.5,0.01628954883824585
PFE,H4,ok,equity,474,8,932,200,983.6115083357431,2.0474017039211305,7.6774933730379695,0.7438346499870518,2.8770143057617457,1.9993549578485483,32,19.3,0.4,13.932427725530877,2.5,0.017451676778061566
FETUSD,H4,ok,crypto,863,16,1606,200,876.1621255096003,2.081631073092576,6.441428584997173,1.4113179551349342,2.5134505342544373,1.6606563946151727,12,25.4,6.5,2.9027576197400435,8.0,0.015069353660839448
US500.cash,H4,ok,index,1630,34,2988,200,547.2668659486213,1.5711314615265484,7.49856505316956,1.125764299260151,1.1356335356508116,1.961631327201667,35,4.0,0.0,1.046691147608667,1.5,0.025442182022820434
ALGUSD,H4,ok,crypto,821,16,1606,200,526.0685005259279,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,38.0,6.5,15.548069448043261,8.0,0.0064520903042049865
US2000.cash,H4,ok,index,1509,34,2987,200,430.9070060642971,1.757254273298671,7.917668955032806,1.413224118145994,2.3935339115175056,1.273183831644661,19,7.3,0.0,4.292572719571975,1.5,0.023639117031205352
TSLA,H4,ok,equity,436,8,932,200,94.33658410832385,1.450217160703888,7.847793434588296,0.370670875755273,3.2633451548122485,0.8111708125186339,35,10.9,0.4,5.459654757124338,2.5,0.022389264462975855
AAPL,H4,ok,equity,487,8,932,200,44.028656546229165,1.5815051934120505,4.938736810312931,0.4514099042694031,3.9924922230859705,1.5873717606155557,28,9.6,0.4,4.245710867090478,2.5,0.025447465779222134
GER40.cash,H4,ok,index,1594,33,2942,200,30.580095783006648,0.9172211656861468,7.578643649540419,1.2405952007415046,3.999004661018044,1.746364823389085,35,3.7,0.0,0.6510143715328602,1.5,0.02961619600504931
SPN35.cash,H4,ok,index,1128,21,1953,200,30.066939211704906,1.5952675887337107,5.624327761050486,1.4773755805870692,3.4367807993963626,1.8011671104391542,30,7.4,0.0,4.410105927352602,1.5,0.0164358725279996
BAC,H4,ok,equity,537,8,932,200,19.02516998286497,1.4427967181927384,7.68159235345026,0.42520773940128564,1.845921077974568,1.7958232588497185,36,24.4,0.4,18.96094046264722,2.5,0.0156461809308437
US100.cash,H4,ok,index,1643,34,2988,200,17.7770781215564,0.5649720365022285,7.07399413924019,0.4090501313827088,1.25451138351875,1.1408696313523603,24,3.6,0.0,0.617091902983242,1.5,0.02709512221453296
