symbol,status,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,error
AAPL,ok,0,H1,0.0032913640091422783,80,1846,cuda,equity,0.0032913640091422783,0.4,4.245710867090478,2.5,332,4,0.0010987149608908437,0.40174584484154974,0.7753907434241301,0.017652253052896,0.0056540088045225045,0.6133456000945932,0.08678380181608175,0.7847628973906707,
AAVUSD,ok,0,H1,0.000020084985193606945,80,3376,cuda,crypto,0.000020084985193606945,6.5,0.6320113762041969,8.0,728,6,0.026239097015503633,0.820066757744752,0.6909774029854209,0.0271345703021398,0.33749485739247365,1.000367911793865,0.11633030470022267,0.6122094170899901,
ADAUSD,killed_negative_ev,0,H1,-0.003981019951265127,40,8650,cuda,crypto,-0.003981019951265127,6.5,39.25104757863509,8.0,,,,,,,,,,,
AIRF,killed_negative_ev,0,H1,-0.003494555026392205,40,2483,cuda,equity,-0.003494555026392205,0.4,50.82592121982216,2.5,,,,,,,,,,,
ALGUSD,killed_negative_ev,0,H1,-0.0017100051502307876,40,3417,cuda,crypto,-0.0017100051502307876,6.5,15.548069448043261,8.0,,,,,,,,,,,
ALVG,killed_negative_ev,0,H1,-0.00018002692024223112,40,2480,cuda,equity,-0.00018002692024223112,0.4,4.975981320931483,2.5,,,,,,,,,,,
AMZN,ok,0,H1,0.0021255778649082045,80,1862,cuda,equity,0.0021255778649082045,0.4,4.884872438218071,2.5,512,7,0.08336325136111936,0.6496310044490493,0.4328233913289885,0.0007616278094227916,0.00013560215813961828,0.6272363305377228,0.1266428051995801,0.4460151339534334,
AUDNZD,killed_negative_ev,0,H1,-0.0012743337141538187,40,6448,cuda,forex,-0.0012743337141538187,3.0,1.0823486966708575,5.0,,,,,,,,,,,
AUD_CAD,killed_negative_ev,0,H1,-0.0002811908440850954,40,6300,cuda,forex,-0.0002811908440850954,0.5,1.2668067831751302,1.5,,,,,,,,,,,
AUD_CHF,killed_negative_ev,0,H1,-0.00024267477839180532,40,6357,cuda,forex,-0.00024267477839180532,0.5,1.600697192555593,1.5,,,,,,,,,,,
AUD_JPY,killed_negative_ev,0,H1,-0.00014749894157357196,40,6468,cuda,forex,-0.00014749894157357196,0.5,1.235152438396819,1.5,,,,,,,,,,,
AUD_NZD,killed_negative_ev,0,H1,-0.00032433371415381876,40,6448,cuda,forex,-0.00032433371415381876,0.5,1.0823486966708575,1.5,,,,,,,,,,,
AUD_USD,killed_negative_ev,0,H1,-0.0001472404672706935,40,6404,cuda,forex,-0.0001472404672706935,0.5,0.640717603716803,1.5,,,,,,,,,,,
AUS200.cash,killed_negative_ev,0,H1,-0.0000896907742514363,40,5883,cuda,index,-0.0000896907742514363,0.0,1.5653974905465313,1.5,,,,,,,,,,,
AVAUSD,killed_negative_ev,0,H1,-0.0011642060900363162,40,3397,cuda,crypto,-0.0011642060900363162,6.5,9.892827699917936,8.0,,,,,,,,,,,
BABA,ok,0,H1,0.0034240058532530545,80,1848,cuda,equity,0.0034240058532530545,0.4,7.91870133298169,2.5,914,6,1.9773262075275246,0.4383763088687215,0.40582783834522806,0.03680857262792296,0.0000741077970279322,0.6478063938212956,0.2969997072966514,0.9505748321418257,
BAC,killed_negative_ev,0,H1,-0.000999350615606988,40,1893,cuda,equity,-0.000999350615606988,0.4,18.96094046264722,2.5,,,,,,,,,,,
BARUSD,killed_negative_ev,0,H1,-0.0006435711959521476,40,3446,cuda,crypto,-0.0006435711959521476,6.5,4.890573419733265,8.0,,,,,,,,,,,
BAYGn,ok,0,H1,0.00038671337347655145,80,2311,cuda,equity,0.00038671337347655145,0.4,14.886490509861982,2.5,588,8,0.002667818222741728,0.553565975639054,0.9097824372574865,0.03379848269381092,0.000045376933712062455,0.3079487187290637,0.19819675786532978,0.44893846040181673,
BCHUSD,killed_negative_ev,0,H1,-0.00202753132423349,40,8463,cuda,crypto,-0.00202753132423349,6.5,17.049580601366117,8.0,,,,,,,,,,,
BNBUSD,killed_negative_ev,0,H1,-0.0008879125032303584,40,3349,cuda,crypto,-0.0008879125032303584,6.5,0.2932236025519174,8.0,,,,,,,,,,,
BTCUSD,killed_negative_ev,0,H1,-0.001188328483110454,40,8351,cuda,crypto,-0.001188328483110454,6.5,0.36974192536747785,8.0,,,,,,,,,,,
CADCHF,killed_negative_ev,0,H1,-0.0012813089042448748,40,6221,cuda,index,-0.0012813089042448748,3.0,1.9439809489868458,5.0,,,,,,,,,,,
CAD_CHF,killed_negative_ev,0,H1,-0.0003313089042448749,40,6221,cuda,index,-0.0003313089042448749,0.5,1.9439809489868458,1.5,,,,,,,,,,,
