symbol,status,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel
AAPL,ok,0,H4,0.006515780764251651,80,541,cuda,equity,0.006515780764251651,0.4,4.245710867090478,2.5,1605,5,0.0024086533597593427,0.8968446898233765,0.4827694900105323,0.00022053424507672032,0.30490150037326746,1.1793963718651834,0.04557878318278264,0.9572110780170151
AAVUSD,ok,0,H4,0.008599228837509491,80,835,cuda,crypto,0.008599228837509491,6.5,0.6320113762041969,8.0,1575,6,0.5393473732727926,0.6349130410101587,0.503726695819712,0.0019759670840033094,0.0013415649165239958,1.1441880158745599,0.017960397618922333,0.7370120918011015
ADAUSD,killed_negative_ev,0,H4,-0.0018212584686751842,40,2151,cuda,crypto,-0.0018212584686751842,6.5,39.25104757863509,8.0,,,,,,,,,,
AIRF,killed_negative_ev,0,H4,-0.001602649668861176,40,825,cuda,equity,-0.001602649668861176,0.4,50.82592121982216,2.5,,,,,,,,,,
ALGUSD,ok,0,H4,0.00035684526629927116,80,821,cuda,crypto,0.00035684526629927116,6.5,15.548069448043261,8.0,1264,4,4.160400031130832,0.43801366336077163,0.8751269754922316,0.009461160290769524,0.09341144868137642,2.0197601363905653,0.006266698853881013,0.41230947520103833
ALVG,ok,0,H4,0.0009993787880882312,80,842,cuda,equity,0.0009993787880882312,0.4,4.975981320931483,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
AMZN,ok,0,H4,0.009202467428319561,80,530,cuda,equity,0.009202467428319561,0.4,4.884872438218071,2.5,884,2,0.025080918522820628,0.820164471783429,0.6127350522630283,0.00630298000081899,0.045980957701499466,0.3091682285945405,0.08744612704062624,0.7567199139223525
AUDNZD,killed_negative_ev,0,H4,-0.001149823290628706,40,1632,cuda,forex,-0.001149823290628706,3.0,1.0823486966708575,5.0,,,,,,,,,,
AUD_CAD,killed_negative_ev,0,H4,-0.0000856178002504086,40,1581,cuda,forex,-0.0000856178002504086,0.5,1.2668067831751302,1.5,,,,,,,,,,
AUD_CHF,ok,0,H4,1.9537886959062e-6,80,1582,cuda,forex,1.9537886959062e-6,0.5,1.600697192555593,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
AUD_JPY,ok,0,H4,0.00039664046076399914,80,1631,cuda,forex,0.00039664046076399914,0.5,1.235152438396819,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
AUD_NZD,killed_negative_ev,0,H4,-0.00019982329062870593,40,1632,cuda,forex,-0.00019982329062870593,0.5,1.0823486966708575,1.5,,,,,,,,,,
AUD_USD,ok,0,H4,0.00020197820117703004,80,1633,cuda,forex,0.00020197820117703004,0.5,0.640717603716803,1.5,1446,4,1.3751068413926437,0.7693963178886665,0.48581025224334007,0.00009614487780312032,0.00002449629343316355,14.553179565665339,0.1734451662584154,0.7207805082202461
AUS200.cash,ok,0,H4,0.0005291470630250285,80,1477,cuda,index,0.0005291470630250285,0.0,1.5653974905465313,1.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
AVAUSD,ok,0,H4,0.00956107052089695,80,835,cuda,crypto,0.00956107052089695,6.5,9.892827699917936,8.0,1211,6,2.1561187032278877,0.5805767361209886,0.5347382756573821,0.0010350469575147396,0.0014544285778406918,1.2705756982554752,0.03473960753764963,0.9524757828418433
BABA,insufficient_rows,,,,,499,,equity,,,,,,,,,,,,,,
BAC,ok,0,H4,0.004331299308734435,80,536,cuda,equity,0.004331299308734435,0.4,18.96094046264722,2.5,460,4,0.014363863629624005,0.50554651441816,0.3227902598677838,0.00001676961120946485,0.00020116121253029544,0.30212964225113,0.05313003934566401,0.8135663021539594
