symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,n_features,htf_enabled,error
AAPL,insufficient_rows,3397,equity,,,,,,,,,,,,,,,,,,,,,,
AAVUSD,killed_negative_ev,6724,crypto,0,M30,-0.000887182616158676,40,cuda,-0.000887182616158676,6.5,0.6320113762041969,8.0,,,,,,,,,,,,,
ADAUSD,killed_negative_ev,17047,crypto,0,M30,-0.004599549561677547,40,cuda,-0.004599549561677547,6.5,39.25104757863509,8.0,,,,,,,,,,,,,
AIRF,killed_negative_ev,4541,equity,0,M30,-0.0041705021400987394,40,cuda,-0.0041705021400987394,0.4,50.82592121982216,2.5,,,,,,,,,,,,,
ALGUSD,killed_negative_ev,6740,crypto,0,M30,-0.0024875554126915795,40,cuda,-0.0024875554126915795,6.5,15.548069448043261,8.0,,,,,,,,,,,,,
ALVG,killed_negative_ev,4575,equity,0,M30,-0.00044514066977799913,40,cuda,-0.00044514066977799913,0.4,4.975981320931483,2.5,,,,,,,,,,,,,
AMZN,insufficient_rows,3381,equity,,,,,,,,,,,,,,,,,,,,,,
AUDNZD,killed_negative_ev,12847,forex,0,M30,-0.001310105030698216,40,cuda,-0.001310105030698216,3.0,1.0823486966708575,5.0,,,,,,,,,,,,,
AUD_CAD,killed_negative_ev,12653,forex,0,M30,-0.00033392622681831566,40,cuda,-0.00033392622681831566,0.5,1.2668067831751302,1.5,,,,,,,,,,,,,
AUD_CHF,killed_negative_ev,12633,forex,0,M30,-0.00031820352465399096,40,cuda,-0.00031820352465399096,0.5,1.600697192555593,1.5,,,,,,,,,,,,,
AUD_JPY,killed_negative_ev,12531,forex,0,M30,-0.00023814280084248813,40,cuda,-0.00023814280084248813,0.5,1.235152438396819,1.5,,,,,,,,,,,,,
AUD_NZD,killed_negative_ev,12847,forex,0,M30,-0.000360105030698216,40,cuda,-0.000360105030698216,0.5,1.0823486966708575,1.5,,,,,,,,,,,,,
AUD_USD,killed_negative_ev,12642,forex,0,M30,-0.00022311649994999295,40,cuda,-0.00022311649994999295,0.5,0.640717603716803,1.5,,,,,,,,,,,,,
AUS200.cash,killed_negative_ev,11624,index,0,M30,-0.00019306165676503034,40,cuda,-0.00019306165676503034,0.0,1.5653974905465313,1.5,,,,,,,,,,,,,
AVAUSD,killed_negative_ev,6689,crypto,0,M30,-0.0018934179321078884,40,cuda,-0.0018934179321078884,6.5,9.892827699917936,8.0,,,,,,,,,,,,,
BABA,insufficient_rows,3439,equity,,,,,,,,,,,,,,,,,,,,,,
BAC,insufficient_rows,3404,equity,,,,,,,,,,,,,,,,,,,,,,
BARUSD,killed_negative_ev,6836,crypto,0,M30,-0.001376067491946512,40,cuda,-0.001376067491946512,6.5,4.890573419733265,8.0,,,,,,,,,,,,,
BAYGn,killed_negative_ev,4320,equity,0,M30,-0.0010746707979457193,40,cuda,-0.0010746707979457193,0.4,14.886490509861982,2.5,,,,,,,,,,,,,
BCHUSD,killed_negative_ev,16804,crypto,0,M30,-0.0026314648984648386,40,cuda,-0.0026314648984648386,6.5,17.049580601366117,8.0,,,,,,,,,,,,,
BNBUSD,killed_negative_ev,6757,crypto,0,M30,-0.0013256948925585846,40,cuda,-0.0013256948925585846,6.5,0.2932236025519174,8.0,,,,,,,,,,,,,
BTCUSD,killed_negative_ev,16780,crypto,0,M30,-0.001522659839399164,40,cuda,-0.001522659839399164,6.5,0.36974192536747785,8.0,,,,,,,,,,,,,
CADCHF,killed_negative_ev,12349,index,0,M30,-0.001342013591122946,40,cuda,-0.001342013591122946,3.0,1.9439809489868458,5.0,,,,,,,,,,,,,
CAD_CHF,killed_negative_ev,12349,index,0,M30,-0.00039201359112294576,40,cuda,-0.00039201359112294576,0.5,1.9439809489868458,1.5,,,,,,,,,,,,,
CAD_JPY,killed_negative_ev,12541,forex,0,M30,-0.00028290480089176794,40,cuda,-0.00028290480089176794,0.5,1.3967846018466021,1.5,,,,,,,,,,,,,
CHF_JPY,killed_negative_ev,12772,forex,0,M30,-0.0003044221454219436,40,cuda,-0.0003044221454219436,0.5,1.129288696712014,1.5,,,,,,,,,,,,,
COCOA.c,killed_negative_ev,4668,commodity,0,M30,-0.001076165841254664,40,cuda,-0.001076165841254664,0.0,19.182529142687837,4.0,,,,,,,,,,,,,
COFFEE.c,killed_negative_ev,5015,commodity,0,M30,-0.0003903242129742874,40,cuda,-0.0003903242129742874,0.0,8.618367896579402,4.0,,,,,,,,,,,,,
CORN.c,killed_negative_ev,9078,commodity,0,M30,-0.0024191564644268806,40,cuda,-0.0024191564644268806,0.0,20.381673657222915,4.0,,,,,,,,,,,,,
COTTON.c,insufficient_rows,3953,commodity,,,,,,,,,,,,,,,,,,,,,,
DASHUSD,killed_negative_ev,17069,crypto,0,M30,-0.0014207557641330046,40,cuda,-0.0014207557641330046,6.5,9.131030284581959,8.0,,,,,,,,,,,,,
DBKGn,killed_negative_ev,4399,equity,0,M30,-0.0006427940384466255,40,cuda,-0.0006427940384466255,0.4,10.480349344978563,2.5,,,,,,,,,,,,,
DOGEUSD,killed_negative_ev,16900,crypto,0,M30,-0.003164201692017373,40,cuda,-0.003164201692017373,6.5,25.193029928387073,8.0,,,,,,,,,,,,,
DOTUSD,killed_negative_ev,17046,crypto,0,M30,-0.0043149390622680295,40,cuda,-0.0043149390622680295,6.5,35.26093088857627,8.0,,,,,,,,,,,,,
DXY.cash,killed_negative_ev,6173,forex,0,M30,-0.0007661569499136105,40,cuda,-0.0007661569499136105,0.13999999999999999,2.7395453369373723,3.0,,,,,,,,,,,,,
ETCUSD,killed_negative_ev,6781,crypto,0,M30,-0.0014994459236377863,40,cuda,-0.0014994459236377863,6.5,3.954913980620486,8.0,,,,,,,,,,,,,
ETHUSD,killed_negative_ev,16658,crypto,0,M30,-0.002341731731243897,40,cuda,-0.002341731731243897,6.5,12.383220370031541,8.0,,,,,,,,,,,,,
EU50.cash,killed_negative_ev,9415,index,0,M30,-0.00023846901538689244,40,cuda,-0.00023846901538689244,0.0,3.062474479379339,1.5,,,,,,,,,,,,,
EUR_AUD,killed_negative_ev,12503,forex,0,M30,-0.000292554533429994,40,cuda,-0.000292554533429994,0.5,0.9578894877276074,1.5,,,,,,,,,,,,,
EUR_CAD,killed_negative_ev,12414,forex,0,M30,-0.0003255644635530971,40,cuda,-0.0003255644635530971,0.5,1.0203491634828765,1.5,,,,,,,,,,,,,
EUR_CHF,killed_negative_ev,12323,forex,0,M30,-0.00033263885076819646,40,cuda,-0.00033263885076819646,0.5,0.9617491010321119,1.5,,,,,,,,,,,,,
EUR_CZK,killed_negative_ev,10800,forex,0,M30,-0.0012494538303208936,40,cuda,-0.0012494538303208936,0.5,6.709345559251877,3.0,,,,,,,,,,,,,
EUR_GBP,killed_negative_ev,11959,forex,0,M30,-0.0003341106811065794,40,cuda,-0.0003341106811065794,0.5,0.8214950035502021,1.5,,,,,,,,,,,,,
EUR_HUF,killed_negative_ev,10972,forex,0,M30,-0.0010931303056063361,40,cuda,-0.0010931303056063361,0.5,5.593052521785947,3.0,,,,,,,,,,,,,
EUR_JPY,killed_negative_ev,12559,forex,0,M30,-0.0002558600132454852,40,cuda,-0.0002558600132454852,0.5,0.8469814991000176,1.5,,,,,,,,,,,,,
EUR_NOK,killed_negative_ev,11835,forex,0,M30,-0.0009581461149672514,40,cuda,-0.0009581461149672514,0.5,4.599265323348458,3.0,,,,,,,,,,,,,
