symbol,status,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,timeframe_run
AAPL,killed_negative_ev,0,M15,-0.00024392594982994317,200,6442,cuda,equity,-0.00024392594982994317,0.4,4.245710867090478,2.5,,,,,,,,,,,M15
AAVUSD,killed_negative_ev,0,M15,-0.001302601813056274,200,13421,cuda,crypto,-0.001302601813056274,6.5,0.6320113762041969,8.0,,,,,,,,,,,M15
ADAUSD,killed_negative_ev,0,M15,-0.005109745566025446,200,33703,cuda,crypto,-0.005109745566025446,6.5,39.25104757863509,8.0,,,,,,,,,,,M15
AIRF,killed_negative_ev,0,M15,-0.004583010175567519,200,8791,cuda,equity,-0.004583010175567519,0.4,50.82592121982216,2.5,,,,,,,,,,,M15
ALGUSD,killed_negative_ev,0,M15,-0.0027899832988603156,200,13520,cuda,crypto,-0.0027899832988603156,6.5,15.548069448043261,8.0,,,,,,,,,,,M15
ALVG,killed_negative_ev,0,M15,-0.0006297102581354613,200,8943,cuda,equity,-0.0006297102581354613,0.4,4.975981320931483,2.5,,,,,,,,,,,M15
AMZN,ok,0,M15,0.0008698173285667524,800,6394,cuda,equity,0.0008698173285667524,0.4,4.884872438218071,2.5,1436,3,0.002289368437766826,0.4001935370469422,0.929854928912267,0.00017350453733535828,0.00037547400875169917,0.5067289793369653,0.2984823785357605,0.6273565594049586,M15
AUDNZD,killed_negative_ev,0,M15,-0.0013399380290708112,200,25177,cuda,forex,-0.0013399380290708112,3.0,1.0823486966708575,5.0,,,,,,,,,,,M15
AUD_CAD,killed_negative_ev,0,M15,-0.00037907783844590766,200,24916,cuda,forex,-0.00037907783844590766,0.5,1.2668067831751302,1.5,,,,,,,,,,,M15
AUD_CHF,killed_negative_ev,0,M15,-0.00038056808539285497,200,25220,cuda,forex,-0.00038056808539285497,0.5,1.600697192555593,1.5,,,,,,,,,,,M15
AUD_JPY,killed_negative_ev,0,M15,-0.00031568161937472946,200,25185,cuda,forex,-0.00031568161937472946,0.5,1.235152438396819,1.5,,,,,,,,,,,M15
AUD_NZD,killed_negative_ev,0,M15,-0.0003899380290708114,200,25177,cuda,forex,-0.0003899380290708114,0.5,1.0823486966708575,1.5,,,,,,,,,,,M15
AUD_USD,killed_negative_ev,0,M15,-0.00028401838303804326,200,25096,cuda,forex,-0.00028401838303804326,0.5,0.640717603716803,1.5,,,,,,,,,,,M15
AUS200.cash,killed_negative_ev,0,M15,-0.0002768024169882322,200,22660,cuda,index,-0.0002768024169882322,0.0,1.5653974905465313,1.5,,,,,,,,,,,M15
AVAUSD,killed_negative_ev,0,M15,-0.002276592847545531,200,13335,cuda,crypto,-0.002276592847545531,6.5,9.892827699917936,8.0,,,,,,,,,,,M15
BABA,ok,0,M15,0.00016986360799647104,800,6288,cuda,equity,0.00016986360799647104,0.4,7.91870133298169,2.5,1900,2,0.001953146664495908,0.4204280801019121,0.35479607015359327,0.000016474659008098697,0.005978882165074191,0.3006008895457539,0.18766400732613236,0.9451423239837551,M15
BAC,killed_negative_ev,0,M15,-0.001755870407574866,200,6584,cuda,equity,-0.001755870407574866,0.4,18.96094046264722,2.5,,,,,,,,,,,M15
BARUSD,killed_negative_ev,0,M15,-0.001725263090696638,200,13456,cuda,crypto,-0.001725263090696638,6.5,4.890573419733265,8.0,,,,,,,,,,,M15
BAYGn,killed_negative_ev,0,M15,-0.001242120979298939,200,8634,cuda,equity,-0.001242120979298939,0.4,14.886490509861982,2.5,,,,,,,,,,,M15
BCHUSD,killed_negative_ev,0,M15,-0.0030184861881635185,200,32991,cuda,crypto,-0.0030184861881635185,6.5,17.049580601366117,8.0,,,,,,,,,,,M15
BNBUSD,killed_negative_ev,0,M15,-0.0016642965316556312,200,13391,cuda,crypto,-0.0016642965316556312,6.5,0.2932236025519174,8.0,,,,,,,,,,,M15
BTCUSD,killed_negative_ev,0,M15,-0.0017521046855140878,200,33467,cuda,crypto,-0.0017521046855140878,6.5,0.36974192536747785,8.0,,,,,,,,,,,M15
CADCHF,killed_negative_ev,0,M15,-0.001390641854901259,200,24806,cuda,index,-0.001390641854901259,3.0,1.9439809489868458,5.0,,,,,,,,,,,M15
CAD_CHF,killed_negative_ev,0,M15,-0.0004406418549012591,200,24806,cuda,index,-0.0004406418549012591,0.5,1.9439809489868458,1.5,,,,,,,,,,,M15
CAD_JPY,killed_negative_ev,0,M15,-0.00035043348792023984,200,25301,cuda,forex,-0.00035043348792023984,0.5,1.3967846018466021,1.5,,,,,,,,,,,M15
CHF_JPY,killed_negative_ev,0,M15,-0.00035078639006830227,200,25111,cuda,forex,-0.00035078639006830227,0.5,1.129288696712014,1.5,,,,,,,,,,,M15
COCOA.c,killed_negative_ev,0,M15,-0.00144279007988651,200,9023,cuda,commodity,-0.00144279007988651,0.0,19.182529142687837,4.0,,,,,,,,,,,M15
COFFEE.c,killed_negative_ev,0,M15,-0.0007870429584443174,200,9830,cuda,commodity,-0.0007870429584443174,0.0,8.618367896579402,4.0,,,,,,,,,,,M15
CORN.c,killed_negative_ev,0,M15,-0.0025452315928098275,200,17806,cuda,commodity,-0.0025452315928098275,0.0,20.381673657222915,4.0,,,,,,,,,,,M15
COTTON.c,killed_negative_ev,0,M15,-0.006806323107620546,200,7911,cuda,commodity,-0.006806323107620546,0.0,62.36215681800845,4.0,,,,,,,,,,,M15
