symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel
AAPL,insufficient_rows,1846,equity,,,,,,,,,,,,,,,,,,,
AAVUSD,ok,3376,crypto,0,H1,0.00034861092430714787,600,cuda,0.00034861092430714787,6.5,0.6320113762041969,8.0,950,10,1.9825518484179538,0.5722337675242952,0.4244115840866669,0.00430917153267369,0.021538055688698408,1.209294633276834,0.2997131783356267,0.6425388579624185
ADAUSD,killed_negative_ev,8650,crypto,0,H1,-0.0038721415583317493,200,cuda,-0.0038721415583317493,6.5,39.25104757863509,8.0,,,,,,,,,,
AIRF,insufficient_rows,2483,equity,,,,,,,,,,,,,,,,,,,
ALGUSD,killed_negative_ev,3417,crypto,0,H1,-0.001955115083472167,200,cuda,-0.001955115083472167,6.5,15.548069448043261,8.0,,,,,,,,,,
ALVG,insufficient_rows,2480,equity,,,,,,,,,,,,,,,,,,,
AMZN,insufficient_rows,1862,equity,,,,,,,,,,,,,,,,,,,
AUDNZD,killed_negative_ev,6448,forex,0,H1,-0.0012769373921126476,200,cuda,-0.0012769373921126476,3.0,1.0823486966708575,5.0,,,,,,,,,,
AUD_CAD,killed_negative_ev,6300,forex,0,H1,-0.0002750435410128215,200,cuda,-0.0002750435410128215,0.5,1.2668067831751302,1.5,,,,,,,,,,
AUD_CHF,killed_negative_ev,6357,forex,0,H1,-0.00023958325967126325,200,cuda,-0.00023958325967126325,0.5,1.600697192555593,1.5,,,,,,,,,,
AUD_JPY,killed_negative_ev,6468,forex,0,H1,-0.00015155275933063472,200,cuda,-0.00015155275933063472,0.5,1.235152438396819,1.5,,,,,,,,,,
AUD_NZD,killed_negative_ev,6448,forex,0,H1,-0.00032693739211264765,200,cuda,-0.00032693739211264765,0.5,1.0823486966708575,1.5,,,,,,,,,,
AUD_USD,killed_negative_ev,6404,forex,0,H1,-0.0001360022702572515,200,cuda,-0.0001360022702572515,0.5,0.640717603716803,1.5,,,,,,,,,,
AUS200.cash,killed_negative_ev,5883,index,0,H1,-0.00007870475599691909,200,cuda,-0.00007870475599691909,0.0,1.5653974905465313,1.5,,,,,,,,,,
AVAUSD,killed_negative_ev,3397,crypto,0,H1,-0.0014212499970394225,200,cuda,-0.0014212499970394225,6.5,9.892827699917936,8.0,,,,,,,,,,
BABA,insufficient_rows,1848,equity,,,,,,,,,,,,,,,,,,,
BAC,insufficient_rows,1893,equity,,,,,,,,,,,,,,,,,,,
BARUSD,killed_negative_ev,3446,crypto,0,H1,-0.0007319791444078961,200,cuda,-0.0007319791444078961,6.5,4.890573419733265,8.0,,,,,,,,,,
BAYGn,insufficient_rows,2311,equity,,,,,,,,,,,,,,,,,,,
BCHUSD,killed_negative_ev,8463,crypto,0,H1,-0.002050065181376141,200,cuda,-0.002050065181376141,6.5,17.049580601366117,8.0,,,,,,,,,,
BNBUSD,killed_negative_ev,3349,crypto,0,H1,-0.0011694758656769463,200,cuda,-0.0011694758656769463,6.5,0.2932236025519174,8.0,,,,,,,,,,
BTCUSD,killed_negative_ev,8351,crypto,0,H1,-0.0011898327757574373,200,cuda,-0.0011898327757574373,6.5,0.36974192536747785,8.0,,,,,,,,,,
CADCHF,killed_negative_ev,6221,index,0,H1,-0.0012750326734205103,200,cuda,-0.0012750326734205103,3.0,1.9439809489868458,5.0,,,,,,,,,,
CAD_CHF,killed_negative_ev,6221,index,0,H1,-0.00032338228687913307,200,cuda,-0.00032338228687913307,0.5,1.9439809489868458,1.5,,,,,,,,,,
CAD_JPY,killed_negative_ev,6386,forex,0,H1,-0.00020545380857195922,200,cuda,-0.00020545380857195922,0.5,1.3967846018466021,1.5,,,,,,,,,,
CHF_JPY,killed_negative_ev,6518,forex,0,H1,-0.00023906978718814636,200,cuda,-0.00023906978718814636,0.5,1.129288696712014,1.5,,,,,,,,,,
COCOA.c,insufficient_rows,2552,commodity,,,,,,,,,,,,,,,,,,,
COFFEE.c,insufficient_rows,2604,commodity,,,,,,,,,,,,,,,,,,,
CORN.c,killed_negative_ev,4896,commodity,0,H1,-0.00219415789020062,200,cuda,-0.00219415789020062,0.0,20.381673657222915,4.0,,,,,,,,,,
COTTON.c,insufficient_rows,2048,commodity,,,,,,,,,,,,,,,,,,,
DASHUSD,killed_negative_ev,8572,crypto,0,H1,-0.0005933894033081523,200,cuda,-0.0005933894033081523,6.5,9.131030284581959,8.0,,,,,,,,,,
DBKGn,insufficient_rows,2391,equity,,,,,,,,,,,,,,,,,,,
