symbol,timeframe,best_ev,calmar_score,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,spread_bps,cluster
FETUSD,H4,0.02926047623357914,0.02926047623357914,2.0,9.0,1.0,3.0,1.2,40,50,crypto
BABA,H4,0.023217882170797444,0.023217882170797444,1.2,7.0,0.7,3.0,1.0,30,10,equity
AMZN,H4,0.012495907234471592,0.012495907234471592,1.2,7.0,0.7,3.0,1.0,30,10,equity
GOOG,H4,0.007228888341223057,0.007228888341223057,1.2,7.0,0.7,3.0,1.0,30,10,equity
ETCUSD,H4,0.006677444675973506,0.006677444675973506,2.0,9.0,1.0,3.0,1.2,40,50,crypto
BARUSD,H4,0.005876901442172435,0.005876901442172435,2.0,9.0,1.0,3.0,1.2,40,50,crypto
DOGEUSD,H4,0.005441960839138727,0.005441960839138727,2.0,9.0,1.0,3.0,1.2,40,50,crypto
AAVUSD,H4,0.004915727849090999,0.004915727849090999,2.0,9.0,1.0,3.0,1.2,40,50,crypto
GALUSD,H4,0.004607063588436542,0.004607063588436542,2.0,9.0,1.0,3.0,1.2,40,50,crypto
DASHUSD,H4,0.004163138078557444,0.004163138078557444,2.0,9.0,1.0,3.0,1.2,40,50,crypto
HK50.cash,H4,0.00403596251360052,0.00403596251360052,1.2,7.0,0.7,3.0,1.0,30,10,equity
GRTUSD,H4,0.003677225942925894,0.003677225942925894,1.2,7.0,0.7,3.0,1.0,30,10,equity
AAPL,H4,0.003659381606000164,0.003659381606000164,1.2,7.0,0.7,3.0,1.0,30,10,equity
BAYGn,H4,0.002835685342837444,0.002835685342837444,1.2,7.0,0.7,3.0,1.0,30,10,equity
AVAUSD,H4,0.0023833511957236575,0.0023833511957236575,2.0,9.0,1.0,3.0,1.2,40,50,crypto
BCHUSD,H4,0.0023092866077538883,0.0023092866077538883,2.0,9.0,1.0,3.0,1.2,40,50,crypto
DBKGn,H4,0.00230184058053436,0.00230184058053436,1.2,7.0,0.7,3.0,1.0,30,10,equity
COFFEE.c,H4,0.002174496902482452,0.002174496902482452,1.2,7.5,1.0,2.0,1.0,20,5,commodity
ALVG,H4,0.001916471589764166,0.001916471589764166,1.2,7.0,0.7,3.0,1.0,30,10,equity
ALGUSD,H4,0.0018635523728894742,0.0018635523728894742,2.0,9.0,1.0,3.0,1.2,40,50,crypto
FRA40.cash,H4,0.0014508975914418968,0.0014508975914418968,1.0,7.0,1.0,3.5,1.5,25,5,index
GER40.cash,H4,0.0011147223915972217,0.0011147223915972217,1.2,7.0,0.7,3.0,1.0,30,10,equity
COCOA.c,H4,0.0011000732091830784,0.0011000732091830784,1.2,7.5,1.0,2.0,1.0,20,5,commodity
BNBUSD,H4,0.0010996142843302126,0.0010996142843302126,2.0,9.0,1.0,3.0,1.2,40,50,crypto
AUS200.cash,H4,0.0010626299803650934,0.0010626299803650934,1.0,7.0,1.0,3.5,1.5,25,5,index
EU50.cash,H4,0.00079367863441819,0.00079367863441819,1.0,7.0,1.0,3.5,1.5,25,5,index
