symbol,status,error,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled,account_id
AAPL,ok,,0,H4,0.0036626293246681363,446,4,1.0003689470717851,0.5853321033103743,0.9239580218724532,15.795813833741951,0.00009452244417982912,0.3829537242510605,0.007169389050162639,0.8789547529183723,150,5364,cuda,equity,0.0036626293246681363,0.4,4.304469474135437,2.5,39,false,ftmo_100k
AAVE_USD,ok,,0,H4,0.009744422084696057,1931,8,2.251767818370245,0.5324860987452392,0.3203179437426065,0.15064160069318483,0.00017667536094991899,2.525365209818267,0.2596346985441071,0.6724703484300161,150,493,cuda,index,0.009744422084696057,3.0,5.141279524363123,3.0,39,false,ftmo_100k
AAVUSD,error,Should not reach.,,,,,,,,,,,,,,,,,,,,,,,,ftmo_100k
ADAUSD,error,"An exception is raised during the commit. This typically happens due to invalid data in the commit, e.g. exceeding max length. ",,,,,,,,,,,,,,,,,,,,,,,,ftmo_100k
ADA_USD,ok,,0,H4,0.008663922196049228,1219,9,0.07912561836652117,0.8797637464523755,0.650865129202431,0.00006334738198677277,0.00002178579463050236,1.1089905935330189,0.14259481940123922,0.9329597131508698,150,549,cuda,index,0.008663922196049228,3.0,4.305705059204166,3.0,39,false,ftmo_100k
AIRF,ok,,0,H4,0.0008932934753088614,1838,9,0.13827322090515207,0.4178179898981765,0.381808119819153,0.0014862329699635035,0.0005753507445738214,0.5480467120548485,0.2116831382028116,0.8141078243001387,150,2670,cuda,equity,0.0008932934753088614,0.4,50.06257822277852,2.5,39,false,ftmo_100k
ALGO_USD,ok,,0,H4,0.00900783264932493,1682,3,0.13820928071128372,0.6854648884355721,0.7080005693352001,0.038273694567438135,0.00010663535137869772,0.7114540024294127,0.16379924058729012,0.8847688767086879,150,551,cuda,index,0.00900783264932493,3.0,9.362958694948972,3.0,39,false,ftmo_100k
ALGUSD,ok,,0,H4,0.0012313856607424583,1287,4,0.16793583835578255,0.43610350249051266,0.37543139357092487,0.11986952734170378,0.012843099157365307,97.10817288960085,0.010764950736158787,0.37334768627054865,150,5380,cuda,crypto,0.0012313856607424583,6.5,15.678076822576152,8.0,39,false,ftmo_100k
ALVG,ok,,0,H4,0.0018927516210549907,1776,2,2.4494642461992684,0.582685886265086,0.3242212195634835,0.00336900031462448,0.000020144641452693895,0.43427833635387114,0.2868837575727782,0.6851203415545245,150,2538,cuda,equity,0.0018927516210549907,0.4,4.979793530098847,2.5,39,false,ftmo_100k
AMZN,ok,,0,H4,0.009216840278334837,479,9,0.04941693871752264,0.714549802596414,0.6878182457432267,0.05115549707932944,0.00019148337434018005,0.5252005853726642,0.23715306821962306,0.574378499930383,150,1820,cuda,equity,0.009216840278334837,0.4,4.9946647898828616,2.5,39,false,ftmo_100k
