symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel
AAVUSD,ok,3376,crypto,0,H1,0.00034861092430714787,600,cuda,0.00034861092430714787,6.5,0.6320113762041969,8.0,950,10,1.9825518484179538,0.5722337675242952,0.4244115840866669,0.00430917153267369,0.021538055688698408,1.209294633276834,0.2997131783356267,0.6425388579624185
FETUSD,ok,3411,crypto,0,H1,0.0011548226778546806,600,cuda,0.0011548226778546806,6.5,2.9027576197400435,8.0,244,4,6.155174894687531,0.45549974717769015,0.8822198529087955,2.4490170403362743,0.06137465034259207,1.623399960665061,0.00539495653497741,0.6386611074715423
FRA40.cash,ok,4677,index,0,H1,0.00019961493750405494,600,cuda,0.00019961493750405494,0.0,1.9992239037647894,1.5,367,6,0.8655995526971911,0.6791436468292434,0.3035461226201264,0.0010214304638469158,0.004172089644510174,2.25818240249247,0.22756674798604593,0.9378938167356884
GER40.cash,ok,6018,index,0,H1,0.00017503970218670731,600,cuda,0.00017503970218670731,0.0,0.6510143715328602,1.5,1471,9,0.08882711331927728,0.8138292721543596,0.8998485368916977,0.1010067104516752,0.00012363793948381915,2.062240208954156,0.00896428961029745,0.999559998265821
HK50.cash,ok,4908,index,0,H1,0.0008736971990047787,600,cuda,0.0008736971990047787,0.0,2.636512772439653,1.5,1016,5,0.00535204492159893,0.40359222393464,0.4990921715186015,0.00015165541047978384,0.8277045579827372,1.394555385480354,0.2592357685074586,0.7746469581576311
ICPUSD,ok,3430,crypto,0,H1,0.0008473790605362378,600,cuda,0.0008473790605362378,6.5,5.96006754743243,8.0,1403,3,0.807278047614567,0.48084416489673293,0.6759090650884393,0.2394569258515159,0.042063568908457354,28.9153937533084,0.014640416174428045,0.6716656203982748
JP225.cash,ok,6107,index,0,H1,0.0007036094362026698,600,cuda,0.0007036094362026698,0.0,1.312811763171032,1.5,979,4,0.0019304842047247052,0.47157933140456876,0.7658498180142241,0.00005457144981259235,0.04113422754167843,1.3911061950552648,0.20050109178215517,0.30203690739865957
UNIUSD,ok,3304,crypto,0,H1,0.00010053647136326495,600,cuda,0.00010053647136326495,6.5,2.9615492193031243,8.0,784,4,0.018171142820640446,0.48533018878117584,0.8495147310456351,0.0018967022000316515,0.013175220012095121,7.698635033073985,0.29969850480201926,0.46100056544890583
US100.cash,ok,5867,index,0,H1,0.0005076777492072817,600,cuda,0.0005076777492072817,0.0,0.617091902983242,1.5,1680,3,0.002461763826697017,0.4651616049617395,0.9195919363691994,0.00009477587895986079,0.006642620495556193,2.5331701550578773,0.29968639834134664,0.4997434403363864
US30.cash,ok,5778,index,0,H1,0.00043187561434868154,600,cuda,0.00043187561434868154,0.0,0.4632369971955916,1.5,222,5,0.007037337252912444,0.4000150003791005,0.6049190086942657,0.00005925479550428978,0.00010929979214444817,0.5522884990985409,0.2995731761158838,0.5346569619921875
US500.cash,ok,5914,index,0,H1,0.000017478624854428325,600,cuda,0.000017478624854428325,0.0,1.046691147608667,1.5,717,6,0.010924663481672887,0.8591864745599842,0.32028289543593225,27.222496064994402,25.537269251969292,10.432744324946144,0.00860843547230575,0.640483446494845
XAU_AUD,ok,6111,commodity,0,H1,2.0956891263243965e-6,600,cuda,2.0956891263243965e-6,0.13999999999999999,0.9751875712335176,2.0,1538,8,0.2819823636988802,0.5536110242339152,0.9316651781402263,0.3116178568218545,1.232161465806269,3.042326589140708,0.04686243658959345,0.7033415347296379
XAU_USD,ok,6160,commodity,0,H1,0.000013719813717882159,600,cuda,0.000013719813717882159,0.13999999999999999,0.7966611047918627,2.0,1420,8,1.893905581947843,0.6430425543058833,0.7610687897184184,0.306358523682215,0.1492704592652147,3.3191955704693523,0.21509676392399457,0.9510735837405531
AAPL,ok,3397,equity,0,M30,0.0011348392821423,600,cuda,0.0011348392821423,0.4,4.245710867090478,2.5,449,9,0.002538625196397839,0.45361026919160374,0.8850652399032894,0.00013065976798895402,0.000021779072697667594,0.3010708580400611,0.2681193244035134,0.37533924991408246
PFE,ok,1817,equity,0,H1,0.00121797,80,cuda,0.00121797,0.4,13.93,2.5,590,3,0.0129,0.6448,0.8432,0.03844,0.02888,0.3065,0.2227,0.5371
RACE,ok,534,equity,0,H4,0.00129833,80,cuda,0.00129833,0.4,20.97,2.5,1446,4,2.0218,0.7293,0.4014,0.0001024,0.0000245,14.503,0.1734,0.7208
NVDA,ok,1805,equity,0,H1,0.006689,1000,cuda,0.006689,0.4,5.569,2.5,1654,2,0.00194,0.8017,0.9139,0.000678,0.01039,0.3549,0.2989,0.8703
LVMH,ok,2389,equity,0,H1,0.004114,1000,cuda,0.004114,0.4,2.43,2.5,1875,2,2.2646,0.4286,0.417,0.00742,0.00979,2.9346,0.2992,0.452
ALVG,ok,842,equity,0,H4,0.0009993787880882312,80,cuda,0.0009993787880882312,0.4,4.975981320931483,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
AMZN,ok,530,equity,0,H4,0.009202467428319561,80,cuda,0.009202467428319561,0.4,4.884872438218071,2.5,884,2,0.025080918522820628,0.820164471783429,0.6127350522630283,0.00630298000081899,0.045980957701499466,0.3091682285945405,0.08744612704062624,0.7567199139223525
DBKGn,ok,798,equity,0,H4,0.002248611755437537,80,cuda,0.002248611755437537,0.4,10.480349344978563,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
EU50.cash,ok,1244,index,0,H4,0.0027679504176005344,80,cuda,0.0027679504176005344,0.0,3.062474479379339,1.5,1925,6,0.0010004097608905058,0.4171802472733884,0.6315705063365544,0.0011044135138182844,0.03334724618780317,0.5495514441240407,0.17348150041353444,0.8278170072710564
GOOG,ok,1834,equity,0,H1,0.001380493540260716,80,cuda,0.001380493540260716,0.4,5.047045675762874,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
TSLA,ok,1774,equity,0,H1,0.0042003015261804074,80,cuda,0.0042003015261804074,0.4,5.459654757124338,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
UKOIL.cash,ok,1650,commodity,0,H4,0.0015583415342645907,80,cuda,0.0015583415342645907,0.0,2.6754063273354323,3.0,835,9,0.011595775319449976,0.8034536304045165,0.5112486684705171,39.89474724763889,0.00012245951829177785,12.601468465732621,0.015785595273335753,0.9916877011893601
USOIL.cash,ok,1667,commodity,0,H4,0.0019284108390472108,80,cuda,0.0019284108390472108,0.0,3.8984148542171044,3.0,482,7,0.060390872934967525,0.8485861263541994,0.5356481441560185,0.0001804765813625184,0.0013528272062142462,1.2254912642562268,0.11169210065552063,0.8676197560682788
V,ok,1769,equity,0,H1,0.0001256359250880437,80,cuda,0.0001256359250880437,0.4,5.518594597909276,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461
SOLUSD,ok,846,crypto,0,H4,0.004782861984842347,80,cuda,0.004782861984842347,6.5,1.7426156661144916,8.0,1135,6,1.1690537331538409,0.6160309108567705,0.8892735188262837,0.0011273715108922507,0.1040675628833948,1.180035642972507,0.019227681864772188,0.6723311865152884
