symbol,timeframe,best_ev,calmar_score,trials,cluster,fee_bps,spread_bps,slippage_bps,updated
AAPL,H1,0.000457,0.000457,30,equity,0.4,4.3,2.5,2026-02-23 12:47
AAPL,H4,0.005517,0.005517,30,equity,0.4,4.3,2.5,2026-02-21 16:05
AAPL,M30,0.000273,0.000273,30,equity,0.4,4.2,2.5,2026-02-18 17:12
AAVE_USD,H4,0.009291,0.009291,30,index,3.0,5.1,3.0,2026-02-24 12:52
AAVUSD,H1,0.000069,0.000069,30,crypto,6.5,0.7,8.0,2026-02-23 12:47
AAVUSD,H4,0.012066,0.012066,30,crypto,6.5,0.7,8.0,2026-02-21 16:05
ADA_USD,H4,0.008569,0.008569,30,index,3.0,4.3,3.0,2026-02-24 12:52
ALGO_USD,H4,0.005552,0.005552,30,index,3.0,9.4,3.0,2026-02-24 12:52
ALGUSD,H4,0.004827,0.004827,30,crypto,6.5,15.7,8.0,2026-02-21 16:05
ALVG,H4,0.000623,0.000623,30,equity,0.4,5.0,2.5,2026-02-21 16:05
AMZN,H1,0.002115,0.002115,30,equity,0.4,5.0,2.5,2026-02-23 12:47
AMZN,H4,0.004377,0.004377,30,equity,0.4,5.0,2.5,2026-02-24 12:52
AMZN,M30,0.001165,0.001165,30,equity,0.4,5.0,2.5,2026-02-22 12:24
AUD_JPY,H4,0.000136,0.000136,30,forex,0.5,1.2,1.5,2026-02-24 12:52
AUD_USD,H4,0.000065,0.000065,30,forex,0.5,0.6,1.5,2026-02-21 16:05
AUS200.cash,H4,0.000419,0.000419,30,index,0.0,1.6,1.5,2026-02-21 16:05
AVAUSD,H4,0.006611,0.006611,30,crypto,6.5,10.1,8.0,2026-02-21 16:05
BABA,H1,0.003008,0.003008,30,equity,0.4,8.1,2.5,2026-02-23 12:47
BABA,H4,0.008442,0.008442,30,equity,0.4,8.1,2.5,2026-02-24 12:52
BABA,M30,0.000770,0.000770,30,equity,0.4,8.1,2.5,2026-02-22 12:24
BARUSD,H4,0.007506,0.007506,30,crypto,6.5,5.0,8.0,2026-02-21 16:05
BAYGn,H1,0.001231,0.001231,30,equity,0.4,14.6,2.5,2026-02-23 12:47
BAYGn,H4,0.004282,0.004282,30,equity,0.4,14.6,2.5,2026-02-24 12:52
BCHUSD,H4,0.001091,0.001091,30,crypto,6.5,16.9,8.0,2026-02-21 16:05
BNBUSD,H4,0.003076,0.003076,30,crypto,6.5,0.3,8.0,2026-02-24 12:52
BNB_USD,H4,0.006586,0.006586,30,index,3.0,2.3,3.0,2026-02-24 12:52
BTCUSD,H4,0.000156,0.000156,30,crypto,6.5,0.3,8.0,2026-02-21 16:05
BTC_USD,H4,0.005384,0.005384,30,index,3.0,2.0,3.0,2026-02-24 12:52
CAD_JPY,H4,0.000235,0.000235,30,forex,0.5,1.4,1.5,2026-02-24 12:52
COCOA.c,H4,0.001454,0.001454,30,commodity,0.0,19.3,4.0,2026-02-24 12:52
COFFEE.c,H4,0.002081,0.002081,30,commodity,0.0,8.7,4.0,2026-02-21 16:05
DASHUSD,H4,0.017994,0.017994,30,crypto,6.5,8.9,8.0,2026-02-21 16:05
DASH_USD,H4,0.044953,0.044953,30,index,3.0,22.2,3.0,2026-02-24 12:52
DBKGn,H4,0.001557,0.001557,30,equity,0.4,9.9,2.5,2026-02-24 12:52
DOTUSD,H4,0.000291,0.000291,30,crypto,6.5,35.1,8.0,2026-02-21 16:05
DOT_USD,H4,0.006816,0.006816,30,index,3.0,9.4,3.0,2026-02-24 12:52
ETCUSD,H4,0.009568,0.009568,30,crypto,6.5,4.0,8.0,2026-02-24 12:52
ETHUSD,H4,0.002101,0.002101,30,crypto,6.5,12.1,8.0,2026-02-21 16:05
ETH_USD,H4,0.006601,0.006601,30,index,3.0,3.2,3.0,2026-02-24 12:52
EU50.cash,H4,0.001290,0.001290,30,index,0.0,3.1,1.5,2026-02-24 12:52
EUR_USD,H4,0.000070,0.000070,30,forex,0.5,0.3,1.5,2026-02-21 16:05
FETUSD,H1,0.001155,0.001155,30,crypto,6.5,2.9,8.0,2026-02-19 12:55
FETUSD,H4,0.010764,0.010764,30,crypto,6.5,2.9,8.0,2026-02-21 16:05
FRA40.cash,H1,0.000161,0.000161,30,index,0.0,2.0,1.5,2026-02-19 12:55
FRA40.cash,H4,0.001608,0.001608,30,index,0.0,2.0,1.5,2026-02-21 16:05
GALUSD,H4,0.010206,0.010206,30,crypto,6.5,8.8,8.0,2026-02-24 12:52
GER40.cash,H1,0.000169,0.000169,30,index,0.0,0.6,1.5,2026-02-23 12:47
GER40.cash,H4,0.001264,0.001264,30,index,0.0,0.6,1.5,2026-02-24 12:52
GOOG,H1,0.001394,0.001394,30,equity,0.4,5.2,2.5,2026-02-21 15:32
GOOG,H4,0.012990,0.012990,30,equity,0.4,5.2,2.5,2026-02-21 16:05
GOOG,M30,0.000106,0.000106,30,equity,0.4,5.0,2.5,2026-02-18 17:12
GRTUSD,H4,0.013721,0.013721,30,crypto,6.5,4.9,8.0,2026-02-24 12:52
HK50.cash,H1,0.000631,0.000631,30,index,0.0,2.6,1.5,2026-02-19 12:55
HK50.cash,H4,0.002149,0.002149,30,index,0.0,2.6,1.5,2026-02-24 12:52
ICPUSD,H1,0.000847,0.000847,30,crypto,6.5,6.0,8.0,2026-02-23 12:47
ICPUSD,H4,0.008086,0.008086,30,crypto,6.5,6.0,8.0,2026-02-21 16:05
IMXUSD,H4,0.011926,0.011926,30,crypto,6.5,6.9,8.0,2026-02-21 16:05
JP225.cash,H1,0.000596,0.000596,30,index,0.0,1.3,1.5,2026-02-19 12:55
JP225.cash,H4,0.001727,0.001727,30,index,0.0,1.2,1.5,2026-02-21 16:05
JP225.cash,M30,0.000003,0.000003,30,index,0.0,1.3,1.5,2026-02-18 17:12
LINK_USD,H4,0.010883,0.010883,30,index,3.0,8.5,3.0,2026-02-24 12:52
LNKUSD,H4,0.009732,0.009732,30,crypto,6.5,2.0,8.0,2026-02-24 12:52
LTCUSD,H4,0.002074,0.002074,30,crypto,6.5,28.0,8.0,2026-02-24 12:52
LTC_USD,H4,0.012013,0.012013,30,index,3.0,4.4,3.0,2026-02-24 12:52
LVMH,H1,0.003294,0.003294,30,equity,0.4,2.4,2.5,2026-02-21 15:32
LVMH,H4,0.004300,0.004300,30,equity,0.4,2.4,2.5,2026-02-24 12:52
LVMH,M30,0.001666,0.001666,30,equity,0.4,2.4,2.5,2026-02-18 17:12
MANUSD,H4,0.015369,0.015369,30,crypto,6.5,11.9,8.0,2026-02-21 16:05
META,H1,0.003321,0.003321,30,equity,0.4,5.3,2.5,2026-02-23 12:47
META,H4,0.018755,0.018755,30,equity,0.4,5.3,2.5,2026-02-24 12:52
META,M30,0.001430,0.001430,30,equity,0.4,5.3,2.5,2026-02-22 12:24
MSFT,H1,0.000734,0.000734,30,equity,0.4,3.4,2.5,2026-02-21 15:32
MSFT,H4,0.002089,0.002089,30,equity,0.4,3.4,2.5,2026-02-24 12:52
MSFT,M30,0.000138,0.000138,30,equity,0.4,3.4,2.5,2026-02-18 17:12
N25.cash,H4,0.000021,0.000021,30,index,0.0,5.8,1.5,2026-02-24 12:52
NERUSD,H4,0.003616,0.003616,30,crypto,6.5,31.7,8.0,2026-02-21 16:05
NFLX,H4,0.003211,0.003211,30,equity,0.4,12.4,2.5,2026-02-24 12:52
NVDA,H1,0.001564,0.001564,30,equity,0.4,5.6,2.5,2026-02-23 12:47
NVDA,H4,0.006081,0.006081,30,equity,0.4,5.6,2.5,2026-02-24 12:52
NVDA,M30,0.001117,0.001117,30,equity,0.4,5.6,2.5,2026-02-18 17:12
NZD_JPY,H4,0.000046,0.000046,30,forex,0.5,1.5,1.5,2026-02-24 12:52
PFE,H4,0.001671,0.001671,30,equity,0.4,15.0,2.5,2026-02-21 16:05
RACE,H4,0.002782,0.002782,30,equity,0.4,21.1,2.5,2026-02-24 12:52
SANUSD,H4,0.022172,0.022172,30,crypto,6.5,11.2,8.0,2026-02-21 16:05
SOLUSD,H4,0.002355,0.002355,30,crypto,6.5,1.8,8.0,2026-02-21 16:05
SOL_USD,H4,0.011473,0.011473,30,index,3.0,3.6,3.0,2026-02-24 12:52
SPN35.cash,H4,0.000404,0.000404,30,index,0.0,4.4,1.5,2026-02-21 16:05
T,H4,0.000123,0.000123,30,equity,0.4,34.8,2.5,2026-02-24 12:52
TSLA,H1,0.003476,0.003476,30,equity,0.4,5.4,2.5,2026-02-23 12:47
TSLA,H4,0.008063,0.008063,30,equity,0.4,5.4,2.5,2026-02-21 16:05
TSLA,M30,0.003901,0.003901,30,equity,0.4,5.5,2.5,2026-02-18 17:12
UK100.cash,H4,0.000722,0.000722,30,index,0.0,1.3,1.5,2026-02-21 16:05
UKOIL.cash,H4,0.001255,0.001255,30,commodity,0.0,2.7,3.0,2026-02-24 12:52
UNIUSD,H1,0.000230,0.000230,30,crypto,6.5,3.0,8.0,2026-02-23 12:47
UNIUSD,H4,0.011210,0.011210,30,crypto,6.5,3.0,8.0,2026-02-21 16:05
UNI_USD,H4,0.016085,0.016085,30,index,3.0,5.0,3.0,2026-02-24 12:52
US100.cash,H1,0.000453,0.000453,30,index,0.0,0.6,1.5,2026-02-23 12:47
US100.cash,H4,0.001214,0.001214,30,index,0.0,0.6,1.5,2026-02-21 16:05
US100.cash,M30,0.000001,0.000001,30,index,0.0,0.6,1.5,2026-02-22 12:24
US2000.cash,H4,0.001280,0.001280,30,index,0.0,4.2,1.5,2026-02-24 12:52
US30.cash,H1,0.000274,0.000274,30,index,0.0,0.5,1.5,2026-02-19 12:55
US30.cash,H4,0.000731,0.000731,30,index,0.0,0.5,1.5,2026-02-24 12:52
US500.cash,H1,0.000017,0.000017,30,index,0.0,1.0,1.5,2026-02-23 12:47
US500.cash,H4,0.000629,0.000629,30,index,0.0,1.0,1.5,2026-02-24 12:52
USD_JPY,H4,0.000134,0.000134,30,forex,0.5,0.5,1.5,2026-02-21 16:05
USOIL.cash,H4,0.001722,0.001722,30,commodity,0.0,3.9,3.0,2026-02-24 12:52
V,H4,0.002551,0.002551,30,equity,0.4,5.6,2.5,2026-02-21 16:05
VECUSD,H4,0.008225,0.008225,30,crypto,6.5,8.9,8.0,2026-02-24 12:52
WMT,H4,0.002131,0.002131,30,equity,0.4,10.3,2.5,2026-02-21 16:05
