symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
NVDA,ok,equity,us_equity,H1,1.27,6.91,5.4,0.33,2.6,1.85,30,0.5,11.0,5.6,25588.09,4292.69,4.29,4.76,5.96,1.46,0.3944,36.9,217,7.5,8,3.4321,1.3795,43.3,5.5,19.4,30.4,1.4,true,true,100,117
LVMH,ok,equity,eu_equity,H1,1.05,6.29,6.0,1.14,1.95,1.33,36,0.5,7.8,2.4,32133.49,6291.05,6.29,3.79,5.11,1.31,0.1449,32.8,375,5.7,11,1.9867,0.7541,48.3,2.7,18.4,25.9,4.8,true,true,105,270
AAPL,ok,equity,us_equity,H4,1.58,4.94,3.1,0.45,3.99,1.59,28,0.5,9.7,4.3,23917.84,5023.98,5.02,3.91,4.76,2.02,0.556,33.3,75,5.9,8,4.2391,1.2855,53.3,2.7,13.3,24.0,6.7,true,true,32,43
GER40.cash,ok,index,eu_idx,H4,0.92,7.58,8.3,1.24,4.0,1.75,35,0.5,3.6,0.6,33133.58,9525.2,9.53,1.9,3.48,1.46,0.0775,27.2,272,7.5,34,1.5649,0.4784,45.2,3.7,26.1,18.8,6.2,true,true,29,243
US30.cash,ok,index,us_idx,H4,0.87,7.82,9.0,1.23,3.82,1.82,24,0.5,3.5,0.5,30129.26,9475.44,9.48,1.63,3.18,1.29,0.0787,26.2,344,5.1,35,1.2413,0.3332,48.5,2.0,23.5,22.1,3.8,true,true,26,318
TSLA,ok,equity,us_equity,H4,1.45,7.85,5.4,0.37,3.26,0.81,35,0.5,10.8,5.4,9309.19,3359.41,3.36,3.42,2.77,1.45,0.6017,42.2,90,4.1,8,5.7396,3.153,42.2,5.6,15.6,36.7,0.0,true,true,32,58
RACE,ok,equity,eu_equity,H4,0.87,6.92,8.0,0.44,3.72,0.39,13,0.5,26.5,21.1,5548.81,2820.0,2.82,2.04,1.97,1.33,0.4198,42.4,66,7.0,8,3.6406,1.9534,34.8,7.6,18.2,28.8,10.6,true,true,30,36
AMZN,ok,equity,us_equity,H4,0.51,6.26,12.3,0.54,1.0,0.56,17,0.5,10.4,5.0,4317.41,2799.25,2.8,2.18,1.54,1.38,0.3684,34.7,75,6.0,8,3.1984,1.1332,26.7,2.7,38.7,32.0,0.0,true,true,37,38
V,ok,equity,us_equity,H4,0.71,7.86,11.1,0.71,3.92,0.34,34,0.5,11.0,5.6,6329.77,4773.03,4.77,2.09,1.33,1.35,0.1604,29.9,67,5.2,8,2.7876,0.9576,43.3,7.5,26.9,20.9,1.5,true,true,23,44
GOOG,ok,equity,us_equity,H4,1.64,7.27,4.4,1.39,1.61,1.21,33,0.5,10.6,5.2,8008.36,6203.67,6.2,3.07,1.29,1.52,0.3594,36.8,68,6.5,8,3.9217,1.7116,38.2,1.5,25.0,35.3,0.0,true,true,25,43
