symbol,threshold,status,cluster,timeframe,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,expectancy_pct,avg_bars_held,n_folds
AAVUSD,0.53,ok,crypto,H4,121,19185.66,8194.21,8.19,2.15,2.34,1.41,41.3,0.4246,7.4,16
AMZN,0.75,ok,equity,H4,94,60841.94,4880.28,4.88,11.56,12.47,2.96,46.8,0.7917,2.3,8
AVAUSD,0.58,ok,crypto,H4,7,448.59,626.2,0.63,2.02,0.72,1.35,57.1,1.2136,7.3,16
FRA40.cash,0.58,ok,index,H4,290,18135.05,7136.9,7.14,1.59,2.54,1.25,16.2,0.0852,4.2,26
JP225.cash,0.56,ok,index,H4,205,8193.38,4024.54,4.02,1.0,2.04,1.21,34.6,0.1305,10.6,34
LNKUSD,0.65,ok,crypto,H4,3,4070.24,278.13,0.28,11.38,14.63,15.63,66.7,6.6013,14.0,16
LVMH,0.56,ok,equity,H1,321,47275.27,7915.05,7.92,5.49,5.97,1.54,36.8,0.2414,6.2,11
NERUSD,0.71,ok,crypto,H4,3,3611.4,0.0,0.0,17.06,3611.4,3611.4,100.0,7.8515,25.7,16
NVDA,0.51,ok,equity,H1,223,56622.66,7718.49,7.72,7.88,7.34,2.28,21.5,0.5124,6.0,7
NZD_USD,0.55,ok,forex,H4,94,9284.74,2697.21,2.7,1.95,3.44,1.48,36.2,0.137,12.0,34
