symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
AMZN,ok,equity,us_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,0.8,10.3,4.9,28972.02,6671.78,6.67,4.45,4.34,1.4,0.2198,36.5,203,7.2,7,2.322,0.9862,39.9,3.9,23.6,30.5,2.0,true,true,98,105
US100.cash,ok,index,us_idx,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,3.6,0.6,186135.63,46765.02,46.77,2.3,3.98,1.15,0.0141,28.1,1578,3.3,35,0.5451,0.1939,54.1,0.5,17.7,26.9,0.8,false,true,86,1492
LVMH,ok,equity,eu_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,0.8,7.8,2.4,38675.77,12736.52,12.74,3.3,3.04,1.24,0.1155,34.4,384,5.4,11,1.7882,0.7606,46.4,2.6,17.7,27.1,6.2,false,true,105,279
MSFT,ok,equity,us_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,8.8,3.4,35733.43,12296.58,12.3,3.98,2.91,1.38,0.1277,32.1,221,6.3,7,1.5432,0.5423,35.3,1.4,32.1,30.8,0.5,false,true,94,127
FRA40.cash,ok,index,eu_idx,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,5.0,2.0,111223.1,42074.93,42.07,1.99,2.64,1.19,0.0196,27.2,946,5.2,26,0.7122,0.2387,45.0,1.5,27.0,22.9,3.6,false,true,101,845
NVDA,ok,equity,us_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,0.8,11.0,5.6,20362.02,9755.49,9.76,3.06,2.09,1.28,0.2193,34.6,211,6.5,7,2.9409,1.2204,37.0,2.4,24.6,33.6,2.4,true,true,101,110
GRTUSD,ok,crypto,crypto,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,27.3,4.8,52291.89,25119.71,25.12,2.6,2.08,1.34,0.3539,35.6,337,13.8,18,4.1609,1.7513,34.4,4.5,26.7,20.2,14.2,false,true,93,244
BABA,ok,equity,us_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,13.3,7.9,43029.8,21606.83,21.61,3.29,1.99,1.28,0.1235,29.1,251,4.6,7,2.7633,0.959,49.0,4.0,21.9,25.1,0.0,false,true,99,152
GOOG,ok,equity,us_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,10.4,5.0,17043.05,10842.52,10.84,1.88,1.57,1.17,0.107,29.9,194,7.9,7,2.5653,0.9414,40.7,4.1,28.9,23.2,3.1,false,true,101,93
META,ok,equity,us_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,10.7,5.3,19063.06,13190.85,13.19,3.03,1.45,1.22,0.1681,32.9,258,4.6,7,2.1595,0.8103,27.5,1.9,37.2,29.5,3.9,false,true,103,155
HK50.cash,ok,index,apac_idx,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,5.6,2.6,58640.56,51154.29,51.15,1.13,1.15,1.08,0.0195,30.4,1050,4.6,27,0.8455,0.3409,55.8,0.8,13.5,28.7,1.2,false,true,90,960
XAG_AUD,ok,commodity,metals,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,8.3,4.1,63532.98,74464.99,74.46,1.07,0.85,1.1,0.0131,18.2,781,6.3,35,1.7385,0.3703,59.4,1.0,22.4,13.4,3.7,false,true,70,711
