symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
LVMH,ok,equity,eu_equity,M30,1.5,4.5,3.0,1.0,2.0,0.5,24,0.8,7.8,2.4,62922.43,8461.34,8.46,6.2,7.44,1.42,0.1339,37.3,453,7.4,6,1.3781,0.6065,34.2,4.2,27.2,30.2,4.2,true,true,254,199
NVDA,ok,equity,us_equity,M30,1.5,4.5,3.0,1.0,2.0,0.5,24,0.8,11.0,5.6,44340.84,10687.33,10.69,6.73,4.15,1.41,0.2345,43.3,314,6.4,4,1.8628,1.0095,33.4,4.5,18.8,40.1,3.2,false,true,245,69
TSLA,ok,equity,us_equity,M30,1.5,4.5,3.0,1.0,2.0,0.5,24,0.3,10.9,5.5,11990.07,3284.69,3.28,5.18,3.65,1.28,0.222,34.5,330,6.1,4,2.6938,1.0826,36.1,2.1,29.4,31.2,1.2,true,true,250,80
GOOG,ok,equity,us_equity,M30,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,10.4,5.0,33724.27,15462.59,15.46,3.84,2.18,1.21,0.1171,38.4,333,6.4,4,1.4628,0.7231,38.4,4.8,22.5,33.6,0.6,false,true,255,78
BABA,ok,equity,us_equity,M30,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,13.3,7.9,35312.99,16567.57,16.57,3.98,2.13,1.23,0.2186,36.0,300,7.1,4,2.1022,0.8409,39.0,6.3,24.0,27.3,3.3,false,true,242,58
META,ok,equity,us_equity,M30,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,10.7,5.3,19239.61,21550.12,21.55,1.81,0.89,1.12,0.0355,31.9,323,6.7,4,1.6034,0.6986,38.1,4.3,28.8,25.1,3.7,false,true,259,64
AMZN,ok,equity,us_equity,M30,1.5,4.5,3.0,1.0,2.0,0.5,24,0.8,10.3,4.9,2280.2,18822.44,18.82,0.31,0.12,1.02,0.0155,35.0,306,6.9,4,1.5189,0.7928,44.1,3.9,19.9,30.1,2.0,false,true,245,61
HK50.cash,ok,index,apac_idx,M30,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,5.6,2.6,6563.59,144297.54,144.3,0.06,0.05,1.0,0.0026,25.4,1990,4.6,19,0.6552,0.2193,54.4,1.3,20.0,23.1,1.3,false,true,242,1748
BAYGn,ok,equity,eu_equity,M30,1.5,4.5,3.0,1.0,2.0,0.5,24,1.0,20.3,14.9,-12283.76,68505.18,68.51,-0.8,-0.18,0.96,-0.0145,33.1,489,6.7,6,1.5423,0.7857,42.7,2.2,23.9,28.2,2.9,false,true,264,225
JP225.cash,ok,index,apac_idx,M30,1.5,6.0,4.0,0.8,2.5,1.0,30,0.8,4.3,1.3,-18048.99,69060.53,69.06,-0.24,-0.26,0.98,-0.0094,22.1,1926,6.7,25,0.7251,0.2174,49.1,1.3,28.2,18.0,3.3,false,true,233,1693
