symbol,timeframe,cluster,optuna_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon
TSLA,M30,equity,0.003901,1.5,4.5,1.0,2.0,0.5,24
LVMH,M30,equity,0.002187,1.5,4.5,1.0,2.0,0.5,24
META,M30,equity,0.00143,1.5,4.5,1.0,2.0,0.5,24
AMZN,M30,equity,0.001165,1.5,4.5,1.0,2.0,0.5,24
NVDA,M30,equity,0.001117,1.5,4.5,1.0,2.0,0.5,24
BABA,M30,equity,0.00077,1.5,4.5,1.0,2.0,0.5,24
AAPL,M30,equity,0.000273,1.5,4.5,1.0,2.0,0.5,24
MSFT,M30,equity,0.000138,1.5,4.5,1.0,2.0,0.5,24
GOOG,M30,equity,0.000106,1.5,4.5,1.0,2.0,0.5,24
JP225.cash,M30,index,3e-6,1.5,6.0,0.8,2.5,1.0,30
US100.cash,M30,index,1e-6,1.5,6.0,0.8,2.5,1.0,30
HK50.cash,M30,index,-0.000014,1.5,6.0,0.8,2.5,1.0,30
GER40.cash,M30,index,-0.000054,1.5,6.0,0.8,2.5,1.0,30
US30.cash,M30,index,-0.000082,1.5,6.0,0.8,2.5,1.0,30
FRA40.cash,M30,index,-0.000128,1.5,6.0,0.8,2.5,1.0,30
US500.cash,M30,index,-0.00013,1.5,6.0,0.8,2.5,1.0,30
XAU_USD,M30,commodity,-0.000151,1.5,6.0,0.8,2.5,1.0,30
XAU_AUD,M30,commodity,-0.000163,1.5,6.0,0.8,2.5,1.0,30
UK100.cash,M30,index,-0.000187,1.5,6.0,0.8,2.5,1.0,30
AUS200.cash,M30,index,-0.000193,1.5,6.0,0.8,2.5,1.0,30
USD_JPY,M30,forex,-0.000197,1.5,6.0,0.8,2.5,1.0,30
XAG_AUD,M30,commodity,-0.000201,1.5,6.0,0.8,2.5,1.0,30
AUD_USD,M30,forex,-0.000223,1.5,6.0,0.8,2.5,1.0,30
EUR_USD,M30,forex,-0.000228,1.5,6.0,0.8,2.5,1.0,30
XAG_EUR,M30,commodity,-0.000231,1.5,6.0,0.8,2.5,1.0,30
XAU_EUR,M30,commodity,-0.000237,1.5,6.0,0.8,2.5,1.0,30
AUD_JPY,M30,forex,-0.000238,1.5,6.0,0.8,2.5,1.0,30
EU50.cash,M30,index,-0.000238,1.5,6.0,0.8,2.5,1.0,30
GBP_JPY,M30,forex,-0.000252,1.5,6.0,0.8,2.5,1.0,30
EUR_JPY,M30,forex,-0.000256,1.5,6.0,0.8,2.5,1.0,30
GBP_USD,M30,forex,-0.000259,1.5,6.0,0.8,2.5,1.0,30
USD_CHF,M30,forex,-0.000267,1.5,6.0,0.8,2.5,1.0,30
UKOIL.cash,M30,commodity,-0.000274,1.5,6.0,0.8,2.5,1.0,30
CAD_JPY,M30,forex,-0.000283,1.5,6.0,0.8,2.5,1.0,30
USD_CAD,M30,forex,-0.000285,1.5,6.0,0.8,2.5,1.0,30
NZD_JPY,M30,forex,-0.000287,1.5,6.0,0.8,2.5,1.0,30
EUR_AUD,M30,forex,-0.000293,1.5,6.0,0.8,2.5,1.0,30
SPN35.cash,M30,index,-0.000299,1.5,6.0,0.8,2.5,1.0,30
CHF_JPY,M30,forex,-0.000304,1.5,6.0,0.8,2.5,1.0,30
GBP_NZD,M30,forex,-0.00031,1.5,6.0,0.8,2.5,1.0,30
US2000.cash,M30,index,-0.00031,1.5,6.0,0.8,2.5,1.0,30
XAG_USD,M30,commodity,-0.00031,1.5,6.0,0.8,2.5,1.0,30
GBP_AUD,M30,forex,-0.000317,1.5,6.0,0.8,2.5,1.0,30
AUD_CHF,M30,forex,-0.000318,1.5,6.0,0.8,2.5,1.0,30
GBP_CAD,M30,forex,-0.000322,1.5,6.0,0.8,2.5,1.0,30
EUR_NZD,M30,forex,-0.000324,1.5,6.0,0.8,2.5,1.0,30
EUR_CAD,M30,forex,-0.000326,1.5,6.0,0.8,2.5,1.0,30
EUR_CHF,M30,forex,-0.000333,1.5,6.0,0.8,2.5,1.0,30
AUD_CAD,M30,forex,-0.000334,1.5,6.0,0.8,2.5,1.0,30
EUR_GBP,M30,forex,-0.000334,1.5,6.0,0.8,2.5,1.0,30
GBP_CHF,M30,forex,-0.000335,1.5,6.0,0.8,2.5,1.0,30
AUD_NZD,M30,forex,-0.00036,1.5,6.0,0.8,2.5,1.0,30
NZD_CAD,M30,forex,-0.000377,1.5,6.0,0.8,2.5,1.0,30
USOIL.cash,M30,commodity,-0.000387,1.5,6.0,0.8,2.5,1.0,30
COFFEE.c,M30,commodity,-0.00039,1.5,6.0,0.8,2.5,1.0,30
CAD_CHF,M30,index,-0.000392,1.5,6.0,0.8,2.5,1.0,30
ALVG,M30,equity,-0.000445,1.5,4.5,1.0,2.0,0.5,24
DBKGn,M30,equity,-0.000643,1.5,4.5,1.0,2.0,0.5,24
XCU_USD,M30,commodity,-0.000671,1.5,6.0,0.8,2.5,1.0,30
FETUSD,M30,crypto,-0.000674,1.5,6.0,1.0,3.0,1.0,30
USD_HKD,M30,forex,-0.000686,1.5,6.0,0.8,2.5,1.0,30
USD_MXN,M30,forex,-0.000701,1.5,6.0,0.8,2.5,1.0,30
USD_CNH,M30,forex,-0.000702,1.5,6.0,0.8,2.5,1.0,30
DXY.cash,M30,forex,-0.000766,1.5,6.0,0.8,2.5,1.0,30
USD_SGD,M30,forex,-0.000801,1.5,6.0,0.8,2.5,1.0,30
AAVUSD,M30,crypto,-0.000887,1.5,6.0,1.0,3.0,1.0,30
USD_NOK,M30,forex,-0.000895,1.5,6.0,0.8,2.5,1.0,30
USD_PLN,M30,forex,-0.000957,1.5,6.0,0.8,2.5,1.0,30
EUR_NOK,M30,forex,-0.000958,1.5,6.0,0.8,2.5,1.0,30
USD_SEK,M30,forex,-0.000961,1.5,6.0,0.8,2.5,1.0,30
UNIUSD,M30,crypto,-0.000968,1.5,6.0,1.0,3.0,1.0,30
USD_HUF,M30,forex,-0.000972,1.5,6.0,0.8,2.5,1.0,30
USD_ZAR,M30,forex,-0.000978,1.5,6.0,0.8,2.5,1.0,30
USD_ILS,M30,forex,-0.001048,1.5,6.0,0.8,2.5,1.0,30
ICPUSD,M30,crypto,-0.00105,1.5,6.0,1.0,3.0,1.0,30
BAYGn,M30,equity,-0.001075,1.5,4.5,1.0,2.0,0.5,24
COCOA.c,M30,commodity,-0.001076,1.5,6.0,0.8,2.5,1.0,30
LNKUSD,M30,crypto,-0.001086,1.5,6.0,1.0,3.0,1.0,30
EUR_HUF,M30,forex,-0.001093,1.5,6.0,0.8,2.5,1.0,30
EUR_PLN,M30,forex,-0.001106,1.5,6.0,0.8,2.5,1.0,30
USD_CZK,M30,forex,-0.001109,1.5,6.0,0.8,2.5,1.0,30
SOLUSD,M30,crypto,-0.001134,1.5,6.0,1.0,3.0,1.0,30
IMXUSD,M30,crypto,-0.001135,1.5,6.0,1.0,3.0,1.0,30
GBPJPY,M30,forex,-0.001202,1.5,6.0,0.8,2.5,1.0,30
NZDUSD,M30,forex,-0.001244,1.5,6.0,0.8,2.5,1.0,30
EUR_CZK,M30,forex,-0.001249,1.5,6.0,0.8,2.5,1.0,30
AUDNZD,M30,forex,-0.00131,1.5,6.0,0.8,2.5,1.0,30
BNBUSD,M30,crypto,-0.001326,1.5,6.0,1.0,3.0,1.0,30
XLMUSD,M30,crypto,-0.001326,1.5,6.0,1.0,3.0,1.0,30
CADCHF,M30,index,-0.001342,1.5,6.0,0.8,2.5,1.0,30
USDCNH,M30,forex,-0.001352,1.5,6.0,0.8,2.5,1.0,30
GRTUSD,M30,crypto,-0.001355,1.5,6.0,1.0,3.0,1.0,30
N25.cash,M30,index,-0.001369,1.5,6.0,0.8,2.5,1.0,30
BARUSD,M30,crypto,-0.001376,1.5,6.0,1.0,3.0,1.0,30
DASHUSD,M30,crypto,-0.001421,1.5,6.0,1.0,3.0,1.0,30
ETCUSD,M30,crypto,-0.001499,1.5,6.0,1.0,3.0,1.0,30
BTCUSD,M30,crypto,-0.001523,1.5,6.0,1.0,3.0,1.0,30
GALUSD,M30,crypto,-0.001588,1.5,6.0,1.0,3.0,1.0,30
