symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
BCHUSD,ok,crypto,unknown,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,39.4,16.9,26010.31,16925.61,16.93,1.17,1.54,1.27,0.3997,23.8,281,11.0,50,8.85,2.2459,49.5,4.3,26.0,12.8,7.5,false,true,19,262
GRTUSD,ok,crypto,crypto,H1,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,27.4,4.9,19245.37,12566.73,12.57,1.88,1.53,1.23,0.2099,33.4,365,13.4,19,4.2376,1.8123,35.9,3.6,28.5,18.4,13.7,false,true,93,272
IMXUSD,ok,crypto,crypto,H1,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,29.4,6.9,7613.85,12838.69,12.84,0.64,0.59,1.06,-0.0539,28.8,468,9.5,19,4.4662,1.8864,41.0,3.8,27.1,15.2,12.8,false,true,96,372
ETCUSD,ok,crypto,crypto,H1,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,26.5,4.0,6895.06,14870.32,14.87,0.64,0.46,1.08,0.0151,30.3,360,13.8,19,3.5578,1.5233,34.7,6.4,31.9,15.6,11.4,false,true,92,268
FETUSD,ok,crypto,crypto,H1,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,25.4,2.9,-15.69,11905.13,11.91,-0.0,-0.0,1.0,0.0529,22.4,388,12.2,19,5.8751,1.6299,30.2,5.2,45.4,11.1,8.2,false,true,82,306
XLMUSD,ok,crypto,crypto,H1,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,25.7,3.2,-524.94,21803.35,21.8,-0.05,-0.02,0.99,0.0264,25.3,435,10.2,19,3.5396,1.1627,28.7,3.2,43.9,13.8,10.3,false,true,93,342
UNIUSD,ok,crypto,crypto,H1,2.03,9.19,4.5,1.11,1.95,0.86,36,0.5,25.5,3.0,-365.87,10401.08,10.4,-0.06,-0.04,1.0,0.1129,37.4,348,7.9,19,3.0896,1.6622,32.2,1.4,20.1,16.1,30.2,false,true,54,294
AAVUSD,ok,crypto,crypto,H1,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,23.2,0.7,-4725.88,17579.53,17.58,-0.48,-0.27,0.95,-0.0135,19.6,450,10.0,19,4.5616,1.1257,29.1,3.1,51.1,9.6,7.1,false,true,81,369
LTCUSD,ok,crypto,unknown,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,50.5,28.0,-5465.33,8990.67,8.99,-0.42,-0.61,0.91,0.0948,40.1,242,15.8,50,6.4591,4.1627,36.8,9.5,18.6,16.9,18.2,true,true,19,223
LNKUSD,ok,crypto,crypto,H1,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,24.5,2.0,-20785.14,30871.55,30.87,-2.23,-0.67,0.78,-0.2013,23.4,295,12.4,19,4.4745,1.6289,46.8,3.4,28.8,11.9,9.2,false,true,67,228
ETHUSD,ok,crypto,unknown,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,34.6,12.1,-14449.32,21013.11,21.01,-0.81,-0.69,0.87,-0.2718,28.5,386,7.9,50,4.7039,2.2548,43.0,1.3,27.5,19.9,8.3,false,true,19,367
ICPUSD,ok,crypto,crypto,H1,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,28.5,6.0,-24974.38,32765.96,32.77,-2.33,-0.76,0.76,-0.5035,20.5,352,12.8,19,5.509,2.0496,41.5,2.6,36.1,11.4,8.5,false,true,96,256
DOGEUSD,ok,crypto,unknown,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,46.9,24.4,-19333.56,24372.23,24.37,-1.14,-0.79,0.8,-0.2489,30.9,285,12.3,50,8.7289,4.2593,46.7,3.9,18.9,14.0,16.5,false,true,24,261
DASHUSD,ok,crypto,crypto,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,31.3,8.8,-16229.4,19661.82,19.66,-0.96,-0.83,0.83,-0.4884,25.5,310,11.5,50,9.5933,3.9363,48.4,4.2,23.9,14.2,9.4,false,true,24,286
BARUSD,ok,crypto,crypto,H1,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,27.5,5.0,-27751.37,29282.26,29.28,-2.65,-0.95,0.78,-0.2809,25.9,456,9.6,19,3.585,1.6306,38.6,1.8,27.4,13.6,18.6,false,true,90,366
BTCUSD,ok,crypto,unknown,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,22.7,0.2,-21246.3,21520.79,21.52,-1.17,-0.99,0.78,-0.2578,26.0,285,13.0,50,4.9944,2.0998,50.5,9.1,22.1,13.3,4.9,false,true,23,262
