symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
LVMH,ok,equity,eu_equity,H1,1.05,6.29,6.0,1.14,1.95,1.33,36,0.5,7.8,2.4,32133.49,6291.05,6.29,3.79,5.11,1.31,0.1449,32.8,375,5.7,11,1.9867,0.7541,48.3,2.7,18.4,25.9,4.8,true,true,105,270
TSLA,ok,equity,us_equity,H4,1.45,7.85,5.4,0.37,3.26,0.81,35,0.5,10.8,5.4,11806.18,2885.65,2.89,4.87,4.09,1.74,1.0217,48.2,85,4.4,8,5.5707,3.2172,35.3,7.1,16.5,41.2,0.0,true,true,32,53
GER40.cash,ok,index,eu_idx,H4,0.92,7.58,8.3,1.24,4.0,1.75,35,0.5,3.6,0.6,33133.58,9525.2,9.53,1.9,3.48,1.46,0.0775,27.2,272,7.5,34,1.5649,0.4784,45.2,3.7,26.1,18.8,6.2,true,true,29,243
US30.cash,ok,index,us_idx,H4,0.87,7.82,9.0,1.23,3.82,1.82,24,0.5,3.5,0.5,30129.26,9475.44,9.48,1.63,3.18,1.29,0.0787,26.2,344,5.1,35,1.2413,0.3332,48.5,2.0,23.5,22.1,3.8,true,true,26,318
AAPL,ok,equity,us_equity,H4,1.58,4.94,3.1,0.45,3.99,1.59,28,0.5,9.7,4.3,11416.61,4302.62,4.3,2.21,2.65,1.49,0.3326,32.9,73,6.2,8,3.8174,1.3742,52.1,2.7,15.1,24.7,5.5,true,true,32,41
RACE,ok,equity,eu_equity,H4,0.87,6.92,8.0,0.44,3.72,0.39,13,0.5,26.5,21.1,5548.81,2820.0,2.82,2.04,1.97,1.33,0.4198,42.4,66,7.0,8,3.6406,1.9534,34.8,7.6,18.2,28.8,10.6,true,true,30,36
NVDA,ok,equity,us_equity,H1,1.27,6.91,5.4,0.33,2.6,1.85,30,0.5,11.0,5.6,12099.35,6337.82,6.34,2.23,1.91,1.2,0.155,31.9,248,6.3,8,2.9618,1.1571,42.3,2.4,21.4,31.9,2.0,true,true,101,147
JP225.cash,ok,index,apac_idx,H4,2.31,7.42,3.2,1.4,3.53,1.87,18,0.5,4.2,1.2,14039.8,7473.22,7.47,1.35,1.88,1.24,0.0783,32.7,324,4.9,35,1.3456,0.5379,31.5,1.9,31.2,26.9,8.6,true,true,21,303
V,ok,equity,us_equity,H4,0.71,7.86,11.1,0.71,3.92,0.34,34,0.5,11.0,5.6,9526.18,6435.98,6.44,2.46,1.48,1.42,0.207,29.4,68,5.1,8,2.9723,0.9453,50.0,7.4,20.6,20.6,1.5,true,true,23,45
AMZN,ok,equity,us_equity,H4,0.51,6.26,12.3,0.54,1.0,0.56,17,0.5,10.4,5.0,4281.33,2983.49,2.98,2.13,1.44,1.36,0.3212,33.3,75,5.9,8,3.2928,1.1645,28.0,2.7,38.7,29.3,1.3,true,true,37,38
DBKGn,ok,equity,eu_equity,H4,0.58,7.08,12.2,0.65,2.98,1.04,26,0.5,15.4,10.0,10585.3,9979.52,9.98,1.41,1.06,1.3,0.1364,25.4,134,6.6,15,3.9584,1.1631,43.3,2.2,30.6,22.4,1.5,true,true,29,105
ALVG,ok,equity,eu_equity,H4,0.59,5.74,9.7,0.35,3.47,0.33,6,0.5,10.4,5.0,6056.54,7249.01,7.25,0.9,0.84,1.16,0.0641,21.6,153,5.0,15,2.5415,0.6172,43.8,2.6,34.0,17.6,2.0,true,true,36,117
PFE,ok,equity,us_equity,H4,2.05,7.68,3.7,0.74,2.88,2.0,32,0.5,20.4,15.0,3664.25,5918.83,5.92,1.05,0.62,1.19,0.1977,24.3,70,6.3,8,4.2539,1.1033,42.9,2.9,32.9,17.1,4.3,true,true,27,43
UKOIL.cash,ok,commodity,oil,H4,1.66,7.11,4.3,1.03,2.06,1.78,12,0.5,8.7,2.7,3922.07,6697.22,6.7,0.43,0.59,1.07,0.0362,27.7,318,6.0,35,1.924,0.6861,25.2,2.5,43.1,21.4,7.9,true,true,27,291
ICPUSD,ok,crypto,crypto,H4,1.21,9.79,8.1,1.62,4.79,2.29,31,0.5,28.5,6.0,2948.84,6668.34,6.67,0.45,0.44,1.1,-0.1511,25.4,122,8.4,18,8.2651,3.0181,40.2,4.1,31.1,18.9,5.7,true,true,21,101
UNIUSD,ok,crypto,crypto,H4,2.03,9.19,4.5,1.11,1.95,0.86,36,0.5,25.5,3.0,1797.01,4506.81,4.51,0.46,0.4,1.1,0.1723,32.7,110,10.7,18,7.2944,3.2925,29.1,1.8,35.5,29.1,4.5,true,true,22,88
USOIL.cash,ok,commodity,oil,H4,0.87,7.77,8.9,0.91,1.63,0.97,25,0.5,9.9,3.9,1133.03,2805.8,2.81,0.31,0.4,1.05,-0.0024,35.8,137,7.2,35,1.8598,1.0393,26.3,2.2,35.0,35.0,1.5,true,true,14,123
EU50.cash,ok,index,eu_idx,H4,0.74,3.98,5.4,0.34,2.89,1.33,8,0.5,6.1,3.1,1388.62,4827.4,4.83,0.34,0.29,1.04,0.0304,39.6,139,5.9,27,1.0405,0.631,38.8,1.4,18.7,35.3,5.8,true,true,15,124
