symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok
MSFT,ok,equity,us_equity,H1,1.65,4.61,2.8,0.99,1.01,0.3,36,1.0,8.8,3.4,56856.15,8407.16,8.41,8.75,6.76,1.63,0.264,66.7,240,5.0,7,0.9198,1.0477,32.1,1.7,0.8,65.0,0.4,true
PFE,ok,equity,us_equity,H4,0.52,6.56,12.5,1.2,3.73,1.6,35,1.0,19.3,13.9,55002.35,8689.78,8.69,4.67,6.33,2.46,0.6602,23.6,55,6.6,8,4.8519,0.6372,49.1,1.8,27.3,16.4,5.5,true
NZD_USD,ok,forex,forex,H4,2.21,7.8,3.5,1.42,4.0,1.82,33,1.0,4.9,1.4,27638.84,4505.99,4.51,2.59,6.13,1.87,0.272,33.3,87,15.3,34,1.6834,0.4338,28.7,3.4,34.5,19.5,13.8,true
NVDA,ok,equity,us_equity,H4,0.5,6.14,12.3,0.54,2.0,0.58,23,0.7,11.0,5.6,48972.66,9383.69,9.38,6.04,5.22,2.22,0.7289,18.9,111,2.9,8,6.8978,0.7106,45.0,0.9,36.0,18.0,0.0,true
LVMH,ok,equity,eu_equity,H1,0.99,7.32,7.4,0.93,2.86,0.41,30,0.39,7.8,2.4,41863.43,9026.52,9.03,5.46,4.64,1.52,0.2239,23.5,379,5.4,11,2.6947,0.5343,45.6,0.5,30.9,22.4,0.5,true
RACE,ok,equity,eu_equity,H4,0.87,7.82,9.0,1.16,3.54,1.33,16,1.0,26.4,21.0,28481.49,6535.72,6.54,4.07,4.36,1.86,0.6247,32.1,53,6.2,8,4.2249,1.0754,45.3,1.9,22.6,17.0,13.2,true
JP225.cash,ok,index,apac_idx,H4,0.5,7.99,16.0,0.63,3.03,1.71,35,0.29,4.3,1.3,29135.06,9066.26,9.07,2.02,3.21,1.45,0.0989,13.1,344,4.4,34,2.6143,0.2797,52.3,2.3,34.6,10.2,0.6,true
NERUSD,ok,crypto,crypto,H4,1.22,6.04,5.0,0.43,2.57,0.54,23,1.0,53.9,31.4,8992.57,8905.36,8.91,1.13,1.01,1.16,0.3022,22.3,139,4.5,16,7.6743,1.8138,28.8,0.7,48.9,20.1,1.4,true
FRA40.cash,ok,index,eu_idx,H4,2.05,8.0,3.9,0.93,3.12,1.74,36,0.35,5.0,2.0,2919.71,3703.61,3.7,0.67,0.79,1.14,0.0105,24.3,169,9.4,26,1.7409,0.5438,29.0,1.2,46.2,18.9,4.7,true
AVAUSD,ok,crypto,crypto,H4,0.86,5.9,6.8,1.18,5.0,0.84,22,1.0,32.4,9.9,6299.07,9506.41,9.51,1.35,0.66,1.24,0.3622,20.9,43,6.1,16,8.4976,1.7912,53.5,7.0,25.6,2.3,11.6,true
