symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok
MSFT,ok,equity,us_equity,H1,1.65,4.61,2.8,0.99,1.01,0.3,36,1.0,8.8,3.4,56856.15,8407.16,8.41,8.75,6.76,1.63,0.264,66.7,240,5.0,7,0.9198,1.0477,32.1,1.7,0.8,65.0,0.4,true
PFE,ok,equity,us_equity,H4,0.52,6.56,12.5,1.2,3.73,1.6,35,1.0,19.3,13.9,55002.35,8689.78,8.69,4.67,6.33,2.46,0.6602,23.6,55,6.6,8,4.8519,0.6372,49.1,1.8,27.3,16.4,5.5,true
NZD_USD,ok,forex,forex,H4,2.21,7.8,3.5,1.42,4.0,1.82,33,1.0,4.9,1.4,27638.84,4505.99,4.51,2.59,6.13,1.87,0.272,33.3,87,15.3,34,1.6834,0.4338,28.7,3.4,34.5,19.5,13.8,true
NVDA,ok,equity,us_equity,H4,0.5,6.14,12.3,0.54,2.0,0.58,23,0.7,11.0,5.6,48972.66,9383.69,9.38,6.04,5.22,2.22,0.7289,18.9,111,2.9,8,6.8978,0.7106,45.0,0.9,36.0,18.0,0.0,true
LVMH,ok,equity,eu_equity,H1,0.99,7.32,7.4,0.93,2.86,0.41,30,0.39,7.8,2.4,41863.43,9026.52,9.03,5.46,4.64,1.52,0.2239,23.5,379,5.4,11,2.6947,0.5343,45.6,0.5,30.9,22.4,0.5,true
AAPL,ok,equity,us_equity,H4,0.52,6.26,12.0,1.14,2.87,0.86,33,1.0,9.6,4.2,73784.53,16814.58,16.81,4.57,4.39,2.02,0.5856,20.7,92,4.3,8,5.5739,0.7127,63.0,1.1,16.3,19.6,0.0,false
RACE,ok,equity,eu_equity,H4,0.87,7.82,9.0,1.16,3.54,1.33,16,1.0,26.4,21.0,28481.49,6535.72,6.54,4.07,4.36,1.86,0.6247,32.1,53,6.2,8,4.2249,1.0754,45.3,1.9,22.6,17.0,13.2,true
AMZN,ok,equity,us_equity,H4,0.83,5.41,6.5,1.27,1.37,0.3,7,0.66,10.3,4.9,17875.17,4423.05,4.42,7.15,4.04,1.85,0.7003,44.8,58,2.6,8,3.1288,1.2728,51.7,0.0,3.4,37.9,6.9,true
JP225.cash,ok,index,apac_idx,H4,0.5,7.99,16.0,0.63,3.03,1.71,35,0.29,4.3,1.3,29135.06,9066.26,9.07,2.02,3.21,1.45,0.0989,13.1,344,4.4,34,2.6143,0.2797,52.3,2.3,34.6,10.2,0.6,true
BCHUSD,ok,crypto,unknown,H4,0.93,9.06,9.8,1.32,3.98,0.54,47,1.0,39.5,17.0,61932.61,26048.13,26.05,1.25,2.38,1.26,0.4673,21.7,313,9.3,48,9.5161,2.0442,55.9,0.0,22.4,18.2,3.5,false
V,ok,equity,us_equity,H4,0.5,6.68,13.3,0.92,3.06,1.55,35,1.0,10.9,5.5,36993.95,16212.55,16.21,2.73,2.28,1.59,0.2906,19.7,71,4.8,8,3.7136,0.5501,62.0,1.4,18.3,15.5,2.8,false
META,ok,equity,us_equity,H4,2.41,7.64,3.2,0.32,2.05,1.55,32,1.0,10.7,5.3,10486.74,5055.04,5.06,3.12,2.07,1.94,0.7401,24.7,73,5.6,8,5.3406,0.7655,11.0,2.7,64.4,20.5,1.4,true
BABA,ok,equity,us_equity,H1,1.43,7.19,5.0,0.53,1.36,0.52,13,1.0,13.3,7.9,29994.3,15036.01,15.04,4.12,1.99,1.27,0.2699,40.3,258,4.1,7,2.16,1.0065,33.7,0.0,26.0,38.0,2.3,false
TSLA,ok,equity,us_equity,H1,0.5,5.37,10.7,1.07,3.94,0.45,32,1.0,10.9,5.5,103486.86,51954.56,51.95,4.54,1.99,1.46,0.3386,13.1,290,4.3,7,7.4167,0.7287,65.2,2.1,21.7,10.7,0.3,false
US100.cash,ok,index,us_idx,H4,0.6,4.84,8.0,0.59,3.01,0.39,17,1.0,3.6,0.6,71150.51,41880.7,41.88,1.51,1.7,1.25,0.0586,13.0,430,3.4,34,2.1967,0.2616,54.7,1.4,32.3,9.5,2.1,false
ETCUSD,ok,crypto,crypto,H4,1.19,6.38,5.4,1.24,4.87,2.29,48,1.0,26.5,4.0,17252.22,14294.39,14.29,1.1,1.21,1.31,0.3401,14.6,103,11.1,16,11.5506,1.5707,42.7,7.8,42.7,1.9,4.9,false
NERUSD,ok,crypto,crypto,H4,1.22,6.04,5.0,0.43,2.57,0.54,23,1.0,53.9,31.4,8992.57,8905.36,8.91,1.13,1.01,1.16,0.3022,22.3,139,4.5,16,7.6743,1.8138,28.8,0.7,48.9,20.1,1.4,true
FRA40.cash,ok,index,eu_idx,H4,2.05,8.0,3.9,0.93,3.12,1.74,36,0.35,5.0,2.0,2919.71,3703.61,3.7,0.67,0.79,1.14,0.0105,24.3,169,9.4,26,1.7409,0.5438,29.0,1.2,46.2,18.9,4.7,true
AVAUSD,ok,crypto,crypto,H4,0.86,5.9,6.8,1.18,5.0,0.84,22,1.0,32.4,9.9,6299.07,9506.41,9.51,1.35,0.66,1.24,0.3622,20.9,43,6.1,16,8.4976,1.7912,53.5,7.0,25.6,2.3,11.6,true
HK50.cash,ok,index,apac_idx,H4,1.25,4.15,3.3,0.86,2.02,0.34,11,1.0,5.6,2.6,7949.0,21891.72,21.89,0.4,0.36,1.05,0.0297,32.2,338,4.1,30,1.5479,0.6929,43.5,0.0,23.4,27.5,5.6,false
SOLUSD,ok,crypto,crypto,H4,0.84,8.34,9.9,1.58,1.9,2.46,33,1.0,24.2,1.7,5281.1,23732.54,23.73,0.29,0.22,1.05,0.2654,22.7,128,7.8,16,7.1079,1.739,61.7,2.3,8.6,20.3,7.0,false
EU50.cash,ok,index,eu_idx,H4,1.34,7.57,5.6,0.35,3.08,2.0,36,1.0,6.1,3.1,2091.67,10895.3,10.9,0.25,0.19,1.05,-0.0176,17.2,134,6.2,26,1.5266,0.3375,27.6,2.2,55.2,14.9,0.0,false
VECUSD,ok,crypto,crypto,H4,1.76,8.71,4.9,0.42,4.64,2.44,30,1.0,31.3,8.8,1343.99,8011.07,8.01,0.17,0.17,1.04,-0.0358,11.8,136,6.8,16,9.0219,1.2435,17.6,1.5,70.6,3.7,6.6,true
GALUSD,ok,crypto,crypto,H4,0.93,9.06,9.8,1.32,3.98,0.54,47,1.0,31.2,8.7,3568.75,21737.8,21.74,0.24,0.16,1.05,-0.0332,14.4,111,7.6,16,12.5891,2.1591,58.6,0.0,27.0,12.6,1.8,false
XAG_AUD,ok,commodity,metals,H4,0.7,4.5,6.4,0.3,2.92,0.45,24,1.0,8.3,4.1,4257.9,29730.7,29.73,0.19,0.14,1.03,0.0279,12.3,308,3.4,34,3.3602,0.4411,40.6,1.0,47.1,10.7,0.6,false
USOIL.cash,ok,commodity,oil,H4,2.46,7.13,2.9,1.36,3.95,1.85,35,1.0,9.9,3.9,1448.28,12598.27,12.6,0.16,0.11,1.04,0.0334,27.0,100,13.6,34,3.6085,1.2888,33.0,5.0,40.0,17.0,5.0,false
BAC,ok,equity,us_equity,H4,0.62,7.2,11.7,1.02,3.12,0.33,36,1.0,24.4,19.0,-7358.78,28713.69,28.71,-0.8,-0.26,0.91,-0.0587,14.9,87,3.4,8,4.6395,0.8841,66.7,1.1,18.4,13.8,0.0,false
ICPUSD,ok,crypto,crypto,H1,2.93,4.5,1.5,0.49,4.28,1.98,45,1.0,28.5,6.0,-15206.83,35724.43,35.72,-1.15,-0.43,0.87,-0.1875,14.0,414,9.3,18,6.2181,1.2311,16.9,9.7,68.8,1.9,2.7,false
LNKUSD,ok,crypto,crypto,H4,2.25,7.46,3.3,1.95,3.24,2.46,30,1.0,24.4,1.9,-2726.7,5207.18,5.21,-0.44,-0.52,0.91,-0.2387,39.7,63,16.1,16,6.5288,4.691,44.4,3.2,12.7,17.5,22.2,true
