symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
NVDA,ok,equity,us_equity,M30,0.79,7.73,9.8,0.41,2.27,0.3,19,1.29,11.0,5.6,63003.11,17270.77,17.27,6.23,3.65,1.35,0.2121,43.7,323,6.1,4,1.7964,1.0153,33.4,3.7,21.7,39.6,1.5,false,true,245,78
TSLA,ok,equity,us_equity,M30,1.53,6.24,4.1,1.46,3.8,0.33,18,0.54,10.8,5.4,19869.99,5887.16,5.89,4.88,3.38,1.27,0.216,34.1,331,6.0,4,2.7073,1.0754,35.6,2.1,30.2,30.8,1.2,true,true,250,81
BABA,ok,equity,us_equity,M30,1.25,7.7,6.2,1.18,2.8,0.57,10,0.65,13.5,8.1,22436.41,10761.74,10.76,3.92,2.08,1.23,0.2168,36.0,300,7.1,4,2.1004,0.8427,39.0,6.3,24.0,27.3,3.3,false,true,242,58
V,ok,equity,us_equity,M30,1.9,6.32,3.3,0.54,1.38,0.76,11,0.83,11.0,5.6,24955.74,13786.93,13.79,3.48,1.81,1.22,0.0519,43.1,255,6.4,4,0.8927,0.5859,34.1,3.9,22.4,37.6,2.0,false,true,202,53
UNIUSD,ok,crypto,crypto,H1,1.16,6.78,5.9,1.58,2.63,2.39,21,1.2,25.5,3.0,13779.53,19898.65,19.9,0.52,0.69,1.06,0.0829,30.0,370,13.0,19,4.5586,1.8352,38.4,2.4,27.6,15.4,16.2,false,true,85,285
AAVUSD,ok,crypto,crypto,H1,1.3,9.99,7.7,0.86,4.71,1.77,47,2.72,23.2,0.7,46014.9,79410.13,79.41,0.72,0.58,1.09,0.0348,20.1,417,10.9,19,4.8569,1.1816,31.9,2.6,48.0,9.6,7.9,false,true,81,336
PFE,ok,equity,us_equity,H1,1.97,5.94,3.0,0.38,3.92,0.42,36,2.42,20.4,15.0,14408.58,40597.69,40.6,0.75,0.35,1.06,0.0493,43.0,214,7.8,8,1.6235,1.1379,36.0,2.3,18.7,41.1,1.9,false,true,91,123
ETCUSD,ok,crypto,crypto,H1,2.02,6.84,3.4,0.5,4.94,1.21,40,1.63,26.5,4.0,13925.25,56865.09,56.87,0.41,0.24,1.05,0.0755,29.4,360,13.7,19,3.7458,1.4562,34.2,4.2,33.6,18.6,9.4,false,true,92,268
DBKGn,ok,equity,eu_equity,H1,1.01,6.97,6.9,0.65,1.03,1.04,31,1.39,15.4,10.0,-18394.69,49161.32,49.16,-0.79,-0.37,0.94,-0.0543,30.9,366,5.9,11,1.6872,0.8321,39.9,1.6,25.7,29.5,3.3,false,true,100,266
USOIL.cash,ok,commodity,oil,H1,2.33,8.0,3.4,0.79,1.09,0.78,17,2.95,9.9,3.9,-90827.18,134101.47,134.1,-1.41,-0.68,0.89,-0.0395,39.0,680,6.9,36,0.8633,0.6159,33.8,0.7,25.4,38.1,1.9,false,true,62,618
NFLX,ok,equity,unknown,M30,1.5,2.0,1.3,0.0,1.2,0.5,24,0.5,17.7,12.3,-14096.16,20018.21,20.02,-3.06,-0.7,0.85,-0.0866,30.7,336,6.1,4,1.3325,0.7139,35.7,3.0,32.4,23.8,5.1,false,true,267,69
ZM,ok,equity,unknown,H1,1.5,2.5,1.7,0.0,0.8,0.4,24,0.5,21.5,16.1,-19716.62,21164.66,21.16,-2.49,-0.93,0.85,-0.0816,22.3,328,4.3,8,2.3298,0.772,54.0,0.9,23.8,19.5,1.8,false,true,111,217
BAC,ok,equity,us_equity,H1,0.6,4.66,7.7,1.09,1.93,1.81,8,0.63,24.4,19.0,-42936.37,43448.13,43.45,-7.45,-0.99,0.59,-0.2335,26.7,221,6.0,8,1.4963,0.8635,45.7,1.8,27.1,23.5,1.8,false,true,86,135
