symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
AAPL,ok,equity,us_equity,H4,1.2,7.0,5.8,0.7,3.0,1.0,30,0.5,9.7,4.3,19823.89,5023.98,5.02,3.56,3.95,1.94,0.4937,28.9,76,5.7,8,4.4813,1.1309,48.7,0.0,22.4,25.0,3.9,true,true,32,44
AMZN,ok,equity,us_equity,H4,1.2,7.0,5.8,0.7,3.0,1.0,30,0.5,10.4,5.0,6104.02,2799.25,2.8,3.12,2.18,1.57,0.4245,39.7,73,5.9,8,2.9323,1.2284,26.0,1.4,34.2,38.4,0.0,true,true,37,36
DBKGn,ok,equity,eu_equity,H4,1.2,7.0,5.8,0.7,3.0,1.0,30,0.5,15.4,10.0,14287.39,6561.62,6.56,2.07,2.18,1.43,0.2666,30.1,133,6.9,15,3.886,1.2901,42.9,3.8,26.3,26.3,0.8,true,true,29,104
EU50.cash,ok,index,eu_idx,H4,1.0,7.0,7.0,1.0,3.5,1.5,25,0.5,6.1,3.1,6761.24,3282.08,3.28,2.74,2.06,1.4,0.1653,38.0,71,4.7,27,1.1633,0.4472,40.8,4.2,21.1,29.6,4.2,true,true,11,60
CAD_JPY,ok,forex,forex,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.9,1.4,20149.93,12363.96,12.36,1.31,1.63,1.29,0.024,24.8,274,7.7,35,1.009,0.3012,35.8,2.9,37.6,16.8,6.9,false,true,25,249
BCHUSD,ok,crypto,unknown,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,39.4,16.9,26010.31,16925.61,16.93,1.17,1.54,1.27,0.3997,23.8,281,11.0,50,8.85,2.2459,49.5,4.3,26.0,12.8,7.5,false,true,19,262
GOOG,ok,equity,us_equity,H4,1.2,7.0,5.8,0.7,3.0,1.0,30,0.5,10.6,5.2,6137.77,5348.73,5.35,2.69,1.15,1.42,0.4049,35.2,71,5.6,8,3.7109,1.3918,35.2,2.8,29.6,32.4,0.0,true,true,25,46
BAYGn,ok,equity,eu_equity,H4,1.2,7.0,5.8,0.7,3.0,1.0,30,0.5,20.0,14.6,9432.23,11992.21,11.99,1.12,0.79,1.2,0.2048,24.6,138,6.1,15,4.8535,1.315,47.8,3.6,25.4,18.8,4.3,false,true,27,111
ALVG,ok,equity,eu_equity,H4,1.2,7.0,5.8,0.7,3.0,1.0,30,0.5,10.4,5.0,5681.96,7249.01,7.25,0.96,0.78,1.16,0.1071,25.0,152,5.2,15,2.2031,0.5916,39.5,2.0,34.9,21.1,2.6,true,true,36,116
EUR_JPY,ok,forex,forex,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.3,0.8,11828.19,17383.92,17.38,0.74,0.68,1.13,0.0082,27.8,360,5.2,35,0.6268,0.2298,36.9,3.1,33.9,20.6,5.6,false,true,24,336
GER40.cash,ok,index,eu_idx,H4,1.2,7.0,5.8,0.7,3.0,1.0,30,0.5,3.6,0.6,7002.6,15072.83,15.07,0.59,0.46,1.1,0.0673,28.0,275,7.4,34,1.4586,0.4737,41.8,6.5,28.7,18.5,4.4,false,true,29,246
AUS200.cash,ok,index,apac_idx,H4,1.0,7.0,7.0,1.0,3.5,1.5,25,0.5,4.6,1.6,3845.86,12830.93,12.83,0.34,0.3,1.06,0.004,27.6,275,7.0,34,1.0611,0.3997,37.5,1.5,32.0,13.8,15.3,false,true,30,245
HK50.cash,ok,index,apac_idx,H4,1.2,7.0,5.8,0.7,3.0,1.0,30,0.5,5.6,2.6,5567.09,20457.32,20.46,0.45,0.27,1.07,-0.0374,25.4,279,5.8,30,2.0639,0.7547,43.7,1.8,29.7,20.8,3.9,false,true,28,251
BABA,ok,equity,us_equity,H4,1.2,7.0,5.8,0.7,3.0,1.0,30,0.5,13.5,8.1,1372.33,7058.44,7.06,0.4,0.19,1.06,0.277,29.2,72,6.1,8,7.086,2.5267,51.4,4.2,18.1,23.6,2.8,true,true,32,40
ETCUSD,ok,crypto,crypto,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,26.5,4.0,702.01,9718.57,9.72,0.1,0.07,1.02,0.1302,22.9,131,8.5,18,6.1906,1.6699,38.2,2.3,38.2,14.5,6.9,true,true,23,108
BARUSD,ok,crypto,crypto,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,27.5,5.0,-880.64,9534.8,9.53,-0.17,-0.09,0.97,-0.0101,26.4,144,7.9,18,6.6581,2.4006,37.5,1.4,34.0,15.3,11.8,true,true,29,115
AVAUSD,ok,crypto,crypto,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,32.6,10.1,-1086.03,3841.16,3.84,-0.43,-0.28,0.94,-0.504,26.5,49,7.0,18,7.0014,3.2142,69.4,0.0,4.1,14.3,12.2,true,true,7,42
GBP_CHF,ok,forex,unknown,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.8,1.3,-12890.02,32011.37,32.01,-0.64,-0.4,0.92,-0.0196,18.8,373,4.5,35,0.5744,0.1568,52.3,0.8,28.4,15.8,2.7,false,true,32,341
ALGUSD,ok,crypto,crypto,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,38.2,15.7,-2570.81,6151.65,6.15,-0.38,-0.42,0.94,-0.2753,27.4,146,7.5,18,6.1293,2.6921,47.9,0.7,21.2,8.9,21.2,true,true,23,123
EUR_NZD,ok,forex,unknown,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.7,1.2,-13000.72,30399.0,30.4,-0.74,-0.43,0.86,-0.0149,19.6,301,6.8,35,0.7254,0.1954,44.2,1.0,34.6,12.0,8.3,false,true,24,277
EUR_USD,ok,forex,forex,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,3.8,0.3,-13093.56,29581.25,29.58,-0.83,-0.44,0.88,-0.007,24.0,313,6.4,35,0.6381,0.2103,48.2,1.6,25.9,14.1,10.2,false,true,21,292
AUD_CAD,ok,forex,unknown,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.8,1.3,-6678.06,13688.6,13.69,-0.6,-0.49,0.91,-0.012,22.6,314,6.3,35,0.6337,0.2006,33.8,11.1,43.3,10.5,1.3,false,true,24,290
AAVUSD,ok,crypto,crypto,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,23.2,0.7,-2742.97,5105.47,5.11,-0.69,-0.54,0.89,-0.1346,24.5,159,6.3,18,5.3252,1.909,23.9,1.9,42.8,6.3,25.2,true,true,22,137
FRA40.cash,ok,index,eu_idx,H4,1.0,7.0,7.0,1.0,3.5,1.5,25,0.5,5.0,2.0,-5493.19,10164.24,10.16,-0.47,-0.54,0.93,-0.0172,19.4,273,4.9,27,1.4528,0.3713,49.1,1.5,31.1,13.2,5.1,false,true,26,247
COFFEE.c,ok,commodity,agri,H4,1.2,7.5,6.2,1.0,2.0,1.0,20,0.5,14.7,8.7,-13871.25,25355.98,25.36,-1.76,-0.55,0.78,-0.0857,22.2,203,5.2,20,4.3063,1.3366,53.2,1.5,23.6,20.7,1.0,false,true,27,176
EUR_CAD,ok,forex,unknown,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.5,1.0,-13899.64,23895.88,23.9,-0.85,-0.58,0.87,-0.0173,22.2,316,6.2,35,0.5733,0.1853,46.5,2.2,29.4,13.0,8.9,false,true,24,292
GBP_USD,ok,forex,forex,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.0,0.5,-17903.01,29544.92,29.54,-1.15,-0.61,0.86,-0.0316,27.6,373,4.5,35,0.4512,0.2158,49.1,0.0,22.0,25.7,3.2,false,true,19,354
EUR_AUD,ok,forex,unknown,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.5,1.0,-21266.76,34421.25,34.42,-0.87,-0.62,0.86,-0.0226,16.1,348,5.5,35,0.8092,0.1822,58.0,5.5,24.1,8.9,3.4,false,true,24,324
GBP_NZD,ok,forex,unknown,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.5,1.0,-15070.97,23685.91,23.69,-1.0,-0.64,0.84,-0.0503,19.9,286,7.4,35,0.6833,0.2329,46.9,2.8,30.4,15.4,4.5,false,true,23,263
CHF_JPY,ok,forex,unknown,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.6,1.1,-5927.03,8994.46,8.99,-0.76,-0.66,0.9,-0.001,36.8,318,5.9,35,0.5111,0.2991,28.9,1.6,32.1,32.1,5.3,true,true,29,289
ETHUSD,ok,crypto,unknown,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,34.6,12.1,-14449.32,21013.11,21.01,-0.81,-0.69,0.87,-0.2718,28.5,386,7.9,50,4.7039,2.2548,43.0,1.3,27.5,19.9,8.3,false,true,19,367
BAC,ok,equity,us_equity,H4,1.2,7.0,5.8,0.7,3.0,1.0,30,0.5,24.4,19.0,-4849.76,6880.87,6.88,-3.08,-0.7,0.65,-0.4736,28.8,59,6.1,8,2.2905,1.5924,35.6,1.7,33.9,25.4,3.4,true,true,19,40
GALUSD,ok,crypto,crypto,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,31.3,8.8,-6476.03,9113.77,9.11,-1.93,-0.71,0.71,-0.8894,24.3,103,9.7,18,6.1931,3.1594,39.8,1.9,31.1,11.7,15.5,true,true,22,81
BNBUSD,ok,crypto,crypto,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,22.8,0.3,-12966.61,17382.26,17.38,-2.01,-0.75,0.68,-0.3999,19.7,122,9.9,18,5.6242,1.8752,45.1,5.7,32.0,11.5,5.7,false,true,25,97
EUR_GBP,ok,forex,unknown,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.3,0.8,-26604.61,35276.86,35.28,-1.33,-0.75,0.83,-0.0158,18.6,361,5.2,35,0.4722,0.127,53.2,0.3,28.3,17.7,0.6,false,true,28,333
AUD_CHF,ok,forex,forex,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,5.1,1.6,-35832.47,46221.18,46.22,-2.24,-0.78,0.74,-0.0439,21.5,368,4.7,35,0.7151,0.2514,52.4,0.8,25.5,16.8,4.3,false,true,25,343
DOGEUSD,ok,crypto,unknown,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,46.9,24.4,-19333.56,24372.23,24.37,-1.14,-0.79,0.8,-0.2489,30.9,285,12.3,50,8.7289,4.2593,46.7,3.9,18.9,14.0,16.5,false,true,24,261
AUD_JPY,ok,forex,forex,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.7,1.2,-22628.9,28357.33,28.36,-1.39,-0.8,0.8,-0.0263,13.9,360,5.2,35,1.3099,0.2418,44.7,3.3,41.4,8.6,1.9,false,true,25,335
GBP_AUD,ok,forex,unknown,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.6,1.1,-15015.78,18778.81,18.78,-1.26,-0.8,0.83,-0.0332,24.4,315,6.2,35,0.63,0.2478,43.2,1.3,29.8,12.1,13.7,false,true,27,288
COCOA.c,ok,commodity,agri,H4,1.2,7.5,6.2,1.0,2.0,1.0,20,0.5,25.3,19.3,-17512.27,21524.22,21.52,-2.64,-0.81,0.73,-0.3304,26.2,210,4.8,20,4.5956,2.0783,51.0,0.0,21.4,22.9,4.8,false,true,30,180
DASHUSD,ok,crypto,crypto,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,31.3,8.8,-16229.4,19661.82,19.66,-0.96,-0.83,0.83,-0.4884,25.5,310,11.5,50,9.5933,3.9363,48.4,4.2,23.9,14.2,9.4,false,true,24,286
GBP_JPY,ok,forex,forex,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.5,1.0,-20018.72,24007.86,24.01,-1.89,-0.83,0.74,-0.0408,20.4,367,4.7,35,0.6421,0.2162,31.6,0.8,47.4,17.4,2.7,false,true,29,338
CAD_CHF,ok,index,unknown,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.9,1.9,-18423.49,21415.12,21.42,-1.76,-0.86,0.78,-0.0095,30.5,325,5.5,35,0.4781,0.2232,32.0,3.7,31.7,19.7,12.9,false,true,27,298
AUD_USD,ok,forex,forex,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.1,0.6,-37760.2,42484.98,42.48,-3.25,-0.89,0.62,-0.05,18.8,319,6.4,35,0.9351,0.2782,48.3,1.6,31.3,16.3,2.5,false,true,22,297
GRTUSD,ok,crypto,crypto,H4,1.2,7.0,5.8,0.7,3.0,1.0,30,0.5,27.4,4.9,-13435.41,15083.49,15.08,-3.33,-0.89,0.61,-0.564,28.5,151,6.9,18,4.8918,2.7362,39.1,0.7,25.2,13.9,21.2,false,true,25,126
FETUSD,ok,crypto,crypto,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,25.4,2.9,-16155.32,17772.0,17.77,-3.06,-0.91,0.64,-0.4236,28.3,145,7.5,18,6.9484,3.3299,46.9,0.7,17.2,16.6,18.6,false,true,24,121
GBP_CAD,ok,forex,unknown,H4,1.5,6.0,4.0,0.8,2.5,1.0,20,0.5,4.5,1.0,-58431.64,64206.52,64.21,-3.71,-0.91,0.6,-0.0547,16.8,368,4.9,35,0.5183,0.1708,51.4,2.2,31.2,13.9,1.4,false,true,27,341
BTCUSD,ok,crypto,unknown,H4,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,22.7,0.2,-21246.3,21520.79,21.52,-1.17,-0.99,0.78,-0.2578,26.0,285,13.0,50,4.9944,2.0998,50.5,9.1,22.1,13.3,4.9,false,true,23,262
