symbol,status,cluster,session,timeframe,prob_threshold,n_folds,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,wins,losses,avg_bars_held,ftmo_ok,risk_pct,fee_bps,spread_bps,slippage_bps,cost_pct,sl,tp,be,trail_act,trail_dist,horizon,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,account_id
V,ok,equity,us_equity,H4,0.55,3,35,72080.2,11437.65,11.44,5.75,6.3,2.62,22.9,8,27,4.8,false,1.78,0.4,5.66,2.5,0.1106,0.7054242131189677,7.864912302385148,0.7057659306287942,3.9161522040478074,0.3377263440700883,34,45.7,2.9,31.4,20.0,0.0,ftmo_100k
DBKGn,ok,equity,us_equity,H4,0.55,7,81,46952.25,9177.65,9.18,5.36,5.12,2.18,21.0,17,64,3.8,true,0.7,0.4,9.89,2.5,0.1529,0.5827200093915766,7.080270207305904,0.6525749678093768,2.9793763492745966,1.037135049740455,26,56.8,2.5,22.2,14.8,3.7,ftmo_100k
AUS200.cash,ok,index,us_idx,H4,0.55,15,116,119674.87,23518.79,23.52,3.33,5.09,1.82,32.8,38,78,9.5,false,2.41,0.0,1.57,1.5,0.0457,1.3443278908428817,5.787524142588564,1.4490993935802567,3.771610155675106,1.6936426122550734,28,48.3,10.3,19.0,18.1,4.3,ftmo_100k
AAPL,ok,equity,us_equity,H4,0.55,3,18,26795.81,6179.51,6.18,5.52,4.34,3.51,27.8,5,13,7.7,true,2.54,0.4,4.32,2.5,0.0972,1.5815051934120505,4.938736810312931,0.4514099042694031,3.9924922230859705,1.5873717606155557,28,16.7,11.1,55.6,5.6,11.1,ftmo_100k
RACE,ok,equity,us_equity,H4,0.55,3,14,7185.01,1755.74,1.76,7.99,4.09,2.89,35.7,5,9,4.3,true,0.52,0.4,21.15,2.5,0.2655,0.8706022990709255,6.921991695581163,0.4370963653535145,3.7182507481962235,0.39112297927439077,13,42.9,0.0,21.4,28.6,7.1,ftmo_100k
US100.cash,ok,index,us_idx,H4,0.55,18,268,262093.26,76761.91,76.76,3.14,3.41,1.51,22.8,61,207,2.9,false,2.71,0.0,0.62,1.5,0.0362,0.5649720365022285,7.07399413924019,0.4090501313827088,1.25451138351875,1.1408696313523603,24,54.1,1.1,23.1,20.5,1.1,ftmo_100k
FRA40.cash,ok,index,us_idx,H4,0.55,12,180,125512.1,37240.68,37.24,3.35,3.37,1.53,18.9,34,146,3.5,false,1.84,0.0,1.99,1.5,0.0499,0.6455059282838604,7.596655005930547,0.8995243018030158,3.004339189801776,0.335072215547473,36,63.3,0.6,17.8,18.3,0.0,ftmo_100k
XAG_USD,ok,commodity,agri,H4,0.55,17,123,100965.05,30132.93,30.13,2.34,3.35,1.6,30.1,37,86,10.2,false,2.93,0.1,5.53,2.0,0.0967,1.8684200479150468,6.666897742053413,1.1003772610753586,3.9230014135776634,1.2971225908514004,35,39.8,6.5,30.1,22.0,1.6,ftmo_100k
ALVG,ok,equity,us_equity,H4,0.55,7,125,93212.73,28722.39,28.72,3.94,3.25,1.6,18.4,23,102,2.4,false,2.01,0.4,4.99,2.5,0.1039,0.5889032998745527,5.740820883873975,0.3538671414753338,3.465044632228679,0.3269440454096664,6,46.4,2.4,35.2,5.6,10.4,ftmo_100k
PFE,ok,equity,us_equity,H4,0.55,3,17,13199.62,4258.77,4.26,4.04,3.1,1.98,47.1,8,9,11.0,true,1.75,0.4,15.19,2.5,0.2059,2.0474017039211305,7.6774933730379695,0.7438346499870518,2.8770143057617457,1.9993549578485483,32,41.2,11.8,11.8,35.3,0.0,ftmo_100k
US500.cash,ok,index,us_idx,H4,0.55,17,125,132069.78,44771.15,44.77,2.35,2.95,1.59,43.2,54,71,9.6,false,2.54,0.0,1.02,1.5,0.0402,1.5711314615265484,7.49856505316956,1.125764299260151,1.1356335356508116,1.961631327201667,35,50.4,4.8,0.0,39.2,5.6,ftmo_100k
US30.cash,ok,index,us_idx,H4,0.55,17,125,179285.38,62756.05,62.76,2.86,2.86,1.69,21.6,27,98,5.9,false,2.8,0.0,0.46,1.5,0.0346,0.8697089110510541,7.817507766587351,1.2301593880333375,3.8184968246925672,1.821206495727003,24,62.4,4.8,16.0,15.2,1.6,ftmo_100k
USOIL.cash,ok,commodity,agri,H4,0.55,18,241,114762.12,41057.65,41.06,2.2,2.8,1.28,32.8,79,162,4.1,false,2.52,0.0,3.89,3.0,0.0989,0.871184296625729,7.767757729386576,0.9068068320176869,1.631102377712814,0.9697908365418615,25,55.6,0.0,11.6,32.4,0.4,ftmo_100k
EU50.cash,ok,index,us_idx,H4,0.55,12,205,74768.53,27132.16,27.13,2.25,2.76,1.29,17.6,36,169,2.7,false,2.57,0.0,3.05,1.5,0.0605,0.7350500045548699,3.982672961704176,0.3391553469123533,2.8947965907992805,1.3311736589318628,8,45.9,6.8,35.6,3.9,7.8,ftmo_100k
BAC,ok,equity,us_equity,H4,0.55,3,31,20224.57,8724.18,8.72,3.47,2.32,2.0,35.5,11,20,7.0,true,1.56,0.4,19.08,2.5,0.2448,1.4427967181927384,7.68159235345026,0.42520773940128564,1.845921077974568,1.7958232588497185,36,29.0,0.0,35.5,32.3,3.2,ftmo_100k
USD_JPY,ok,forex,forex,H4,0.55,17,310,71388.64,31324.45,31.32,2.16,2.28,1.23,20.3,63,247,2.1,false,1.49,0.5,0.46,1.5,0.0396,0.5408545917069151,4.925690467145929,0.325881589795263,1.3302799187394965,0.39290130076132174,21,49.4,1.6,30.3,18.7,0.0,ftmo_100k
SPN35.cash,ok,index,us_idx,H4,0.55,11,108,38479.6,17627.07,17.63,1.73,2.18,1.37,25.0,27,81,6.8,false,1.64,0.0,4.39,1.5,0.0739,1.5952675887337107,5.624327761050486,1.4773755805870692,3.4367807993963626,1.8011671104391542,30,58.3,11.1,16.7,12.0,1.9,ftmo_100k
DASHUSD,ok,crypto,crypto,H4,0.55,24,188,94841.98,44766.01,44.77,1.6,2.12,1.29,52.7,99,89,9.1,false,2.92,6.5,8.8,8.0,0.313,1.655308201868136,8.141569197077102,1.658466640550748,1.6588669579846123,1.3330579785490075,45,47.3,2.7,0.0,48.9,1.1,ftmo_100k
US2000.cash,ok,index,us_idx,H4,0.55,16,135,48147.81,23008.44,23.01,1.66,2.09,1.28,38.5,52,83,8.0,false,2.36,0.0,4.22,1.5,0.0722,1.757254273298671,7.917668955032806,1.413224118145994,2.3935339115175056,1.273183831644661,19,48.1,0.7,11.9,30.4,8.9,ftmo_100k
COFFEE.c,ok,commodity,agri,H4,0.55,10,79,59805.02,29280.26,29.28,2.42,2.04,1.5,25.3,20,59,7.5,false,2.57,0.0,8.68,4.0,0.1668,1.306164361224951,7.806148493567379,1.3117753485458803,3.8774959664624453,1.3603671801234094,33,59.5,3.8,15.2,20.3,1.3,ftmo_100k
NERUSD,ok,crypto,crypto,H4,0.55,8,39,33236.65,16289.26,16.29,2.97,2.04,1.81,59.0,23,16,16.2,false,3.0,6.5,31.77,8.0,0.5427,2.876001396534825,9.218111188271392,1.9951835894317898,2.5860753461685513,1.1878573442843579,44,30.8,5.1,10.3,46.2,7.7,ftmo_100k
UK100.cash,ok,index,us_idx,H4,0.55,16,212,46533.92,31512.33,31.51,1.35,1.48,1.22,17.0,36,176,4.3,false,2.04,0.0,1.25,1.5,0.0425,1.1354172927688349,7.45071661278706,0.3683397631256732,3.486379381407959,0.6695996474266953,28,35.8,0.0,47.2,16.0,0.9,ftmo_100k
SOLUSD,ok,crypto,crypto,H4,0.55,8,52,30271.59,20857.85,20.86,2.08,1.45,1.5,40.4,21,31,11.0,false,2.55,6.5,1.83,8.0,0.2433,2.100653947180225,6.737828953437097,1.5749365442490213,3.263189225340584,2.2757383627565497,21,42.3,7.7,17.3,11.5,21.2,ftmo_100k
JP225.cash,ok,index,us_idx,H4,0.55,16,112,26611.38,19518.07,19.52,1.11,1.36,1.22,37.5,42,70,10.1,false,2.05,0.0,1.23,1.5,0.0423,2.3134890364251826,7.416094012487108,1.396557487506605,3.5284265836288418,1.8709617240240206,18,41.1,4.5,17.0,12.5,25.0,ftmo_100k
VECUSD,ok,crypto,crypto,H4,0.55,8,78,29688.72,21949.12,21.95,2.13,1.35,1.35,30.8,24,54,6.7,false,1.71,6.5,8.97,8.0,0.3147,0.9229133239213057,4.558023421891806,1.5627440189158301,4.839891183927678,1.0537929546302014,16,57.7,12.8,11.5,0.0,17.9,ftmo_100k
AUD_CHF,ok,forex,forex,H4,0.55,17,223,94814.32,70590.47,70.59,1.12,1.34,1.17,18.8,42,181,4.1,false,2.93,0.5,1.59,1.5,0.0509,0.6977899942057804,3.1742652910999722,1.2026012225999658,3.81503181041427,0.8313412329342319,21,61.9,17.9,19.3,0.0,0.9,ftmo_100k
AMZN,ok,equity,us_equity,H4,0.55,3,60,19218.11,17270.46,17.27,4.06,1.11,1.46,26.7,16,44,2.0,false,1.06,0.4,5.03,2.5,0.1043,0.5091442516304152,6.255101950602066,0.5392998415516403,1.0011096924228027,0.5595361875075605,17,61.7,0.0,11.7,26.7,0.0,ftmo_100k
BNBUSD,ok,crypto,crypto,H4,0.55,7,37,19186.55,18889.98,18.89,1.49,1.02,1.57,27.0,10,27,15.8,false,2.2,6.5,0.3,8.0,0.228,2.929937696614021,9.662273304919722,1.0846379479893973,3.628027819107061,2.2957864311050833,44,21.6,5.4,45.9,16.2,10.8,ftmo_100k
AUD_JPY,ok,forex,forex,H4,0.55,17,238,49322.48,49638.98,49.64,1.21,0.99,1.18,15.1,36,202,3.6,false,1.23,0.5,1.23,1.5,0.0473,0.5618839739103412,7.786365878174827,1.2145721385886952,3.936939367815648,0.6819343514312016,20,72.7,0.8,12.2,11.3,2.9,ftmo_100k
BABA,ok,equity,us_equity,H4,0.55,3,32,25147.09,27974.2,27.97,2.81,0.9,1.43,46.9,15,17,5.8,false,3.0,0.4,8.18,2.5,0.1358,1.4850888612551039,5.176065609383107,1.4681597814819622,1.5365660177861542,1.2517798409656298,25,53.1,12.5,0.0,34.4,0.0,ftmo_100k
UKOIL.cash,ok,commodity,agri,H4,0.55,18,182,24341.7,28719.55,28.72,0.85,0.85,1.13,39.6,72,110,6.3,false,2.17,0.0,2.67,3.0,0.0867,1.6556009096843132,7.106079302233677,1.0339706287836634,2.0608110255512266,1.779976584353243,12,41.8,1.1,15.9,19.8,21.4,ftmo_100k
META,ok,equity,us_equity,H4,0.55,3,18,7879.21,10594.69,10.59,1.79,0.74,1.55,55.6,10,8,13.6,false,1.19,0.4,5.31,2.5,0.1071,2.4618074753316703,7.392407570459054,1.4165629251234348,1.5673050555135528,1.6760144619183088,36,38.9,0.0,5.6,44.4,11.1,ftmo_100k
GER40.cash,ok,index,us_idx,H4,0.55,17,184,48965.36,71132.97,71.13,0.55,0.69,1.11,15.8,29,155,5.8,false,2.96,0.0,0.65,1.5,0.0365,0.9172211656861468,7.578643649540419,1.2405952007415046,3.999004661018044,1.746364823389085,35,64.7,1.6,19.6,12.0,2.2,ftmo_100k
CAD_JPY,ok,forex,forex,H4,0.55,17,218,42103.16,65969.88,65.97,0.98,0.64,1.15,28.9,63,155,4.4,false,2.38,0.5,1.39,1.5,0.0489,0.9800281336388228,7.197351349643185,0.4845776586726308,1.3698212329704451,1.6224859070377624,28,38.1,1.8,31.7,27.5,0.9,ftmo_100k
NVDA,ok,equity,us_equity,H4,0.55,3,40,2753.58,4351.62,4.35,1.58,0.63,1.33,15.0,6,34,4.6,true,0.7,0.4,5.63,2.5,0.1103,1.2685835167097497,6.905640233195986,0.3335538351941977,2.601060941116267,1.8465886964126061,30,27.5,0.0,57.5,12.5,2.5,ftmo_100k
XAU_AUD,ok,commodity,agri,H4,0.55,17,146,31400.9,52982.48,52.98,0.66,0.59,1.11,28.8,42,104,8.1,false,2.87,0.1,0.99,2.0,0.0513,1.688081768464358,7.444027251734858,1.4290401883434518,3.691263156856366,0.8308558169625154,36,56.2,0.7,15.1,25.3,2.7,ftmo_100k
HK50.cash,ok,index,us_idx,H4,0.55,15,135,26676.75,46068.86,46.07,0.92,0.58,1.15,28.9,39,96,7.5,false,2.33,0.0,2.63,1.5,0.0563,1.5273267141244171,6.199250059529583,1.4634445329454389,3.8654198109293474,1.4081731363229038,23,55.6,5.9,15.6,15.6,7.4,ftmo_100k
NZD_JPY,ok,forex,forex,H4,0.55,17,212,60273.04,106228.97,106.23,0.87,0.57,1.13,23.1,49,163,5.2,false,2.6,0.5,1.53,1.5,0.0503,0.8122069252064688,5.997373149625556,1.2577382648730508,2.5100468069953967,1.5377953047810662,28,66.0,4.7,10.8,16.0,2.4,ftmo_100k
UNIUSD,ok,crypto,crypto,H4,0.55,7,61,11665.71,21796.81,21.8,1.09,0.54,1.17,47.5,29,32,8.1,false,2.91,6.5,3.01,8.0,0.2551,2.027079674422538,9.187266225098485,1.1078058645905144,1.9537657097563388,0.8561772470091557,36,32.8,0.0,16.4,45.9,4.9,ftmo_100k
IMXUSD,ok,crypto,crypto,H4,0.55,8,43,15227.94,29698.1,29.7,0.99,0.51,1.23,27.9,12,31,11.9,false,2.94,6.5,6.93,8.0,0.2943,1.4334887493994257,8.432930597338084,1.746466872934537,4.175024620220059,1.82662639176025,31,51.2,2.3,20.9,11.6,14.0,ftmo_100k
MSFT,ok,equity,us_equity,H4,0.55,3,33,10821.35,23151.7,23.15,1.56,0.47,1.36,15.2,5,28,6.1,false,1.39,0.4,3.49,2.5,0.0889,1.0750849378726313,7.710989498774734,1.1299825113345718,3.554493726331747,1.4817679842280518,35,66.7,3.0,18.2,9.1,3.0,ftmo_100k
TSLA,ok,equity,us_equity,H4,0.55,2,28,3267.29,8080.56,8.08,1.17,0.4,1.18,17.9,5,23,4.5,true,2.24,0.4,5.4,2.5,0.108,1.450217160703888,7.847793434588296,0.370670875755273,3.2633451548122485,0.8111708125186339,35,28.6,3.6,53.6,14.3,0.0,ftmo_100k
GBP_USD,ok,forex,forex,H4,0.55,18,261,17230.77,58259.07,58.26,0.43,0.3,1.05,21.8,57,204,3.6,false,1.79,0.5,0.53,1.5,0.0403,0.7789877213040837,3.752867891211309,0.73963421195243,2.3682099526511076,1.6347991343681232,12,54.4,12.3,23.8,6.5,3.1,ftmo_100k
XAU_EUR,ok,commodity,agri,H4,0.55,17,217,37735.38,126603.89,126.6,0.55,0.3,1.09,16.1,35,182,4.7,false,3.0,0.1,1.59,2.0,0.0573,1.0038950676073062,5.453633811163676,0.6313902062493002,3.316021963177886,1.6965079326928052,35,52.5,8.3,31.3,7.4,0.5,ftmo_100k
XAG_AUD,ok,commodity,agri,H4,0.55,17,218,7726.37,26736.1,26.74,0.36,0.29,1.06,16.1,35,183,4.6,false,1.03,0.1,4.28,2.0,0.0842,0.9146252184316647,6.560212780193143,0.45132366457714873,3.255932902471038,1.6343312095271916,32,45.9,2.3,38.1,13.3,0.5,ftmo_100k
ETCUSD,ok,crypto,crypto,H4,0.55,8,88,3007.07,30002.77,30.0,0.3,0.1,1.05,20.5,18,70,5.6,false,2.09,6.5,4.06,8.0,0.2656,1.6521139867110266,6.991335180029525,0.441353699491032,2.7979863801612144,1.882731449209471,19,30.7,3.4,47.7,8.0,10.2,ftmo_100k
LNKUSD,ok,crypto,crypto,H4,0.55,7,67,1160.36,13468.08,13.47,0.17,0.09,1.03,25.4,17,50,7.0,false,1.16,6.5,1.99,8.0,0.2449,1.227029655259461,8.272993977822832,1.5357596175215664,3.6525637047968833,0.8472587753660213,17,56.7,1.5,14.9,13.4,13.4,ftmo_100k
XAG_EUR,ok,commodity,agri,H4,0.55,17,192,4315.18,129513.91,129.51,0.07,0.03,1.01,13.0,25,167,5.4,false,2.64,0.1,4.72,2.0,0.0886,0.8041023946954762,7.080533527605788,1.3080076591426044,3.791505923018069,1.5773116256235484,26,65.1,2.1,21.9,8.3,2.6,ftmo_100k
EUR_USD,ok,forex,forex,H4,0.55,17,210,-781.58,72196.67,72.2,-0.02,-0.01,1.0,13.3,28,182,4.5,false,2.66,0.5,0.27,1.5,0.0377,0.8172173578757129,7.914063883775598,0.7289604118057925,3.8417738709004663,0.6749995998054723,34,54.8,0.0,31.9,11.9,1.4,ftmo_100k
EUR_JPY,ok,forex,forex,H4,0.55,18,143,-517.52,25602.74,25.6,-0.03,-0.02,1.0,28.7,41,102,8.1,false,1.32,0.5,0.85,1.5,0.0435,1.7481670543447305,6.323968950166056,1.494959158591696,3.576779691245997,0.6965646286700793,22,49.0,2.1,21.7,21.0,6.3,ftmo_100k
GALUSD,ok,crypto,crypto,H4,0.55,8,59,-1267.16,40928.46,40.93,-0.06,-0.03,0.99,15.3,9,50,10.0,false,2.8,6.5,8.85,8.0,0.3135,1.2066798021561596,9.787092394351909,1.6177257997138947,4.7882462954746625,2.289654700855298,31,57.6,3.4,23.7,5.1,10.2,ftmo_100k
AVAUSD,ok,crypto,crypto,H4,0.55,8,78,-597.83,11626.28,11.63,-0.17,-0.05,0.98,33.3,26,52,6.6,false,0.65,6.5,10.12,8.0,0.3262,1.6239882614641976,9.655000144869414,1.5443897010793888,3.595304694689628,0.812037280884873,12,52.6,0.0,11.5,14.1,21.8,ftmo_100k
COCOA.c,ok,commodity,agri,H4,0.55,10,101,-4962.59,27665.11,27.67,-0.34,-0.18,0.96,28.7,29,72,5.8,false,1.82,0.0,19.39,4.0,0.2739,1.6853020275088364,7.505603464704806,1.4315713703193818,2.790587132771224,0.6236184837941615,36,52.5,0.0,18.8,28.7,0.0,ftmo_100k
LVMH,ok,equity,us_equity,H4,0.55,6,70,-6621.51,33370.82,33.37,-0.47,-0.2,0.94,25.7,18,52,5.2,false,2.45,0.4,2.44,2.5,0.0784,1.0528239446981107,6.292200185937236,1.140666698318743,1.9481531879044665,1.3291025213399064,36,62.9,2.9,11.4,22.9,0.0,ftmo_100k
SANUSD,ok,crypto,crypto,H4,0.55,7,43,-2165.98,7885.38,7.89,-0.54,-0.27,0.9,23.3,10,33,12.2,true,0.9,6.5,11.25,8.0,0.3375,2.0167503518104,9.520281329379383,1.9204467125369271,3.996062715634336,0.5004088172694546,45,51.2,0.0,23.3,23.3,2.3,ftmo_100k
AUD_USD,ok,forex,forex,H4,0.55,17,168,-15867.27,46724.0,46.72,-0.69,-0.34,0.9,20.2,34,134,6.7,false,1.98,0.5,0.63,1.5,0.0413,1.9046672939945257,7.320924677681867,0.6070403675090202,3.1950591643512003,1.0701686765503866,36,35.1,0.6,44.6,19.0,0.6,ftmo_100k
BAYGn,ok,equity,us_equity,H4,0.55,6,50,-15714.12,34175.09,34.18,-1.17,-0.46,0.83,26.0,13,37,8.2,false,2.75,0.4,14.5,2.5,0.199,1.371866993758193,7.160829145334659,1.387417369655904,3.1852574888180984,1.7665002006323904,25,54.0,4.0,20.0,18.0,4.0,ftmo_100k
